horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.002161705084207623
6,0.1,100,0,learned_mean,0.050667860327342794
6,0.1,100,0,learned_occupancy,0.010931712277593292
6,0.1,100,0,occ_plus_mean,0.01051937265210351
6,0.1,100,0,occ_plus_uniform,0.008379587012644352
6,0.1,100,0,oracle_tail,0.0022094979580376895
6,0.1,100,0,tis,0.02857917980293447
6,0.1,100,0,tis_anchored,0.010724385573261297
6,0.1,100,0,uniform,0.07492133377923774
6,0.1,100,1,complete_rollout,0.0021361792984242105
6,0.1,100,1,learned_mean,0.013254887976934547
6,0.1,100,1,learned_occupancy,0.007173707557624179
6,0.1,100,1,occ_plus_mean,0.002195228210535099
6,0.1,100,1,occ_plus_uniform,0.006705942648021877
6,0.1,100,1,oracle_tail,0.0021611496065886493
6,0.1,100,1,tis,0.01557767527488453
6,0.1,100,1,tis_anchored,0.003663208939993995
6,0.1,100,1,uniform,0.0251584368929522
6,0.1,100,2,complete_rollout,0.00257807913293992
6,0.1,100,2,learned_mean,0.051940299561592455
6,0.1,100,2,learned_occupancy,0.010480544194713889
6,0.1,100,2,occ_plus_mean,0.011160070760730554
6,0.1,100,2,occ_plus_uniform,0.01240894611789041
6,0.1,100,2,oracle_tail,0.0010178421873369222
6,0.1,100,2,tis,0.0347340017375178
6,0.1,100,2,tis_anchored,0.009645868366187953
6,0.1,100,2,uniform,0.04049305698456423
6,0.1,100,3,complete_rollout,0.0030911498846823847
6,0.1,100,3,learned_mean,0.00499748072135525
6,0.1,100,3,learned_occupancy,0.00721207939279204
6,0.1,100,3,occ_plus_mean,0.004431818566620489
6,0.1,100,3,occ_plus_uniform,0.012133598260484477
6,0.1,100,3,oracle_tail,0.0019695256662011842
6,0.1,100,3,tis,0.0067845420590211085
6,0.1,100,3,tis_anchored,0.004841751041298036
6,0.1,100,3,uniform,0.03362003595126184
6,0.1,100,4,complete_rollout,0.002613501872368523
6,0.1,100,4,learned_mean,0.01845206767147018
6,0.1,100,4,learned_occupancy,0.005393187965535956
6,0.1,100,4,occ_plus_mean,0.006047191418480709
6,0.1,100,4,occ_plus_uniform,0.00803485439388673
6,0.1,100,4,oracle_tail,0.0014996344926810228
6,0.1,100,4,tis,0.004300182493270822
6,0.1,100,4,tis_anchored,0.004239789085063753
6,0.1,100,4,uniform,0.05123601435178977
6,0.1,100,5,complete_rollout,0.002565969500293559
6,0.1,100,5,learned_mean,0.012583375859718592
6,0.1,100,5,learned_occupancy,0.004521363690362183
6,0.1,100,5,occ_plus_mean,0.003572634888923202
6,0.1,100,5,occ_plus_uniform,0.00862525299867748
6,0.1,100,5,oracle_tail,0.0010720301289408902
6,0.1,100,5,tis,0.008770153696916054
6,0.1,100,5,tis_anchored,0.003841311979034882
6,0.1,100,5,uniform,0.026382185786478458
6,0.1,100,6,complete_rollout,0.002588920919974919
6,0.1,100,6,learned_mean,0.05446325506849216
6,0.1,100,6,learned_occupancy,0.003203425422818784
6,0.1,100,6,occ_plus_mean,0.0029701786557678827
6,0.1,100,6,occ_plus_uniform,0.006803408900784432
6,0.1,100,6,oracle_tail,0.0010089213852317715
6,0.1,100,6,tis,0.0027616729319661884
6,0.1,100,6,tis_anchored,0.001441880017446656
6,0.1,100,6,uniform,0.05610210769470957
6,0.1,100,7,complete_rollout,0.004784669876287401
6,0.1,100,7,learned_mean,0.006735047250278602
6,0.1,100,7,learned_occupancy,0.005352275769442836
6,0.1,100,7,occ_plus_mean,0.004047049370071442
6,0.1,100,7,occ_plus_uniform,0.009326717622004972
6,0.1,100,7,oracle_tail,0.0012759349424724487
6,0.1,100,7,tis,0.006635727944473283
6,0.1,100,7,tis_anchored,0.003164577575221507
6,0.1,100,7,uniform,0.05735333447103846
6,0.1,100,8,complete_rollout,0.0037669669455577042
6,0.1,100,8,learned_mean,0.008918522503323674
6,0.1,100,8,learned_occupancy,0.002540252902443737
6,0.1,100,8,occ_plus_mean,0.0028305257292780784
6,0.1,100,8,occ_plus_uniform,0.004443639328395606
6,0.1,100,8,oracle_tail,0.0028469735915665688
6,0.1,100,8,tis,0.016020927220001105
6,0.1,100,8,tis_anchored,0.002695044432418622
6,0.1,100,8,uniform,0.04130946536728969
6,0.1,100,9,complete_rollout,0.007154777104245069
6,0.1,100,9,learned_mean,0.05938190163157929
6,0.1,100,9,learned_occupancy,0.0030772871908519225
6,0.1,100,9,occ_plus_mean,0.0011965328520535429
6,0.1,100,9,occ_plus_uniform,0.0037061904029832725
6,0.1,100,9,oracle_tail,0.000654647328569504
6,0.1,100,9,tis,0.0031954766605092107
6,0.1,100,9,tis_anchored,0.0009618754636620009
6,0.1,100,9,uniform,0.03693333270571502
6,0.1,100,10,complete_rollout,0.0033754435301668662
6,0.1,100,10,learned_mean,0.011091264533375975
6,0.1,100,10,learned_occupancy,0.009004952530421896
6,0.1,100,10,occ_plus_mean,0.005764852294750893
6,0.1,100,10,occ_plus_uniform,0.009985516177808932
6,0.1,100,10,oracle_tail,0.0007070642780142149
6,0.1,100,10,tis,0.028962909414928482
6,0.1,100,10,tis_anchored,0.004570536604683654
6,0.1,100,10,uniform,0.060050810327388814
6,0.1,100,11,complete_rollout,0.0031987597719278153
6,0.1,100,11,learned_mean,0.007322216975449362
6,0.1,100,11,learned_occupancy,0.006979016175131144
6,0.1,100,11,occ_plus_mean,0.0036878489770057195
6,0.1,100,11,occ_plus_uniform,0.004089184983812945
6,0.1,100,11,oracle_tail,0.0008264564583493811
6,0.1,100,11,tis,0.007023433715352944
6,0.1,100,11,tis_anchored,0.003844429734319634
6,0.1,100,11,uniform,0.034193381500641475
6,0.1,100,12,complete_rollout,0.004920585351607343
6,0.1,100,12,learned_mean,0.003886538043595572
6,0.1,100,12,learned_occupancy,0.0031975416523234274
6,0.1,100,12,occ_plus_mean,0.004666421373662593
6,0.1,100,12,occ_plus_uniform,0.01265086857664275
6,0.1,100,12,oracle_tail,0.00044611156959491665
6,0.1,100,12,tis,0.0069412478761984595
6,0.1,100,12,tis_anchored,0.004140863177097984
6,0.1,100,12,uniform,0.0623290340801923
6,0.1,100,13,complete_rollout,0.003025126978324584
6,0.1,100,13,learned_mean,0.014634552219723214
6,0.1,100,13,learned_occupancy,0.00783948602534208
6,0.1,100,13,occ_plus_mean,0.004745109004179038
6,0.1,100,13,occ_plus_uniform,0.004801032955207198
6,0.1,100,13,oracle_tail,0.0010118707285363703
6,0.1,100,13,tis,0.014330498925213585
6,0.1,100,13,tis_anchored,0.005049228332699946
6,0.1,100,13,uniform,0.03694897944742857
6,0.1,100,14,complete_rollout,0.005015999613189457
6,0.1,100,14,learned_mean,0.016139641588803016
6,0.1,100,14,learned_occupancy,0.010396080150493144
6,0.1,100,14,occ_plus_mean,0.008590803379634136
6,0.1,100,14,occ_plus_uniform,0.007446928511587036
6,0.1,100,14,oracle_tail,0.0013517968136488514
6,0.1,100,14,tis,0.01574594458001799
6,0.1,100,14,tis_anchored,0.0075556040634798035
6,0.1,100,14,uniform,0.027408748312282447
6,0.1,100,15,complete_rollout,0.002178884060265034
6,0.1,100,15,learned_mean,0.02379276024071674
6,0.1,100,15,learned_occupancy,0.008884075526434084
6,0.1,100,15,occ_plus_mean,0.00437237049003971
6,0.1,100,15,occ_plus_uniform,0.006526230403841292
