horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0036236295061027493,8.15794056243405e-05,0.08216871125673889
6,0.1,100,learned_mean,300,0.016315451887051306,0.001143432663534038,0.3699659837940178
6,0.1,100,learned_occupancy,300,0.007502749627871337,0.00023313173391692382,0.17013087755409292
6,0.1,100,occ_plus_mean,300,0.004973127836648303,0.000193376477784483,0.11276967045449869
6,0.1,100,occ_plus_uniform,300,0.008509694257502426,0.0001936137971738979,0.19296415628315036
6,0.1,100,oracle_tail,300,0.0011095398881751566,3.344903157048309e-05,0.025159708669375662
6,0.1,100,tis,300,0.014073409283267979,0.0008422411390077199,0.31912586588866493
6,0.1,100,tis_anchored,300,0.005043268361570084,0.00019150282328419816,0.11436016322700415
6,0.1,100,uniform,300,0.04409987026303233,0.0009647178503037109,1.0
6,0.1,200,complete_rollout,300,0.001672590445377209,3.8917171273892354e-05,0.07679837973006269
6,0.1,200,learned_mean,300,0.005816905243201404,0.0005037191195458858,0.2670880363784609
6,0.1,200,learned_occupancy,300,0.0030328864875080064,7.667030373072743e-05,0.13925750251029728
6,0.1,200,occ_plus_mean,300,0.0017626226059523106,5.006861767204854e-05,0.08093228117310561
6,0.1,200,occ_plus_uniform,300,0.003933441824412938,9.011920345376929e-05,0.18060724890082028
6,0.1,200,oracle_tail,300,0.0005360249392119474,1.4169280719020514e-05,0.024612030362937434
6,0.1,200,tis,300,0.007191227160932785,0.0005667253160214047,0.3301911688882724
6,0.1,200,tis_anchored,300,0.001838441449606795,5.710004367003694e-05,0.08441356636265372
6,0.1,200,uniform,300,0.021778980901109742,0.000536863084120189,1.0
6,0.1,400,complete_rollout,300,0.0008560339325057684,1.9058340965123092e-05,0.07794840030615129
6,0.1,400,learned_mean,300,0.0025860246990060043,0.0002924222617193155,0.23547721741550948
6,0.1,400,learned_occupancy,300,0.0012828601767767964,2.755214184479293e-05,0.11681417616648496
6,0.1,400,occ_plus_mean,300,0.0006656120008907298,1.642688639722639e-05,0.0606090351373534
6,0.1,400,occ_plus_uniform,300,0.001785366366513187,3.9974772063317114e-05,0.16257118666165835
6,0.1,400,oracle_tail,300,0.00025470003745793997,5.645172102484605e-06,0.023192375586851458
6,0.1,400,tis,300,0.00323212237474241,0.0003142300629236757,0.2943093248271347
6,0.1,400,tis_anchored,300,0.0006879535415385527,1.8860471823155323e-05,0.06264340233676452
6,0.1,400,uniform,300,0.010982059017806613,0.00027477438694138495,1.0
