horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.037717860045476816,0.001607842200556625
6,0.1,100,learned_mean-minus-tis,300,-0.000291669729830911,0.0013466972532235073
6,0.1,100,learned_occupancy-minus-tis,300,-0.03585408558312547,0.0016102732440624679
6,0.1,100,occ_plus_mean-minus-tis,300,-0.03666982179515561,0.0016060148628742254
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.033931228020654035,0.001605702627952094
6,0.1,100,oracle_tail-minus-tis,300,-0.038112077890343106,0.0016021792754993358
6,0.1,100,tis_anchored-minus-tis,300,-0.03651889490559925,0.0016041468183611146
6,0.1,100,uniform-minus-tis,300,0.016504009156138345,0.0018085910003669773
6,0.1,200,complete_rollout-minus-tis,300,-0.018395506556418525,0.0011210722896210603
6,0.1,200,learned_mean-minus-tis,300,0.003634305575487209,0.0014985135055825616
6,0.1,200,learned_occupancy-minus-tis,300,-0.017846792201975405,0.0011226503951987934
6,0.1,200,occ_plus_mean-minus-tis,300,-0.018214118009183575,0.0011194093585497513
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.016847289269285373,0.001116412373844927
6,0.1,200,oracle_tail-minus-tis,300,-0.018664899826920857,0.0011144041352043044
6,0.1,200,tis_anchored-minus-tis,300,-0.018256903328979907,0.001120401909718352
6,0.1,200,uniform-minus-tis,300,0.00840230636693913,0.001206400116207182
6,0.1,400,complete_rollout-minus-tis,300,-0.009027287793988524,0.000908735736505173
6,0.1,400,learned_mean-minus-tis,300,0.0012042688468436443,0.0005757375129177153
6,0.1,400,learned_occupancy-minus-tis,300,-0.008866047168635488,0.0009070593925505351
6,0.1,400,occ_plus_mean-minus-tis,300,-0.009062175051992688,0.0009074446730761815
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.008366801178567761,0.0009094899916670201
6,0.1,400,oracle_tail-minus-tis,300,-0.009210165174599225,0.0009085228724673409
6,0.1,400,tis_anchored-minus-tis,300,-0.009104934243521419,0.0009080718960032347
6,0.1,400,uniform-minus-tis,300,0.004876489281647044,0.0009214200229136144
