horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.003358747677674922
6,0.1,100,0,learned_mean,0.008581570359651175
6,0.1,100,0,learned_occupancy,0.0060964857580267946
6,0.1,100,0,occ_plus_mean,0.0041983660373468715
6,0.1,100,0,occ_plus_uniform,0.0080738488873705
6,0.1,100,0,oracle_tail,0.0015070262371497992
6,0.1,100,0,tis,0.023330925308418893
6,0.1,100,0,tis_anchored,0.00483592617687153
6,0.1,100,0,uniform,0.07576443462250182
6,0.1,100,1,complete_rollout,0.0031053148322145252
6,0.1,100,1,learned_mean,0.027315498087469973
6,0.1,100,1,learned_occupancy,0.004810247233066955
6,0.1,100,1,occ_plus_mean,0.00489331038955958
6,0.1,100,1,occ_plus_uniform,0.007896023704743363
6,0.1,100,1,oracle_tail,0.0020243664647211007
6,0.1,100,1,tis,0.026324242755691025
6,0.1,100,1,tis_anchored,0.005171095027462473
6,0.1,100,1,uniform,0.04338322222637951
6,0.1,100,2,complete_rollout,0.003991692718157976
6,0.1,100,2,learned_mean,0.009091065731610653
6,0.1,100,2,learned_occupancy,0.005950244654843861
6,0.1,100,2,occ_plus_mean,0.004805504256202127
6,0.1,100,2,occ_plus_uniform,0.00998723898801215
6,0.1,100,2,oracle_tail,0.0015884203480655214
6,0.1,100,2,tis,0.019752919085776928
6,0.1,100,2,tis_anchored,0.005026947376278769
6,0.1,100,2,uniform,0.03585856324477798
6,0.1,100,3,complete_rollout,0.0034659662376665167
6,0.1,100,3,learned_mean,0.005798822792772239
6,0.1,100,3,learned_occupancy,0.005609667782722436
6,0.1,100,3,occ_plus_mean,0.005158323305820568
6,0.1,100,3,occ_plus_uniform,0.00845254770946117
6,0.1,100,3,oracle_tail,0.010715145066886395
6,0.1,100,3,tis,0.03108125399491499
6,0.1,100,3,tis_anchored,0.002890973685929441
6,0.1,100,3,uniform,0.043715722886941734
6,0.1,100,4,complete_rollout,0.0022175187694845277
6,0.1,100,4,learned_mean,0.00607853685683553
6,0.1,100,4,learned_occupancy,0.002777588160617842
6,0.1,100,4,occ_plus_mean,0.002536958782885841
6,0.1,100,4,occ_plus_uniform,0.005007401514739498
6,0.1,100,4,oracle_tail,0.0012517626493023177
6,0.1,100,4,tis,0.012089168561727193
6,0.1,100,4,tis_anchored,0.003336643268368276
6,0.1,100,4,uniform,0.038990186133630915
6,0.1,100,5,complete_rollout,0.0034763257216143023
6,0.1,100,5,learned_mean,0.0967564107126918
6,0.1,100,5,learned_occupancy,0.0031653714346316477
6,0.1,100,5,occ_plus_mean,0.0024867710050273544
6,0.1,100,5,occ_plus_uniform,0.007642470061377852
6,0.1,100,5,oracle_tail,0.0027494717815538493
6,0.1,100,5,tis,0.09457260237661415
6,0.1,100,5,tis_anchored,0.0026161796322469798
6,0.1,100,5,uniform,0.06789870427463149
6,0.1,100,6,complete_rollout,0.0028304031613661964
6,0.1,100,6,learned_mean,0.019496556360711608
6,0.1,100,6,learned_occupancy,0.005108587596264967
6,0.1,100,6,occ_plus_mean,0.004367241458943252
6,0.1,100,6,occ_plus_uniform,0.00780777864795528
6,0.1,100,6,oracle_tail,0.0011643030891520876
6,0.1,100,6,tis,0.026532953267026003
6,0.1,100,6,tis_anchored,0.003924748752581251
6,0.1,100,6,uniform,0.0826751496987039
6,0.1,100,7,complete_rollout,0.006036210267343013
6,0.1,100,7,learned_mean,0.03842744762543352
6,0.1,100,7,learned_occupancy,0.003954178322981242
6,0.1,100,7,occ_plus_mean,0.007095484719474829
6,0.1,100,7,occ_plus_uniform,0.006822969597032695
6,0.1,100,7,oracle_tail,0.0029400887086321295
6,0.1,100,7,tis,0.04009340274467263
6,0.1,100,7,tis_anchored,0.006590251550895901
6,0.1,100,7,uniform,0.045271717787067976
6,0.1,100,8,complete_rollout,0.005339947414273229
6,0.1,100,8,learned_mean,0.03916615724442364
6,0.1,100,8,learned_occupancy,0.004507580835928019
6,0.1,100,8,occ_plus_mean,0.005277525121384372
6,0.1,100,8,occ_plus_uniform,0.005875502073491198
6,0.1,100,8,oracle_tail,0.0017794032461931814
6,0.1,100,8,tis,0.039932857618263165
6,0.1,100,8,tis_anchored,0.005124590525941149
6,0.1,100,8,uniform,0.07478619090979798
6,0.1,100,9,complete_rollout,0.004344781708475161
6,0.1,100,9,learned_mean,0.04123425642106315
6,0.1,100,9,learned_occupancy,0.005172596532284987
6,0.1,100,9,occ_plus_mean,0.0030881554953256104
6,0.1,100,9,occ_plus_uniform,0.006646125823363658
6,0.1,100,9,oracle_tail,0.004335200890662339
6,0.1,100,9,tis,0.043770184149356184
6,0.1,100,9,tis_anchored,0.0031339380470172297
6,0.1,100,9,uniform,0.04576933229373719
6,0.1,100,10,complete_rollout,0.0029580151074462295
6,0.1,100,10,learned_mean,0.10353890301721086
6,0.1,100,10,learned_occupancy,0.01164230136615082
6,0.1,100,10,occ_plus_mean,0.008052521303836258
6,0.1,100,10,occ_plus_uniform,0.007764997500988343
6,0.1,100,10,oracle_tail,0.001617555677401084
6,0.1,100,10,tis,0.027155642915280685
6,0.1,100,10,tis_anchored,0.006408187297629245
6,0.1,100,10,uniform,0.06997643698842396
6,0.1,100,11,complete_rollout,0.003448810106998146
6,0.1,100,11,learned_mean,0.10759872191217594
6,0.1,100,11,learned_occupancy,0.003670391347749054
6,0.1,100,11,occ_plus_mean,0.0024060016743360484
6,0.1,100,11,occ_plus_uniform,0.010344173412746018
6,0.1,100,11,oracle_tail,0.011298582456037626
6,0.1,100,11,tis,0.11823014480591021
6,0.1,100,11,tis_anchored,0.0022414318592537206
6,0.1,100,11,uniform,0.10254793967270483
6,0.1,100,12,complete_rollout,0.0038722174062217254
6,0.1,100,12,learned_mean,0.02755610693506898
6,0.1,100,12,learned_occupancy,0.010175605629216114
6,0.1,100,12,occ_plus_mean,0.006527005661424875
6,0.1,100,12,occ_plus_uniform,0.00838495593346667
6,0.1,100,12,oracle_tail,0.0010080121608201217
6,0.1,100,12,tis,0.026502238908574137
6,0.1,100,12,tis_anchored,0.007289069496426669
6,0.1,100,12,uniform,0.060169785487766705
6,0.1,100,13,complete_rollout,0.0037775964558988593
6,0.1,100,13,learned_mean,0.07100410970035444
6,0.1,100,13,learned_occupancy,0.005623474018686596
6,0.1,100,13,occ_plus_mean,0.004569143012985414
6,0.1,100,13,occ_plus_uniform,0.007810634359811257
6,0.1,100,13,oracle_tail,0.0010779542978935441
6,0.1,100,13,tis,0.08774303259195815
6,0.1,100,13,tis_anchored,0.005658513506938628
6,0.1,100,13,uniform,0.07126784889198111
6,0.1,100,14,complete_rollout,0.003610652259714721
6,0.1,100,14,learned_mean,0.004973093326593523
6,0.1,100,14,learned_occupancy,0.00372507389723645
6,0.1,100,14,occ_plus_mean,0.002654045738716011
6,0.1,100,14,occ_plus_uniform,0.00652882434034755
6,0.1,100,14,oracle_tail,0.0013288539816504862
6,0.1,100,14,tis,0.008550281742621011
6,0.1,100,14,tis_anchored,0.002592011695874191
6,0.1,100,14,uniform,0.02724944906770273
6,0.1,100,15,complete_rollout,0.0031712601875673184
6,0.1,100,15,learned_mean,0.04923384791424354
6,0.1,100,15,learned_occupancy,0.005554499507043643
6,0.1,100,15,occ_plus_mean,0.006063705496464401
6,0.1,100,15,occ_plus_uniform,0.006736608925594505
6,0.1,100,15,oracle_tail,0.0020152476292098313
6,0.1,100,15,tis,0.046576139359134926
6,0.1,100,15,tis_anchored,0.006120340563953348
6,0.1,100,15,uniform,0.04571040758568601
6,0.1,100,16,complete_rollout,0.003239750239312498
6,0.1,100,16,learned_mean,0.006617748733572072
6,0.1,100,16,learned_occupancy,0.003985842112156178
6,0.1,100,16,occ_plus_mean,0.004303332548162546
6,0.1,100,16,occ_plus_uniform,0.006002422629945809
6,0.1,100,16,oracle_tail,0.0017180830042455326
6,0.1,100,16,tis,0.024803476646469588
6,0.1,100,16,tis_anchored,0.005041795510561508
6,0.1,100,16,uniform,0.03549401555588484
6,0.1,100,17,complete_rollout,0.0018051416691554445
6,0.1,100,17,learned_mean,0.02529673018123628
6,0.1,100,17,learned_occupancy,0.0034978895095255417
6,0.1,100,17,occ_plus_mean,0.002949251414270922
6,0.1,100,17,occ_plus_uniform,0.004032829325486753
6,0.1,100,17,oracle_tail,0.002118977170236319
6,0.1,100,17,tis,0.012041946248203511
6,0.1,100,17,tis_anchored,0.0032536780516818817
6,0.1,100,17,uniform,0.061417047172723456
6,0.1,100,18,complete_rollout,0.002011975359175347
6,0.1,100,18,learned_mean,0.04890011879064309
6,0.1,100,18,learned_occupancy,0.0030526611613378232
6,0.1,100,18,occ_plus_mean,0.005058774597784333
6,0.1,100,18,occ_plus_uniform,0.0054567334670690155
6,0.1,100,18,oracle_tail,0.0018681470543334981
6,0.1,100,18,tis,0.060696122038842365
6,0.1,100,18,tis_anchored,0.00549179675228561
6,0.1,100,18,uniform,0.07723112017352458
6,0.1,100,19,complete_rollout,0.0031926176221996065
6,0.1,100,19,learned_mean,0.04390733557306567
6,0.1,100,19,learned_occupancy,0.005357537821206162
6,0.1,100,19,occ_plus_mean,0.003994888317882985
6,0.1,100,19,occ_plus_uniform,0.006600880063128148
6,0.1,100,19,oracle_tail,0.0014435132777276835
6,0.1,100,19,tis,0.054099115283595525
6,0.1,100,19,tis_anchored,0.0049845413189410935
6,0.1,100,19,uniform,0.046822099866585365
6,0.1,100,20,complete_rollout,0.0034338614828403028
6,0.1,100,20,learned_mean,0.036694370739476144
6,0.1,100,20,learned_occupancy,0.004143590173817971
6,0.1,100,20,occ_plus_mean,0.003329095462726714
6,0.1,100,20,occ_plus_uniform,0.009222641049051987
6,0.1,100,20,oracle_tail,0.0014538841547664133
6,0.1,100,20,tis,0.03513155609690134
6,0.1,100,20,tis_anchored,0.003580049823849429
6,0.1,100,20,uniform,0.0855880866648733
6,0.1,100,21,complete_rollout,0.0033048706514506557
6,0.1,100,21,learned_mean,0.026602327366544058
6,0.1,100,21,learned_occupancy,0.0032212453259532576
6,0.1,100,21,occ_plus_mean,0.003664399945747543
6,0.1,100,21,occ_plus_uniform,0.0054199581479020395
6,0.1,100,21,oracle_tail,0.0017918467379039941
6,0.1,100,21,tis,0.03284565196138311
6,0.1,100,21,tis_anchored,0.003378186658646463
6,0.1,100,21,uniform,0.05539528694984932
6,0.1,100,22,complete_rollout,0.002164591678270939
6,0.1,100,22,learned_mean,0.057268142574193756
6,0.1,100,22,learned_occupancy,0.007580505656574022
6,0.1,100,22,occ_plus_mean,0.007090931676213992
6,0.1,100,22,occ_plus_uniform,0.010303061891604478
6,0.1,100,22,oracle_tail,0.002276986145515246
6,0.1,100,22,tis,0.0611560698881407
6,0.1,100,22,tis_anchored,0.008421171514743928
6,0.1,100,22,uniform,0.04239656271431903
6,0.1,100,23,complete_rollout,0.002681617083079148
6,0.1,100,23,learned_mean,0.06155040062562361
6,0.1,100,23,learned_occupancy,0.004032331283127366
6,0.1,100,23,occ_plus_mean,0.003457806766710395
6,0.1,100,23,occ_plus_uniform,0.00475007743810546
6,0.1,100,23,oracle_tail,0.0012112975852618946
6,0.1,100,23,tis,0.05567802751809234
6,0.1,100,23,tis_anchored,0.0030674895826250104
6,0.1,100,23,uniform,0.048854394272661
6,0.1,100,24,complete_rollout,0.0020071185328269744
6,0.1,100,24,learned_mean,0.03593600397907879
6,0.1,100,24,learned_occupancy,0.004554641285947344
6,0.1,100,24,occ_plus_mean,0.003338324368065782
6,0.1,100,24,occ_plus_uniform,0.0064671846455467506
6,0.1,100,24,oracle_tail,0.00092158388210421
6,0.1,100,24,tis,0.01863039642922889
6,0.1,100,24,tis_anchored,0.0027828354884827074
6,0.1,100,24,uniform,0.03089582695341046
6,0.1,100,25,complete_rollout,0.0038110509618692993
6,0.1,100,25,learned_mean,0.05550575990891333
6,0.1,100,25,learned_occupancy,0.005222598236016208
6,0.1,100,25,occ_plus_mean,0.004182072728577848
6,0.1,100,25,occ_plus_uniform,0.009480836555160195
6,0.1,100,25,oracle_tail,0.0021223345000040915
6,0.1,100,25,tis,0.056082020334624
6,0.1,100,25,tis_anchored,0.0071960803594321495
6,0.1,100,25,uniform,0.037558481863462306
6,0.1,100,26,complete_rollout,0.0033741883455904215
6,0.1,100,26,learned_mean,0.023907703627167542
6,0.1,100,26,learned_occupancy,0.004175654192174889
6,0.1,100,26,occ_plus_mean,0.006778601352717387
6,0.1,100,26,occ_plus_uniform,0.005657368586926475
6,0.1,100,26,oracle_tail,0.0011782084452440966
6,0.1,100,26,tis,0.022745140764339946
6,0.1,100,26,tis_anchored,0.005711811222388237
6,0.1,100,26,uniform,0.05206918914434527
6,0.1,100,27,complete_rollout,0.004987645058217964
6,0.1,100,27,learned_mean,0.10854981934783267
6,0.1,100,27,learned_occupancy,0.00596856496389677
6,0.1,100,27,occ_plus_mean,0.007879907804900907
6,0.1,100,27,occ_plus_uniform,0.009131969472893497
6,0.1,100,27,oracle_tail,0.0021220615505584883
6,0.1,100,27,tis,0.11427466218208462
6,0.1,100,27,tis_anchored,0.005244803596958721
6,0.1,100,27,uniform,0.03253555990400863
6,0.1,100,28,complete_rollout,0.003285170544313195
6,0.1,100,28,learned_mean,0.02953462837651331
6,0.1,100,28,learned_occupancy,0.0045561026902052725
6,0.1,100,28,occ_plus_mean,0.002941498440541838
6,0.1,100,28,occ_plus_uniform,0.004772309305352702
6,0.1,100,28,oracle_tail,0.0019131233632079438
6,0.1,100,28,tis,0.020861374278415123
6,0.1,100,28,tis_anchored,0.004035818937757477
6,0.1,100,28,uniform,0.08562850867056246
6,0.1,100,29,complete_rollout,0.0035740048553876036
6,0.1,100,29,learned_mean,0.011561429504010852
6,0.1,100,29,learned_occupancy,0.003129336705014032
6,0.1,100,29,occ_plus_mean,0.0020709052022334705
6,0.1,100,29,occ_plus_uniform,0.00547551643781697
6,0.1,100,29,oracle_tail,0.0017470175610758
6,0.1,100,29,tis,0.021642506039047146
6,0.1,100,29,tis_anchored,0.0024261812432604182
6,0.1,100,29,uniform,0.04964702290245455
6,0.1,100,30,complete_rollout,0.003907159637734114
6,0.1,100,30,learned_mean,0.026443339783300237
6,0.1,100,30,learned_occupancy,0.006498942497535424
6,0.1,100,30,occ_plus_mean,0.004552831340416959
6,0.1,100,30,occ_plus_uniform,0.0063815164457675
6,0.1,100,30,oracle_tail,0.0023446616780628876
6,0.1,100,30,tis,0.034263448911431
6,0.1,100,30,tis_anchored,0.004696935098194635
6,0.1,100,30,uniform,0.06475625124198316
6,0.1,100,31,complete_rollout,0.003330149929705793
6,0.1,100,31,learned_mean,0.030282767897990323
6,0.1,100,31,learned_occupancy,0.004643702610210535
6,0.1,100,31,occ_plus_mean,0.00296559263741324
6,0.1,100,31,occ_plus_uniform,0.004799481809622564
6,0.1,100,31,oracle_tail,0.013771495923878711
6,0.1,100,31,tis,0.04241283142684366
6,0.1,100,31,tis_anchored,0.002693715610203265
6,0.1,100,31,uniform,0.029413225416609238
6,0.1,100,32,complete_rollout,0.00363016425607613
6,0.1,100,32,learned_mean,0.03485428628107225
6,0.1,100,32,learned_occupancy,0.004279446493835829
