horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0028319334233083988
6,0.1,100,0,learned_mean,0.0022993586831673
6,0.1,100,0,learned_occupancy,0.0016910469437752852
6,0.1,100,0,occ_plus_mean,0.0017593083006227702
6,0.1,100,0,occ_plus_uniform,0.0018381900207298128
6,0.1,100,0,oracle_tail,0.0010756292196559165
6,0.1,100,0,tis,0.003908665031690912
6,0.1,100,0,tis_anchored,0.002474101746898835
6,0.1,100,0,uniform,0.015420014678782755
6,0.1,100,1,complete_rollout,0.0019252405592583377
6,0.1,100,1,learned_mean,0.0023719673148155946
6,0.1,100,1,learned_occupancy,0.003584814708504347
6,0.1,100,1,occ_plus_mean,0.0019493414947082425
6,0.1,100,1,occ_plus_uniform,0.003129842779880671
6,0.1,100,1,oracle_tail,0.00099869627026206
6,0.1,100,1,tis,0.004371425113683767
6,0.1,100,1,tis_anchored,0.0018812359284203863
6,0.1,100,1,uniform,0.024485828819523194
6,0.1,100,2,complete_rollout,0.0014493565973823404
6,0.1,100,2,learned_mean,0.0017788934372730354
6,0.1,100,2,learned_occupancy,0.002224228806415976
6,0.1,100,2,occ_plus_mean,0.0017514580819162529
6,0.1,100,2,occ_plus_uniform,0.0025144985740150096
6,0.1,100,2,oracle_tail,0.0017165724033347514
6,0.1,100,2,tis,0.0024321466147052425
6,0.1,100,2,tis_anchored,0.0015103392471748779
6,0.1,100,2,uniform,0.016913909527461534
6,0.1,100,3,complete_rollout,0.002675716471586498
6,0.1,100,3,learned_mean,0.0021454858954279804
6,0.1,100,3,learned_occupancy,0.0039012402420180586
6,0.1,100,3,occ_plus_mean,0.003120979831154736
6,0.1,100,3,occ_plus_uniform,0.00419249676751822
6,0.1,100,3,oracle_tail,0.0007853031115716216
6,0.1,100,3,tis,0.0017689965247938355
6,0.1,100,3,tis_anchored,0.001518670986002729
6,0.1,100,3,uniform,0.009270129858093569
6,0.1,100,4,complete_rollout,0.001265795363412951
6,0.1,100,4,learned_mean,0.005694200323900623
6,0.1,100,4,learned_occupancy,0.004417507617133921
6,0.1,100,4,occ_plus_mean,0.004490366485602808
6,0.1,100,4,occ_plus_uniform,0.004153432738182582
6,0.1,100,4,oracle_tail,0.0016582509329874048
6,0.1,100,4,tis,0.005230185488388018
6,0.1,100,4,tis_anchored,0.002936327060471103
6,0.1,100,4,uniform,0.019106932554696268
6,0.1,100,5,complete_rollout,0.0036192550643984883
6,0.1,100,5,learned_mean,0.00245974191534829
6,0.1,100,5,learned_occupancy,0.0031239110396320447
6,0.1,100,5,occ_plus_mean,0.0019062328877932615
6,0.1,100,5,occ_plus_uniform,0.0031469527956045807
6,0.1,100,5,oracle_tail,0.0014014935521201252
6,0.1,100,5,tis,0.004671105619743087
6,0.1,100,5,tis_anchored,0.0020439739413113346
6,0.1,100,5,uniform,0.013772480356861681
6,0.1,100,6,complete_rollout,0.0031585037037634165
6,0.1,100,6,learned_mean,0.0027221367951166292
6,0.1,100,6,learned_occupancy,0.0030608600089108563
6,0.1,100,6,occ_plus_mean,0.0024380631503129204
6,0.1,100,6,occ_plus_uniform,0.0024358338228927957
6,0.1,100,6,oracle_tail,0.0007913929635008526
6,0.1,100,6,tis,0.0026730171869990956
6,0.1,100,6,tis_anchored,0.0018810673779232838
6,0.1,100,6,uniform,0.01610739905311813
6,0.1,100,7,complete_rollout,0.001895603403801991
6,0.1,100,7,learned_mean,0.0019468021883341726
