horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.002245856277983192,4.1193137479303444e-05,0.12021927676574523
6,0.1,100,learned_mean,300,0.0073680738006405115,0.0008937028535591167,0.39440836537638285
6,0.1,100,learned_occupancy,300,0.003333426498346651,9.153829303220406e-05,0.1784362279597324
6,0.1,100,occ_plus_mean,300,0.0026843890518611787,5.602362715378532e-05,0.14369366087060478
6,0.1,100,occ_plus_uniform,300,0.0038732067862077457,7.090598592510088e-05,0.2073303279318555
6,0.1,100,oracle_tail,300,0.0010519230648840868,2.1075682239948614e-05,0.05630878133801821
6,0.1,100,tis,300,0.008634236601055816,0.0009301918628929859,0.4621852652723599
6,0.1,100,tis_anchored,300,0.0024110918185405094,5.309289522575697e-05,0.1290642315282273
6,0.1,100,uniform,300,0.01868133246517015,0.00040054713742593994,1.0
6,0.1,200,complete_rollout,300,0.001141809437007098,2.03872654779789e-05,0.12323631541985336
6,0.1,200,learned_mean,300,0.0029687364890936176,0.0005210790129256743,0.320417868788463
6,0.1,200,learned_occupancy,300,0.0015038151716019773,5.460046846526326e-05,0.16230785524638305
6,0.1,200,occ_plus_mean,300,0.0012484090801380676,4.1809804318291764e-05,0.13474169172762537
6,0.1,200,occ_plus_uniform,300,0.001798254972434545,3.5593710044016506e-05,0.19408695514826585
6,0.1,200,oracle_tail,300,0.0005323909579985667,1.0441593788442687e-05,0.05746133978237685
6,0.1,200,tis,300,0.0036247159267452376,0.0005487427424885818,0.3912182022480213
6,0.1,200,tis_anchored,300,0.0010256659386613655,2.8520755559411522e-05,0.1107008639406492
6,0.1,200,uniform,300,0.009265202656514612,0.00020710034838496404,1.0
6,0.1,400,complete_rollout,300,0.0005693082016456084,1.0283689387276084e-05,0.12697867559650255
6,0.1,400,learned_mean,300,0.0007137349437279644,7.491740603461309e-05,0.15919166036876697
6,0.1,400,learned_occupancy,300,0.0006172082296209127,1.5717337924391478e-05,0.1376623125013609
6,0.1,400,occ_plus_mean,300,0.0005080934066632317,1.1251089340463068e-05,0.11332530898188935
6,0.1,400,occ_plus_uniform,300,0.0008552439262001279,1.6824824271785782e-05,0.19075386714426215
6,0.1,400,oracle_tail,300,0.0002457300535929157,4.285562858614172e-06,0.054807706386969315
6,0.1,400,tis,300,0.0009607997507964306,9.938378090319929e-05,0.21429707057957603
6,0.1,400,tis_anchored,300,0.00041513043402228994,7.822878103354763e-06,0.09259081910217247
6,0.1,400,uniform,300,0.0044834945629350165,9.470405377832804e-05,1.0
