horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.016472634348805967,0.0012263754857359825
6,0.1,100,learned_mean-minus-tis,300,0.001929992211002755,0.0012148474754350644
6,0.1,100,learned_occupancy-minus-tis,300,-0.01312713087944888,0.0012109739623735955
6,0.1,100,occ_plus_mean-minus-tis,300,-0.015164228401393325,0.0012193947921943775
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.012208285531142395,0.0012114799242087762
6,0.1,100,oracle_tail-minus-tis,300,-0.018515079852594468,0.001220873572546218
6,0.1,100,tis_anchored-minus-tis,300,-0.01516539319819388,0.0011879756049757812
6,0.1,100,uniform-minus-tis,300,0.019671371105969507,0.0013751871324638165
6,0.1,200,complete_rollout-minus-tis,300,-0.008079443654812057,0.000720399077591859
6,0.1,200,learned_mean-minus-tis,300,-0.0004928032245934227,0.0005280995230170735
6,0.1,200,learned_occupancy-minus-tis,300,-0.006799264780395502,0.0007214197373252033
6,0.1,200,occ_plus_mean-minus-tis,300,-0.007846006241550274,0.0007176762195003324
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.0062450536624531205,0.0007256540339477203
6,0.1,200,oracle_tail-minus-tis,300,-0.009133819228537374,0.0007201112340565606
6,0.1,200,tis_anchored-minus-tis,300,-0.00783039904277119,0.0007160844457547375
6,0.1,200,uniform-minus-tis,300,0.010960917386652082,0.0008704793180238647
6,0.1,400,complete_rollout-minus-tis,300,-0.004335032437977247,0.00048248919144587663
6,0.1,400,learned_mean-minus-tis,300,-0.0006527087425060945,0.0001744630638370827
6,0.1,400,learned_occupancy-minus-tis,300,-0.00390753819648063,0.0004824363628760426
6,0.1,400,occ_plus_mean-minus-tis,300,-0.004385865917932382,0.0004825084076825325
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.0034529491933425987,0.00048375394456853235
6,0.1,400,oracle_tail-minus-tis,300,-0.00482322782553097,0.00048284429274652967
6,0.1,400,tis_anchored-minus-tis,300,-0.004400059418433867,0.00048301489455783295
6,0.1,400,uniform-minus-tis,300,0.0053567234580993075,0.0005354094400025739
