horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.005027715854966002
6,0.1,100,0,learned_mean,0.006943827052407946
6,0.1,100,0,learned_occupancy,0.006959345298790856
6,0.1,100,0,occ_plus_mean,0.003906974061476296
6,0.1,100,0,occ_plus_uniform,0.009550046885367968
6,0.1,100,0,oracle_tail,0.0014418103037133387
6,0.1,100,0,tis,0.005799006962251776
6,0.1,100,0,tis_anchored,0.006773207176792851
6,0.1,100,0,uniform,0.026943131940888848
6,0.1,100,1,complete_rollout,0.0040252235787775785
6,0.1,100,1,learned_mean,0.00580063021494359
6,0.1,100,1,learned_occupancy,0.005827130548279305
6,0.1,100,1,occ_plus_mean,0.003069780768984854
6,0.1,100,1,occ_plus_uniform,0.006832457573596974
6,0.1,100,1,oracle_tail,0.0013510966421389006
6,0.1,100,1,tis,0.004279318452671738
6,0.1,100,1,tis_anchored,0.0029078512204354884
6,0.1,100,1,uniform,0.03491133825189529
6,0.1,100,2,complete_rollout,0.0028810783434414186
6,0.1,100,2,learned_mean,0.030507241809991984
6,0.1,100,2,learned_occupancy,0.005469170592158647
6,0.1,100,2,occ_plus_mean,0.002749217329740397
6,0.1,100,2,occ_plus_uniform,0.0034819653700927343
6,0.1,100,2,oracle_tail,0.0008115481393357746
6,0.1,100,2,tis,0.02201646823735701
6,0.1,100,2,tis_anchored,0.00402633040527922
6,0.1,100,2,uniform,0.0317726341500282
6,0.1,100,3,complete_rollout,0.0026171372266870605
6,0.1,100,3,learned_mean,0.004749064355589141
6,0.1,100,3,learned_occupancy,0.0047610491208945945
6,0.1,100,3,occ_plus_mean,0.003491148298906772
6,0.1,100,3,occ_plus_uniform,0.00487541216689906
6,0.1,100,3,oracle_tail,0.0009799280342395599
6,0.1,100,3,tis,0.003838447592606639
6,0.1,100,3,tis_anchored,0.002430736486231126
6,0.1,100,3,uniform,0.04057758618689676
6,0.1,100,4,complete_rollout,0.0019751917008511708
6,0.1,100,4,learned_mean,0.06463753044279046
6,0.1,100,4,learned_occupancy,0.00611062650296272
6,0.1,100,4,occ_plus_mean,0.005436135260274953
6,0.1,100,4,occ_plus_uniform,0.007283915253007642
6,0.1,100,4,oracle_tail,0.0019564965422252884
6,0.1,100,4,tis,0.06839809980630265
6,0.1,100,4,tis_anchored,0.003903615206297319
6,0.1,100,4,uniform,0.041003325012341316
6,0.1,100,5,complete_rollout,0.0022186790740153133
6,0.1,100,5,learned_mean,0.06455513712062459
6,0.1,100,5,learned_occupancy,0.010688385766996173
6,0.1,100,5,occ_plus_mean,0.008433076326279498
6,0.1,100,5,occ_plus_uniform,0.00343957302701751
6,0.1,100,5,oracle_tail,0.001291364087616374
6,0.1,100,5,tis,0.03621142800300844
6,0.1,100,5,tis_anchored,0.008485518577881221
6,0.1,100,5,uniform,0.02595260247506496
6,0.1,100,6,complete_rollout,0.0027837773243743337
6,0.1,100,6,learned_mean,0.02692477424953799
6,0.1,100,6,learned_occupancy,0.0073937207341312075
6,0.1,100,6,occ_plus_mean,0.003528376293076755
6,0.1,100,6,occ_plus_uniform,0.009529897762495708
6,0.1,100,6,oracle_tail,0.0010668580237666208
6,0.1,100,6,tis,0.02673239558394146
6,0.1,100,6,tis_anchored,0.003476439813845616
6,0.1,100,6,uniform,0.04118620018313884
6,0.1,100,7,complete_rollout,0.0019726921188485407
6,0.1,100,7,learned_mean,0.005133972882956931
6,0.1,100,7,learned_occupancy,0.004262664438952638
6,0.1,100,7,occ_plus_mean,0.0035847703218578972
6,0.1,100,7,occ_plus_uniform,0.006320439803339921
6,0.1,100,7,oracle_tail,0.0013519906722949746
6,0.1,100,7,tis,0.006044604104119322
6,0.1,100,7,tis_anchored,0.0021237966482543303
6,0.1,100,7,uniform,0.03752047803446404
6,0.1,100,8,complete_rollout,0.0025048367959303324
6,0.1,100,8,learned_mean,0.008407865397126039
6,0.1,100,8,learned_occupancy,0.005553585317874463
6,0.1,100,8,occ_plus_mean,0.004130509343754678
6,0.1,100,8,occ_plus_uniform,0.0038434778358261926
6,0.1,100,8,oracle_tail,0.0011654560920660005
6,0.1,100,8,tis,0.008373370854878789
6,0.1,100,8,tis_anchored,0.002884625487037807
6,0.1,100,8,uniform,0.059892347184320516
6,0.1,100,9,complete_rollout,0.004473063994143685
6,0.1,100,9,learned_mean,0.00469480698027744
6,0.1,100,9,learned_occupancy,0.004047602108983393
6,0.1,100,9,occ_plus_mean,0.004783553229075819
6,0.1,100,9,occ_plus_uniform,0.0072600551542395
6,0.1,100,9,oracle_tail,0.001936470461564237
6,0.1,100,9,tis,0.004776365245996744
6,0.1,100,9,tis_anchored,0.004805061998502925
6,0.1,100,9,uniform,0.02948027569567127
6,0.1,100,10,complete_rollout,0.004572383330390195
6,0.1,100,10,learned_mean,0.06438205787469992
6,0.1,100,10,learned_occupancy,0.009938449336062753
6,0.1,100,10,occ_plus_mean,0.010688466422070293
6,0.1,100,10,occ_plus_uniform,0.007213938195999263
6,0.1,100,10,oracle_tail,0.0016521270486041743
6,0.1,100,10,tis,0.004284638714162181
6,0.1,100,10,tis_anchored,0.002947537096109517
6,0.1,100,10,uniform,0.06306435923540706
6,0.1,100,11,complete_rollout,0.0032945432156759238
6,0.1,100,11,learned_mean,0.018047466232879377
6,0.1,100,11,learned_occupancy,0.006988584630318839
6,0.1,100,11,occ_plus_mean,0.006544148961178599
6,0.1,100,11,occ_plus_uniform,0.010184241413988366
6,0.1,100,11,oracle_tail,0.0011949428737058124
6,0.1,100,11,tis,0.019374028320070853
6,0.1,100,11,tis_anchored,0.0069945334379505255
6,0.1,100,11,uniform,0.05630668934432862
6,0.1,100,12,complete_rollout,0.0027185714297179803
6,0.1,100,12,learned_mean,0.008408007415432591
6,0.1,100,12,learned_occupancy,0.005017372318360054
6,0.1,100,12,occ_plus_mean,0.0021200032203961957
6,0.1,100,12,occ_plus_uniform,0.012177665738852593
6,0.1,100,12,oracle_tail,0.0012202604665065176
6,0.1,100,12,tis,0.009456754372873577
6,0.1,100,12,tis_anchored,0.0023033024006774826
6,0.1,100,12,uniform,0.038790430975498294
6,0.1,100,13,complete_rollout,0.0033956567727392627
6,0.1,100,13,learned_mean,0.006830771428962284
6,0.1,100,13,learned_occupancy,0.0053339619157652
6,0.1,100,13,occ_plus_mean,0.004116953316992786
6,0.1,100,13,occ_plus_uniform,0.012488861512660276
6,0.1,100,13,oracle_tail,0.0007849579637472234
6,0.1,100,13,tis,0.011402053416406922
6,0.1,100,13,tis_anchored,0.003997497965914143
6,0.1,100,13,uniform,0.04491482187517257
6,0.1,100,14,complete_rollout,0.0038987139912080027
6,0.1,100,14,learned_mean,0.009620402535447724
6,0.1,100,14,learned_occupancy,0.006065060507815296
6,0.1,100,14,occ_plus_mean,0.004689012426315546
6,0.1,100,14,occ_plus_uniform,0.005437041741054801
6,0.1,100,14,oracle_tail,0.0006165690588978512
6,0.1,100,14,tis,0.026401067767764828
6,0.1,100,14,tis_anchored,0.0037904332745658667
6,0.1,100,14,uniform,0.04422528353063259
6,0.1,100,15,complete_rollout,0.005479130697410131
6,0.1,100,15,learned_mean,0.010905756428283927
6,0.1,100,15,learned_occupancy,0.0038952019818532424
6,0.1,100,15,occ_plus_mean,0.003245392647990478
6,0.1,100,15,occ_plus_uniform,0.007766753084065123
6,0.1,100,15,oracle_tail,0.0009728840301706642
6,0.1,100,15,tis,0.008242492236041003
6,0.1,100,15,tis_anchored,0.002452262366430722
6,0.1,100,15,uniform,0.030916434909517437
6,0.1,100,16,complete_rollout,0.003079965401029945
6,0.1,100,16,learned_mean,0.007763469551976944
6,0.1,100,16,learned_occupancy,0.006658168802600958
6,0.1,100,16,occ_plus_mean,0.0037694822102485336
6,0.1,100,16,occ_plus_uniform,0.005599418129753338
6,0.1,100,16,oracle_tail,0.0008438094489748348
6,0.1,100,16,tis,0.006500758592770409
6,0.1,100,16,tis_anchored,0.003497305493625937
6,0.1,100,16,uniform,0.02434242260132094
6,0.1,100,17,complete_rollout,0.0059741413633635785
6,0.1,100,17,learned_mean,0.003582586835614219
6,0.1,100,17,learned_occupancy,0.003914945021421376
6,0.1,100,17,occ_plus_mean,0.0011976861439931983
6,0.1,100,17,occ_plus_uniform,0.005242853175733043
6,0.1,100,17,oracle_tail,0.0009975845902337977
6,0.1,100,17,tis,0.005248597495053052
6,0.1,100,17,tis_anchored,0.0010354863756776474
6,0.1,100,17,uniform,0.04194804523453299
6,0.1,100,18,complete_rollout,0.004493133121939615
6,0.1,100,18,learned_mean,0.0059232591587006595
6,0.1,100,18,learned_occupancy,0.006595117493536958
6,0.1,100,18,occ_plus_mean,0.0041405688944146455
6,0.1,100,18,occ_plus_uniform,0.009102612102422122
6,0.1,100,18,oracle_tail,0.0009946383267172836
6,0.1,100,18,tis,0.012095269587863914
6,0.1,100,18,tis_anchored,0.004456977643337735
6,0.1,100,18,uniform,0.019926769708646368
6,0.1,100,19,complete_rollout,0.002126400912525777
6,0.1,100,19,learned_mean,0.015300958026390846
6,0.1,100,19,learned_occupancy,0.006046740668020555
6,0.1,100,19,occ_plus_mean,0.004032075827021444
6,0.1,100,19,occ_plus_uniform,0.009485493853284704
6,0.1,100,19,oracle_tail,0.0015106859489783342
6,0.1,100,19,tis,0.011198784189249163
6,0.1,100,19,tis_anchored,0.00289379662778665
6,0.1,100,19,uniform,0.04334401845001611
6,0.1,100,20,complete_rollout,0.004642413683803867
6,0.1,100,20,learned_mean,0.017193587203732773
6,0.1,100,20,learned_occupancy,0.0033925198199324276
6,0.1,100,20,occ_plus_mean,0.0028445008518125526
6,0.1,100,20,occ_plus_uniform,0.0046074217944928365
6,0.1,100,20,oracle_tail,0.0006986694953129152
6,0.1,100,20,tis,0.017694228652910315
6,0.1,100,20,tis_anchored,0.0026024329043047136
6,0.1,100,20,uniform,0.041565651514404355
6,0.1,100,21,complete_rollout,0.004342014318728784
6,0.1,100,21,learned_mean,0.04081373303668805
6,0.1,100,21,learned_occupancy,0.009486483967385984
6,0.1,100,21,occ_plus_mean,0.004132536662509554
6,0.1,100,21,occ_plus_uniform,0.012574729984149168
6,0.1,100,21,oracle_tail,0.0007386643443947469
6,0.1,100,21,tis,0.008578911245201631
6,0.1,100,21,tis_anchored,0.0047370971609397355
6,0.1,100,21,uniform,0.03302622548684817
6,0.1,100,22,complete_rollout,0.003311364977030581
6,0.1,100,22,learned_mean,0.011721649773731921
6,0.1,100,22,learned_occupancy,0.0055916847669145045
6,0.1,100,22,occ_plus_mean,0.004592117802607648
6,0.1,100,22,occ_plus_uniform,0.0061224013934563955
6,0.1,100,22,oracle_tail,0.0008183220814881086
6,0.1,100,22,tis,0.011653658994168106
6,0.1,100,22,tis_anchored,0.004657282236605281
6,0.1,100,22,uniform,0.020536060951258858
6,0.1,100,23,complete_rollout,0.004057078596696361
6,0.1,100,23,learned_mean,0.01788389546382192
6,0.1,100,23,learned_occupancy,0.006814277679232171
6,0.1,100,23,occ_plus_mean,0.002023085703790959
6,0.1,100,23,occ_plus_uniform,0.0026354336246748903
6,0.1,100,23,oracle_tail,0.0009441233976284205
6,0.1,100,23,tis,0.006037747246134313
6,0.1,100,23,tis_anchored,0.0016823069320294223
6,0.1,100,23,uniform,0.02595446234313061
6,0.1,100,24,complete_rollout,0.0025035255402825287
6,0.1,100,24,learned_mean,0.03831132125498558
6,0.1,100,24,learned_occupancy,0.004663035963409471
6,0.1,100,24,occ_plus_mean,0.004442163384356904
6,0.1,100,24,occ_plus_uniform,0.009831901064565284
6,0.1,100,24,oracle_tail,0.000552641989041795
6,0.1,100,24,tis,0.013959315400100635
6,0.1,100,24,tis_anchored,0.0031928675650065336
6,0.1,100,24,uniform,0.04518615529949679
6,0.1,100,25,complete_rollout,0.001344895009905222
6,0.1,100,25,learned_mean,0.004501393094385011
6,0.1,100,25,learned_occupancy,0.004097498666869274
6,0.1,100,25,occ_plus_mean,0.0035328554086070524
6,0.1,100,25,occ_plus_uniform,0.0038832501863034987
6,0.1,100,25,oracle_tail,0.0008779810660678468
6,0.1,100,25,tis,0.004481297387126805
6,0.1,100,25,tis_anchored,0.0031414720706193396
6,0.1,100,25,uniform,0.04063216004077247
6,0.1,100,26,complete_rollout,0.0014413187364458195
6,0.1,100,26,learned_mean,0.012660705607399583
6,0.1,100,26,learned_occupancy,0.00914306317363272
6,0.1,100,26,occ_plus_mean,0.005826774026173394
6,0.1,100,26,occ_plus_uniform,0.012344697911049139
6,0.1,100,26,oracle_tail,0.0012431467807549237
6,0.1,100,26,tis,0.02998219991660074
6,0.1,100,26,tis_anchored,0.005552273787159796
6,0.1,100,26,uniform,0.06106386731566015
6,0.1,100,27,complete_rollout,0.002619540691712155
6,0.1,100,27,learned_mean,0.023783677891054802
6,0.1,100,27,learned_occupancy,0.010288683978083678
6,0.1,100,27,occ_plus_mean,0.007223437032353093
6,0.1,100,27,occ_plus_uniform,0.007030657678650163
6,0.1,100,27,oracle_tail,0.0007472851656949768
6,0.1,100,27,tis,0.01402179296559717
6,0.1,100,27,tis_anchored,0.00827798252811799
6,0.1,100,27,uniform,0.0396985736538107
6,0.1,100,28,complete_rollout,0.0027603827590856863
6,0.1,100,28,learned_mean,0.039546660536291946
6,0.1,100,28,learned_occupancy,0.00729398321905169
6,0.1,100,28,occ_plus_mean,0.0042457793588452164
6,0.1,100,28,occ_plus_uniform,0.007169810089995304
6,0.1,100,28,oracle_tail,0.0013917126302753898
6,0.1,100,28,tis,0.021219355739873567
6,0.1,100,28,tis_anchored,0.00401527475777473
6,0.1,100,28,uniform,0.04378864950699024
6,0.1,100,29,complete_rollout,0.002046853308425171
6,0.1,100,29,learned_mean,0.05249895401976377
6,0.1,100,29,learned_occupancy,0.0038524190667195216
6,0.1,100,29,occ_plus_mean,0.0014264267318124216
6,0.1,100,29,occ_plus_uniform,0.0061432270623020795
6,0.1,100,29,oracle_tail,0.001127582278186889
6,0.1,100,29,tis,0.05367496337687314
6,0.1,100,29,tis_anchored,0.0019172227514801486
6,0.1,100,29,uniform,0.024541520122334307
6,0.1,100,30,complete_rollout,0.004053780965704531
6,0.1,100,30,learned_mean,0.02387473474932479
6,0.1,100,30,learned_occupancy,0.008307598341440669
6,0.1,100,30,occ_plus_mean,0.0032308832661840777
6,0.1,100,30,occ_plus_uniform,0.009127044717150323
6,0.1,100,30,oracle_tail,0.0010612191431809584
6,0.1,100,30,tis,0.024049946969924144
6,0.1,100,30,tis_anchored,0.0032614888831262534
6,0.1,100,30,uniform,0.07233963804958475
6,0.1,100,31,complete_rollout,0.003656608888511907
6,0.1,100,31,learned_mean,0.013663318592148335
6,0.1,100,31,learned_occupancy,0.005585739671824818
6,0.1,100,31,occ_plus_mean,0.0028572527426799135
6,0.1,100,31,occ_plus_uniform,0.005109317697098223
6,0.1,100,31,oracle_tail,0.0007487717125264852
6,0.1,100,31,tis,0.004268348373697519
6,0.1,100,31,tis_anchored,0.003066438377021095
6,0.1,100,31,uniform,0.04174443934008078
6,0.1,100,32,complete_rollout,0.0021597208642107606
6,0.1,100,32,learned_mean,0.005766333754243927
6,0.1,100,32,learned_occupancy,0.0059249212021504835
6,0.1,100,32,occ_plus_mean,0.00281874548001359
6,0.1,100,32,occ_plus_uniform,0.007239032907694434
6,0.1,100,32,oracle_tail,0.000688576483770578
6,0.1,100,32,tis,0.005825918785305557
6,0.1,100,32,tis_anchored,0.002798064645222833
6,0.1,100,32,uniform,0.03321718181290043
6,0.1,100,33,complete_rollout,0.004110347652282205
6,0.1,100,33,learned_mean,0.006726352614782219
6,0.1,100,33,learned_occupancy,0.0024481432082572563
6,0.1,100,33,occ_plus_mean,0.0020180161927376237
6,0.1,100,33,occ_plus_uniform,0.005261385086646004
6,0.1,100,33,oracle_tail,0.0009482822554286156
6,0.1,100,33,tis,0.0029610721130019792
6,0.1,100,33,tis_anchored,0.0021734584924931206
6,0.1,100,33,uniform,0.0190034041132165
6,0.1,100,34,complete_rollout,0.0028085173885335447
6,0.1,100,34,learned_mean,0.05068358130402506
6,0.1,100,34,learned_occupancy,0.0033190602088060163
6,0.1,100,34,occ_plus_mean,0.003594546323552808
6,0.1,100,34,occ_plus_uniform,0.006618161970502386
6,0.1,100,34,oracle_tail,0.0012236690215125525
6,0.1,100,34,tis,0.047718717113662046
6,0.1,100,34,tis_anchored,0.0035082320530448107
6,0.1,100,34,uniform,0.03523367512021301
6,0.1,100,35,complete_rollout,0.003429420695887217
6,0.1,100,35,learned_mean,0.008793332458217175
6,0.1,100,35,learned_occupancy,0.009313276380210775
6,0.1,100,35,occ_plus_mean,0.0031542187923355764
6,0.1,100,35,occ_plus_uniform,0.010223010675882566
6,0.1,100,35,oracle_tail,0.001077855879269736
6,0.1,100,35,tis,0.009225849933871306
6,0.1,100,35,tis_anchored,0.0027841091275512485
6,0.1,100,35,uniform,0.04093823432393884
6,0.1,100,36,complete_rollout,0.0038237104604242583
6,0.1,100,36,learned_mean,0.018037932867590308
6,0.1,100,36,learned_occupancy,0.005681765948999179
6,0.1,100,36,occ_plus_mean,0.004776777783009511
6,0.1,100,36,occ_plus_uniform,0.004742156077043444
6,0.1,100,36,oracle_tail,0.001409677060313662
6,0.1,100,36,tis,0.005945957739444254
6,0.1,100,36,tis_anchored,0.005286449582956309
6,0.1,100,36,uniform,0.04656258531745631
6,0.1,100,37,complete_rollout,0.0026455121460855742
6,0.1,100,37,learned_mean,0.0030732877826809115
6,0.1,100,37,learned_occupancy,0.0035794806358738934
6,0.1,100,37,occ_plus_mean,0.004417495384510082
6,0.1,100,37,occ_plus_uniform,0.0026344246514480086
6,0.1,100,37,oracle_tail,0.0013097681324417006
6,0.1,100,37,tis,0.032550806378153975
6,0.1,100,37,tis_anchored,0.003509427581358903
6,0.1,100,37,uniform,0.027383057666184096
6,0.1,100,38,complete_rollout,0.0019967702441343127
6,0.1,100,38,learned_mean,0.0038394552656592614
6,0.1,100,38,learned_occupancy,0.0028503463322038366
6,0.1,100,38,occ_plus_mean,0.0019164666818952138
6,0.1,100,38,occ_plus_uniform,0.0037230505906932936
6,0.1,100,38,oracle_tail,0.0008337090456658167
6,0.1,100,38,tis,0.008924720213791012
6,0.1,100,38,tis_anchored,0.002034006298102703
6,0.1,100,38,uniform,0.036906910697747805
6,0.1,100,39,complete_rollout,0.0028520236464655677
6,0.1,100,39,learned_mean,0.020589351106401407
6,0.1,100,39,learned_occupancy,0.010428560632705934
6,0.1,100,39,occ_plus_mean,0.009488991722517437
6,0.1,100,39,occ_plus_uniform,0.008803747152669263
6,0.1,100,39,oracle_tail,0.0012932110907444671
6,0.1,100,39,tis,0.01516209585951474
6,0.1,100,39,tis_anchored,0.002406792395501984
6,0.1,100,39,uniform,0.04216215066345082
6,0.1,100,40,complete_rollout,0.003554895284054403
6,0.1,100,40,learned_mean,0.009129928500817196
6,0.1,100,40,learned_occupancy,0.00928982254092713
6,0.1,100,40,occ_plus_mean,0.004683355406946182
6,0.1,100,40,occ_plus_uniform,0.01365048118763295
6,0.1,100,40,oracle_tail,0.0007949334487859906
6,0.1,100,40,tis,0.026676831214995145
6,0.1,100,40,tis_anchored,0.009553506524069487
6,0.1,100,40,uniform,0.03805458888740182
6,0.1,100,41,complete_rollout,0.0036279785931539674
6,0.1,100,41,learned_mean,0.006201775517595957
6,0.1,100,41,learned_occupancy,0.004521848000717359
6,0.1,100,41,occ_plus_mean,0.004265612241026061
6,0.1,100,41,occ_plus_uniform,0.005452357926183239
6,0.1,100,41,oracle_tail,0.0010005576760809538
6,0.1,100,41,tis,0.006860525713539621
6,0.1,100,41,tis_anchored,0.003746282128288335
6,0.1,100,41,uniform,0.025178025217375284
6,0.1,100,42,complete_rollout,0.002690361764377069
6,0.1,100,42,learned_mean,0.004331276136450485
6,0.1,100,42,learned_occupancy,0.0035109123723136475
6,0.1,100,42,occ_plus_mean,0.003073911296310841
6,0.1,100,42,occ_plus_uniform,0.0033478648947938036
6,0.1,100,42,oracle_tail,0.0007575190647198867
6,0.1,100,42,tis,0.008257741445178443
6,0.1,100,42,tis_anchored,0.0026746981109289545
6,0.1,100,42,uniform,0.020717784853217663
6,0.1,100,43,complete_rollout,0.0015473378521697325
6,0.1,100,43,learned_mean,0.006507553487365604
6,0.1,100,43,learned_occupancy,0.008062429687188857
6,0.1,100,43,occ_plus_mean,0.0038449950103169104
6,0.1,100,43,occ_plus_uniform,0.012437563507774385
