horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0031294801396328548,6.017878668110187e-05,0.07968429825537113
6,0.1,100,learned_mean,300,0.02153210669944158,0.001410716929596556,0.5482606489734966
6,0.1,100,learned_occupancy,300,0.006474983608989939,0.00019570345425853365,0.16486908434508377
6,0.1,100,occ_plus_mean,300,0.004437886087045495,0.00015486265241899616,0.11299954714682496
6,0.1,100,occ_plus_uniform,300,0.007393828957296426,0.00016851044855672594,0.18826515766018848
6,0.1,100,oracle_tail,300,0.001087034635844352,2.1324402569368108e-05,0.02767858822286763
6,0.1,100,tis,300,0.01960211448843882,0.0012215133496245132,0.4991182776817173
6,0.1,100,tis_anchored,300,0.004436721290244941,0.00016992837011651314,0.11296988854171455
6,0.1,100,uniform,300,0.03927348559440833,0.0008018468123771539,1.0
6,0.1,200,complete_rollout,300,0.001588435352128243,3.338799369370351e-05,0.07700087401229261
6,0.1,200,learned_mean,300,0.00917507578234688,0.0007791883646143628,0.4447702913581908
6,0.1,200,learned_occupancy,300,0.0028686142265447983,8.518110207398502e-05,0.13905872993326132
6,0.1,200,occ_plus_mean,300,0.001821872765390026,6.69099187847951e-05,0.08831696869895557
6,0.1,200,occ_plus_uniform,300,0.0034228253444871784,7.653880379052e-05,0.1659246268750008
6,0.1,200,oracle_tail,300,0.0005340597784029242,1.1033372941672601e-05,0.025889042104696485
6,0.1,200,tis,300,0.009667879006940302,0.0007205436206420589,0.46865938382829214
6,0.1,200,tis_anchored,300,0.0018374799641691093,6.860887035466421e-05,0.08907354210640513
6,0.1,200,uniform,300,0.020628796393592382,0.00047360869310494544,1.0
6,0.1,400,complete_rollout,300,0.000750470457009968,1.4873019288337434e-05,0.07186881720756257
6,0.1,400,learned_mean,300,0.00443279415248112,0.00045592651156990324,0.424506614068069
6,0.1,400,learned_occupancy,300,0.0011779646985065851,2.5960945344364186e-05,0.11280781115785728
6,0.1,400,occ_plus_mean,300,0.0006996369770548329,1.943706396068366e-05,0.0670007480586775
6,0.1,400,occ_plus_uniform,300,0.0016325537016446158,3.4813263086137626e-05,0.15634153545829468
6,0.1,400,oracle_tail,300,0.00026227506945624367,5.592401973624813e-06,0.025116776881466487
6,0.1,400,tis,300,0.005085502894987215,0.0004826357204565623,0.4870132788764953
6,0.1,400,tis_anchored,300,0.0006854434765533474,1.9962387530571072e-05,0.06564150722041602
6,0.1,400,uniform,300,0.010442226353086522,0.00023106292264089183,1.0
