horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0005764200030354983
6,0.1,100,0,learned_mean,0.027522947430837406
6,0.1,100,0,learned_occupancy,0.0005783693426510615
6,0.1,100,0,occ_plus_mean,0.00037900535056357683
6,0.1,100,0,occ_plus_uniform,0.000817775288210639
6,0.1,100,0,oracle_tail,0.00017820216565459478
6,0.1,100,0,tis,0.0288264114119597
6,0.1,100,0,tis_anchored,0.000450011695569957
6,0.1,100,0,uniform,0.01447288022689456
6,0.1,100,1,complete_rollout,0.0005011918128597834
6,0.1,100,1,learned_mean,0.006844677813775965
6,0.1,100,1,learned_occupancy,0.0013731079466358486
6,0.1,100,1,occ_plus_mean,0.0008396909254592467
6,0.1,100,1,occ_plus_uniform,0.0019995322352466018
6,0.1,100,1,oracle_tail,0.0004622320496352049
6,0.1,100,1,tis,0.004956587083770612
6,0.1,100,1,tis_anchored,0.0007873443410693594
6,0.1,100,1,uniform,0.008939451227932013
6,0.1,100,2,complete_rollout,0.00044134597643966843
6,0.1,100,2,learned_mean,0.0022787145691843627
6,0.1,100,2,learned_occupancy,0.0010161237226988943
6,0.1,100,2,occ_plus_mean,0.0007776727635767247
6,0.1,100,2,occ_plus_uniform,0.0009857273312846749
6,0.1,100,2,oracle_tail,0.00030360736938943517
6,0.1,100,2,tis,0.002825912702708824
6,0.1,100,2,tis_anchored,0.0010239225446499567
6,0.1,100,2,uniform,0.005414520073810294
6,0.1,100,3,complete_rollout,0.0005341577036899341
6,0.1,100,3,learned_mean,0.0050889819557811584
6,0.1,100,3,learned_occupancy,0.0009179933612830705
6,0.1,100,3,occ_plus_mean,0.00044764331893469924
6,0.1,100,3,occ_plus_uniform,0.0009494538776185021
6,0.1,100,3,oracle_tail,0.0003409494244202191
6,0.1,100,3,tis,0.00685291244237285
6,0.1,100,3,tis_anchored,0.0005901923136244496
6,0.1,100,3,uniform,0.004009039731808258
6,0.1,100,4,complete_rollout,0.0005357873980684787
6,0.1,100,4,learned_mean,0.0036761249996833303
6,0.1,100,4,learned_occupancy,0.0008979834444302805
6,0.1,100,4,occ_plus_mean,0.0005344503331979479
6,0.1,100,4,occ_plus_uniform,0.0012314691893789468
6,0.1,100,4,oracle_tail,0.00020937210019739196
6,0.1,100,4,tis,0.011447318261707945
6,0.1,100,4,tis_anchored,0.000541463881164305
6,0.1,100,4,uniform,0.0033546542164754824
6,0.1,100,5,complete_rollout,0.00032327621467723253
6,0.1,100,5,learned_mean,0.0037678233640794042
6,0.1,100,5,learned_occupancy,0.0008535994245897639
6,0.1,100,5,occ_plus_mean,0.0006436493444017011
6,0.1,100,5,occ_plus_uniform,0.000988291758588272
6,0.1,100,5,oracle_tail,0.006971200299178614
6,0.1,100,5,tis,0.004132113032963415
6,0.1,100,5,tis_anchored,0.0006972530788056933
6,0.1,100,5,uniform,0.008281757757333178
6,0.1,100,6,complete_rollout,0.0005399592954248764
6,0.1,100,6,learned_mean,0.0034494101634778875
6,0.1,100,6,learned_occupancy,0.0008740525662834236
6,0.1,100,6,occ_plus_mean,0.0003667940385038776
6,0.1,100,6,occ_plus_uniform,0.001106327460644488
6,0.1,100,6,oracle_tail,0.00036966435639523864
6,0.1,100,6,tis,0.0038829693705927045
6,0.1,100,6,tis_anchored,0.0005876144905139242
6,0.1,100,6,uniform,0.007506205268492656
6,0.1,100,7,complete_rollout,0.0005640527783893113
6,0.1,100,7,learned_mean,0.005648355124987426
6,0.1,100,7,learned_occupancy,0.001617164924708812
6,0.1,100,7,occ_plus_mean,0.0012743796116589387
6,0.1,100,7,occ_plus_uniform,0.0015384480439023561
6,0.1,100,7,oracle_tail,0.00034401902749030326
6,0.1,100,7,tis,0.005734586111698097
6,0.1,100,7,tis_anchored,0.0012852276914769735
6,0.1,100,7,uniform,0.005114858713762675
6,0.1,100,8,complete_rollout,0.00039628723107850713
6,0.1,100,8,learned_mean,0.0023934476189940634
6,0.1,100,8,learned_occupancy,0.0017665085637080967
6,0.1,100,8,occ_plus_mean,0.001031210000705622
6,0.1,100,8,occ_plus_uniform,0.001314081625106763
6,0.1,100,8,oracle_tail,0.008076065018287107
6,0.1,100,8,tis,0.0027921014267090287
6,0.1,100,8,tis_anchored,0.0008359869951533538
6,0.1,100,8,uniform,0.0065328549229969396
6,0.1,100,9,complete_rollout,0.0005531292871956376
6,0.1,100,9,learned_mean,0.005057640329415634
6,0.1,100,9,learned_occupancy,0.0014216793075896683
6,0.1,100,9,occ_plus_mean,0.00127619971370801
6,0.1,100,9,occ_plus_uniform,0.0014160294286592596
6,0.1,100,9,oracle_tail,0.00017856888713113238
6,0.1,100,9,tis,0.005606009586847864
6,0.1,100,9,tis_anchored,0.0013215733308693533
6,0.1,100,9,uniform,0.005784584219246659
6,0.1,100,10,complete_rollout,0.0003875911124627276
6,0.1,100,10,learned_mean,0.00357996146625171
6,0.1,100,10,learned_occupancy,0.0006556070348055549
6,0.1,100,10,occ_plus_mean,0.0004469408804604015
6,0.1,100,10,occ_plus_uniform,0.0005004676754712536
6,0.1,100,10,oracle_tail,0.00014757786307665954
6,0.1,100,10,tis,0.0054655580100345874
6,0.1,100,10,tis_anchored,0.0004067186149668377
6,0.1,100,10,uniform,0.008408443511020004
6,0.1,100,11,complete_rollout,0.0003035820563485244
6,0.1,100,11,learned_mean,0.0016737484362927715
6,0.1,100,11,learned_occupancy,0.000739880255599501
6,0.1,100,11,occ_plus_mean,0.0005404832694696635
6,0.1,100,11,occ_plus_uniform,0.00064819645618693
6,0.1,100,11,oracle_tail,0.0005327229156860209
6,0.1,100,11,tis,0.0040923498713912425
6,0.1,100,11,tis_anchored,0.0004704179676922171
6,0.1,100,11,uniform,0.004540011686967656
6,0.1,100,12,complete_rollout,0.0007890203353957294
6,0.1,100,12,learned_mean,0.028979169643539044
6,0.1,100,12,learned_occupancy,0.0008113729024787182
6,0.1,100,12,occ_plus_mean,0.001101545388010675
6,0.1,100,12,occ_plus_uniform,0.0009550811525712617
6,0.1,100,12,oracle_tail,0.00015950223877201592
6,0.1,100,12,tis,0.02878138206360289
6,0.1,100,12,tis_anchored,0.0008161130493458498
6,0.1,100,12,uniform,0.005064587168737466
6,0.1,100,13,complete_rollout,0.0004957563358044945
6,0.1,100,13,learned_mean,0.00457802669887288
6,0.1,100,13,learned_occupancy,0.0009899888385105037
6,0.1,100,13,occ_plus_mean,0.0007694025756620634
6,0.1,100,13,occ_plus_uniform,0.001780012664346287
6,0.1,100,13,oracle_tail,0.00031340751387922707
6,0.1,100,13,tis,0.00764969174341081
6,0.1,100,13,tis_anchored,0.0007870797547204095
6,0.1,100,13,uniform,0.015065502773954381
6,0.1,100,14,complete_rollout,0.00043593178514592085
6,0.1,100,14,learned_mean,0.0028656882124953333
6,0.1,100,14,learned_occupancy,0.0009334416821411712
6,0.1,100,14,occ_plus_mean,0.0011447664074916359
6,0.1,100,14,occ_plus_uniform,0.0008889037319286217
6,0.1,100,14,oracle_tail,0.0014836541873470511
6,0.1,100,14,tis,0.004726178108259126
6,0.1,100,14,tis_anchored,0.001067579761248204
6,0.1,100,14,uniform,0.02206727977889037
6,0.1,100,15,complete_rollout,0.0005471372721799878
6,0.1,100,15,learned_mean,0.006142144931174802
6,0.1,100,15,learned_occupancy,0.0006651259941978494
6,0.1,100,15,occ_plus_mean,0.0006142717778071235
6,0.1,100,15,occ_plus_uniform,0.0006639470430432662
6,0.1,100,15,oracle_tail,0.0003863390163084981
6,0.1,100,15,tis,0.007301818156661278
6,0.1,100,15,tis_anchored,0.0006712398446583421
6,0.1,100,15,uniform,0.004333463292893947
6,0.1,100,16,complete_rollout,0.00039002412104327376
6,0.1,100,16,learned_mean,0.00465881984467239
6,0.1,100,16,learned_occupancy,0.0014681855205238997
6,0.1,100,16,occ_plus_mean,0.0009742926350999725
6,0.1,100,16,occ_plus_uniform,0.0019984534292590136
6,0.1,100,16,oracle_tail,0.00025538639061853185
6,0.1,100,16,tis,0.011904593679520445
6,0.1,100,16,tis_anchored,0.0005456004841305708
6,0.1,100,16,uniform,0.009925192905714782
6,0.1,100,17,complete_rollout,0.00026879833839078745
6,0.1,100,17,learned_mean,0.023610654128968542
6,0.1,100,17,learned_occupancy,0.00038438966094312196
6,0.1,100,17,occ_plus_mean,0.0005066490289436157
6,0.1,100,17,occ_plus_uniform,0.0006723213803175144
6,0.1,100,17,oracle_tail,0.00011532686652934197
6,0.1,100,17,tis,0.013472879713494583
6,0.1,100,17,tis_anchored,0.00045908343517909593
