horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0005947678542111306,1.3986468114064196e-05,0.06214096538508142
6,0.1,100,learned_mean,300,0.006614766320812214,0.0004256524963630451,0.6911065587382609
6,0.1,100,learned_occupancy,300,0.00097216583490888,3.386688807805877e-05,0.10157126527249519
6,0.1,100,occ_plus_mean,300,0.0008297298160570613,3.127228458217036e-05,0.08668964103138799
6,0.1,100,occ_plus_uniform,300,0.0012772103897972953,3.1250278205409035e-05,0.13344212546108175
6,0.1,100,oracle_tail,300,0.0008420201588336409,9.042005437017356e-05,0.08797372819185363
6,0.1,100,tis,300,0.008147592491288769,0.00043286059054557736,0.8512552576407376
6,0.1,100,tis_anchored,300,0.0008423485542879142,3.219648798634163e-05,0.08800803873909006
6,0.1,100,uniform,300,0.009571268333625219,0.0005443331194117045,1.0
6,0.1,200,complete_rollout,300,0.00029301117842359006,6.410308918613878e-06,0.07225271373744019
6,0.1,200,learned_mean,300,0.004183235203484072,0.00032906883760979214,1.0315309377609163
6,0.1,200,learned_occupancy,300,0.0003897894990017408,1.1262312352471028e-05,0.09611697833766193
6,0.1,200,occ_plus_mean,300,0.00029022662134097664,8.470439240404272e-06,0.07156607848052593
6,0.1,200,occ_plus_uniform,300,0.0005858884139011035,1.333857799527543e-05,0.14447239890104885
6,0.1,200,oracle_tail,300,0.00024829685832660663,2.5992898327747176e-05,0.06122674883291657
6,0.1,200,tis,300,0.004930258029498099,0.0003197109780411542,1.215736969400082
6,0.1,200,tis_anchored,300,0.000275135433796502,7.744429878123159e-06,0.06784478955402413
6,0.1,200,uniform,300,0.004055365719388287,0.00014948626699471895,1.0
6,0.1,400,complete_rollout,300,0.0001433141429579473,3.0998246002146786e-06,0.07398474395937137
6,0.1,400,learned_mean,300,0.0019414996378500549,0.00016546966183033284,1.002283170654673
6,0.1,400,learned_occupancy,300,0.00017353358561483133,4.2679927554070626e-06,0.08958528192037717
6,0.1,400,occ_plus_mean,300,0.00011805979329266307,2.566287832829429e-06,0.060947394293227486
6,0.1,400,occ_plus_uniform,300,0.00026378146315513793,5.953694366647848e-06,0.1361750041549476
6,0.1,400,oracle_tail,300,0.00011164534054151912,1.2022615534269833e-05,0.0576359859797289
6,0.1,400,tis,300,0.0026758951741696992,0.0001951416085258114,1.3814088075114443
6,0.1,400,tis_anchored,300,0.00011076533140885,2.4799653147714816e-06,0.0571816885250699
6,0.1,400,uniform,300,0.00193707696057782,6.070760990832576e-05,1.0
