horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.0739913239652301,0.0039272038692402846
6,0.1,100,learned_mean-minus-tis,300,-0.010439657465778724,0.0010702748178192314
6,0.1,100,learned_occupancy-minus-tis,300,-0.07118290261089572,0.003920334521691074
6,0.1,100,occ_plus_mean-minus-tis,300,-0.07156344842011926,0.0039017755659547723
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.069776203366505,0.003918917453417771
6,0.1,100,oracle_tail-minus-tis,300,-0.07500291758745564,0.003932558204904331
6,0.1,100,tis_anchored-minus-tis,300,-0.07179125919949508,0.00390113839654895
6,0.1,100,uniform-minus-tis,300,-0.028057493339799417,0.004009340339478521
6,0.1,200,complete_rollout-minus-tis,300,-0.04428873282678724,0.002281254769482194
6,0.1,200,learned_mean-minus-tis,300,-0.007444889402641154,0.0008702025257713889
6,0.1,200,learned_occupancy-minus-tis,300,-0.04319771295551244,0.002275562526258475
6,0.1,200,occ_plus_mean-minus-tis,300,-0.04342799863007944,0.0022734230652403757
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.042435905065036715,0.0022870782633553836
6,0.1,200,oracle_tail-minus-tis,300,-0.04506375857459389,0.0022841704194465386
6,0.1,200,tis_anchored-minus-tis,300,-0.04363801240772575,0.00227480940164941
6,0.1,200,uniform-minus-tis,300,-0.02222285462670438,0.0024209969194795766
6,0.1,400,complete_rollout-minus-tis,300,-0.022651653792067523,0.0011958039536194697
6,0.1,400,learned_mean-minus-tis,300,-0.004337557047117403,0.0005218718435465727
6,0.1,400,learned_occupancy-minus-tis,300,-0.022484141384243022,0.001196124012983751
6,0.1,400,occ_plus_mean-minus-tis,300,-0.0226254198678965,0.0011952443328583592
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.021954382174886208,0.0011973489002056817
6,0.1,400,oracle_tail-minus-tis,300,-0.023129887577055776,0.0011983334907488714
6,0.1,400,tis_anchored-minus-tis,300,-0.022742860817836993,0.0011958273416151322
6,0.1,400,uniform-minus-tis,300,-0.011094554061284694,0.0012592422913707303
6,0.1,800,complete_rollout-minus-tis,300,-0.00893068968002962,0.0005909829476999412
6,0.1,800,learned_mean-minus-tis,300,-0.0017494957400490806,0.0002575435227009506
6,0.1,800,learned_occupancy-minus-tis,300,-0.00885340929311163,0.0005914693530592928
6,0.1,800,occ_plus_mean-minus-tis,300,-0.008962689948328656,0.0005906521139721375
6,0.1,800,occ_plus_uniform-minus-tis,300,-0.008635039077280462,0.0005914643179929381
6,0.1,800,oracle_tail-minus-tis,300,-0.009154995322143079,0.0005910601610661514
6,0.1,800,tis_anchored-minus-tis,300,-0.009011996441457755,0.0005906770671373036
6,0.1,800,uniform-minus-tis,300,-0.003403389888801263,0.0006096950272876148
