horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.0013938683130443308,0.00011823242603698653
6,0.1,100,learned_mean-minus-tis,300,-0.0009319440262160257,0.00011667778165060773
6,0.1,100,learned_occupancy-minus-tis,300,-0.000983601059825384,0.00011887867756908708
6,0.1,100,occ_plus_mean-minus-tis,300,-0.0011620786788321077,0.00011887284150708496
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.0007669916570815729,0.000121447022898213
6,0.1,100,oracle_tail-minus-tis,300,-0.00174021041540997,0.00011739243607211542
6,0.1,100,tis_anchored-minus-tis,300,-0.0012932140256837021,0.00011642912327870383
6,0.1,100,uniform-minus-tis,300,0.0030915606903049488,0.00016335973101540914
6,0.1,200,complete_rollout-minus-tis,300,-0.0002906164481139084,4.3758805607258315e-05
6,0.1,200,learned_mean-minus-tis,300,-0.00018403884859431044,4.16180388155e-05
6,0.1,200,learned_occupancy-minus-tis,300,-0.00014950998640366243,4.2951541263887635e-05
6,0.1,200,occ_plus_mean-minus-tis,300,-0.0002500295222376805,4.292423145776272e-05
6,0.1,200,occ_plus_uniform-minus-tis,300,-4.1638100967012214e-05,4.504330247619817e-05
6,0.1,200,oracle_tail-minus-tis,300,-0.00046742221060800635,4.26991957131058e-05
6,0.1,200,tis_anchored-minus-tis,300,-0.00031660722624389986,4.207648322118956e-05
6,0.1,200,uniform-minus-tis,300,0.0019829945293369797,7.889216701712298e-05
6,0.1,400,complete_rollout-minus-tis,300,-5.774421299494152e-05,1.3109274044069271e-05
6,0.1,400,learned_mean-minus-tis,300,-7.157169934730664e-05,1.41268526507707e-05
6,0.1,400,learned_occupancy-minus-tis,300,-3.080662887992225e-05,1.345498622988603e-05
6,0.1,400,occ_plus_mean-minus-tis,300,-7.739911342570994e-05,1.277049358784895e-05
6,0.1,400,occ_plus_uniform-minus-tis,300,4.730052504689033e-05,1.3940973751514177e-05
6,0.1,400,oracle_tail-minus-tis,300,-0.00015650900411154467,1.260682186806319e-05
6,0.1,400,tis_anchored-minus-tis,300,-0.00010624603583780847,1.2378837874723053e-05
6,0.1,400,uniform-minus-tis,300,0.001078188029355104,3.494708656423401e-05
6,0.1,800,complete_rollout-minus-tis,300,-3.6304186876729017e-06,1.2448716647962697e-05
6,0.1,800,learned_mean-minus-tis,300,-2.48930327413084e-05,1.2349957768205231e-05
6,0.1,800,learned_occupancy-minus-tis,300,5.118924343684208e-06,1.2323957580559592e-05
6,0.1,800,occ_plus_mean-minus-tis,300,-2.2007467321163572e-05,1.2330310949990109e-05
6,0.1,800,occ_plus_uniform-minus-tis,300,4.4841881926084936e-05,1.2866096761353082e-05
6,0.1,800,oracle_tail-minus-tis,300,-5.054557599962397e-05,1.2326896072241225e-05
6,0.1,800,tis_anchored-minus-tis,300,-3.431600411922493e-05,1.2308392358446409e-05
6,0.1,800,uniform-minus-tis,300,0.0006195769638264496,2.1370860170667096e-05
