horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0002929634048570158
6,0.1,100,0,learned_mean,0.0006985703085691565
6,0.1,100,0,learned_occupancy,0.0006107726655706455
6,0.1,100,0,occ_plus_mean,0.0006283671368073713
6,0.1,100,0,occ_plus_uniform,0.0013183106169239796
6,0.1,100,0,oracle_tail,0.00012401577993588017
6,0.1,100,0,tis,0.0005695380942423597
6,0.1,100,0,tis_anchored,0.00020298124917510178
6,0.1,100,0,uniform,0.007801725409401648
6,0.1,100,1,complete_rollout,0.000498085725972231
6,0.1,100,1,learned_mean,0.0006818278991818061
6,0.1,100,1,learned_occupancy,0.0008488452975542854
6,0.1,100,1,occ_plus_mean,0.0007672743106573053
6,0.1,100,1,occ_plus_uniform,0.0006751317843384893
6,0.1,100,1,oracle_tail,0.0002096741163128896
6,0.1,100,1,tis,0.0009355526534408746
6,0.1,100,1,tis_anchored,0.0007524243109143249
6,0.1,100,1,uniform,0.0063687394895209325
6,0.1,100,2,complete_rollout,0.0006251228350656853
6,0.1,100,2,learned_mean,0.0004125247637509059
6,0.1,100,2,learned_occupancy,0.000832322706948163
6,0.1,100,2,occ_plus_mean,0.0005648774999017589
6,0.1,100,2,occ_plus_uniform,0.0017518271801219474
6,0.1,100,2,oracle_tail,0.00014963918871243407
6,0.1,100,2,tis,0.0008012580049006104
6,0.1,100,2,tis_anchored,0.0006092618914924233
6,0.1,100,2,uniform,0.006410280923819032
6,0.1,100,3,complete_rollout,0.00032871240900698783
6,0.1,100,3,learned_mean,0.0008105319506886307
6,0.1,100,3,learned_occupancy,0.0013220480158810755
6,0.1,100,3,occ_plus_mean,0.0008387675113508383
6,0.1,100,3,occ_plus_uniform,0.001489808135359832
6,0.1,100,3,oracle_tail,0.0002695973353581613
6,0.1,100,3,tis,0.0009380805944933395
6,0.1,100,3,tis_anchored,0.0009464283815206274
6,0.1,100,3,uniform,0.0047738368585741086
6,0.1,100,4,complete_rollout,0.000769742705309479
6,0.1,100,4,learned_mean,0.00071701972174075
6,0.1,100,4,learned_occupancy,0.0006836626155405184
6,0.1,100,4,occ_plus_mean,0.0007343009707269514
6,0.1,100,4,occ_plus_uniform,0.0006346980521954857
6,0.1,100,4,oracle_tail,0.00013571566628801357
6,0.1,100,4,tis,0.0038162435800214926
6,0.1,100,4,tis_anchored,0.0006247527489228469
6,0.1,100,4,uniform,0.007129889168941867
6,0.1,100,5,complete_rollout,0.0004543516234990103
6,0.1,100,5,learned_mean,0.0008618917980012356
6,0.1,100,5,learned_occupancy,0.0012987147734630227
6,0.1,100,5,occ_plus_mean,0.001023663187464816
6,0.1,100,5,occ_plus_uniform,0.0013731400312985797
6,0.1,100,5,oracle_tail,0.0002579228942665892
6,0.1,100,5,tis,0.003627094850312131
6,0.1,100,5,tis_anchored,0.0009202865227932838
6,0.1,100,5,uniform,0.0035561502420060893
6,0.1,100,6,complete_rollout,0.0007353751222713996
6,0.1,100,6,learned_mean,0.00042251383976272335
6,0.1,100,6,learned_occupancy,0.00045878371896154973
6,0.1,100,6,occ_plus_mean,0.00046064877894936554
6,0.1,100,6,occ_plus_uniform,0.0005680314831086296
6,0.1,100,6,oracle_tail,8.616969619785625e-05
6,0.1,100,6,tis,0.0005265564188778586
6,0.1,100,6,tis_anchored,0.00031612772653252206
6,0.1,100,6,uniform,0.0030506315741149976
6,0.1,100,7,complete_rollout,0.0003141697492082667
6,0.1,100,7,learned_mean,0.0006471825055649627
6,0.1,100,7,learned_occupancy,0.0004106143889458723
6,0.1,100,7,occ_plus_mean,0.0003552206942631292
6,0.1,100,7,occ_plus_uniform,0.0007522328596392162
6,0.1,100,7,oracle_tail,0.00021480702102473693
6,0.1,100,7,tis,0.0005216131905434326
6,0.1,100,7,tis_anchored,0.00031782641748587275
6,0.1,100,7,uniform,0.0027964569013021207
6,0.1,100,8,complete_rollout,0.00041714975650608495
6,0.1,100,8,learned_mean,0.00048646386376908655
6,0.1,100,8,learned_occupancy,0.001137472805484217
6,0.1,100,8,occ_plus_mean,0.0005404889543838845
6,0.1,100,8,occ_plus_uniform,0.0021100067367105773
6,0.1,100,8,oracle_tail,0.00011424761185135599
6,0.1,100,8,tis,0.0004668213071536172
6,0.1,100,8,tis_anchored,0.00042266436766127453
6,0.1,100,8,uniform,0.004876268579590975
6,0.1,100,9,complete_rollout,0.000311340869792331
6,0.1,100,9,learned_mean,0.0012472208793066302
6,0.1,100,9,learned_occupancy,0.0016146802039212426
6,0.1,100,9,occ_plus_mean,0.0011158209211069648
6,0.1,100,9,occ_plus_uniform,0.0015433764187334892
6,0.1,100,9,oracle_tail,0.00027671690683490403
6,0.1,100,9,tis,0.000774556588452866
6,0.1,100,9,tis_anchored,0.0006823022100125318
6,0.1,100,9,uniform,0.003356317233806436
6,0.1,100,10,complete_rollout,0.00046900513711292197
6,0.1,100,10,learned_mean,0.00045091764544491773
6,0.1,100,10,learned_occupancy,0.0008512833310013967
6,0.1,100,10,occ_plus_mean,0.00028643871155635954
6,0.1,100,10,occ_plus_uniform,0.0015718029016456622
6,0.1,100,10,oracle_tail,0.00017892456555973507
6,0.1,100,10,tis,0.0016250249691640354
6,0.1,100,10,tis_anchored,0.0003163849087263379
6,0.1,100,10,uniform,0.007025624446788867
6,0.1,100,11,complete_rollout,0.0005522581377460858
6,0.1,100,11,learned_mean,0.00039364984220746337
6,0.1,100,11,learned_occupancy,0.0006127899867666891
6,0.1,100,11,occ_plus_mean,0.00042799209896060716
6,0.1,100,11,occ_plus_uniform,0.0007656488716236249
6,0.1,100,11,oracle_tail,9.254154144722867e-05
6,0.1,100,11,tis,0.0005903437209776307
6,0.1,100,11,tis_anchored,0.0004915634736652025
6,0.1,100,11,uniform,0.003959469039544647
6,0.1,100,12,complete_rollout,0.0003156838411073689
6,0.1,100,12,learned_mean,0.0009873723685017162
6,0.1,100,12,learned_occupancy,0.0008838643070061368
6,0.1,100,12,occ_plus_mean,0.0009708656311019721
6,0.1,100,12,occ_plus_uniform,0.001593803351342133
6,0.1,100,12,oracle_tail,0.0002308716496426185
6,0.1,100,12,tis,0.0007120019833189887
6,0.1,100,12,tis_anchored,0.0007501384636723656
6,0.1,100,12,uniform,0.0029919448921938794
6,0.1,100,13,complete_rollout,0.0009592293228614289
6,0.1,100,13,learned_mean,0.0005659141909876168
6,0.1,100,13,learned_occupancy,0.0008689211852609762
6,0.1,100,13,occ_plus_mean,0.00037873718180212563
6,0.1,100,13,occ_plus_uniform,0.002127251490734307
6,0.1,100,13,oracle_tail,9.663185379163624e-05
6,0.1,100,13,tis,0.0007893000636145442
6,0.1,100,13,tis_anchored,0.00024527765940061464
6,0.1,100,13,uniform,0.004634273204437477
6,0.1,100,14,complete_rollout,0.0005950235266675374
6,0.1,100,14,learned_mean,0.0016337770151587598
6,0.1,100,14,learned_occupancy,0.0008097719213991202
6,0.1,100,14,occ_plus_mean,0.0004035392576155453
6,0.1,100,14,occ_plus_uniform,0.0013533900830344488
6,0.1,100,14,oracle_tail,0.00023603887200691678
6,0.1,100,14,tis,0.000547969832724173
6,0.1,100,14,tis_anchored,0.0005718909275353471
6,0.1,100,14,uniform,0.006022658298101838
6,0.1,100,15,complete_rollout,0.0008647043886988254
6,0.1,100,15,learned_mean,0.00045795714872220815
6,0.1,100,15,learned_occupancy,0.00032787136396357784
6,0.1,100,15,occ_plus_mean,0.0004755770029924292
6,0.1,100,15,occ_plus_uniform,0.0006779400670567447
6,0.1,100,15,oracle_tail,0.00013314555318874374
6,0.1,100,15,tis,0.0005955632754578947
6,0.1,100,15,tis_anchored,0.00043845305884361623
6,0.1,100,15,uniform,0.0020918972963596305
6,0.1,100,16,complete_rollout,0.0004046048250505352
6,0.1,100,16,learned_mean,0.00044934217281837325
6,0.1,100,16,learned_occupancy,0.0005520408996144631
6,0.1,100,16,occ_plus_mean,0.00023707190346839463
6,0.1,100,16,occ_plus_uniform,0.0007207775838194647
6,0.1,100,16,oracle_tail,0.0001644329568609398
6,0.1,100,16,tis,0.0009701598879202785
6,0.1,100,16,tis_anchored,0.0005684080099171448
6,0.1,100,16,uniform,0.005762578801523007
6,0.1,100,17,complete_rollout,0.0005338058095021655
6,0.1,100,17,learned_mean,0.0002570660249755251
6,0.1,100,17,learned_occupancy,0.0003383659625459988
6,0.1,100,17,occ_plus_mean,0.0002971777076249769
6,0.1,100,17,occ_plus_uniform,0.0008312604856348626
6,0.1,100,17,oracle_tail,0.0001603659696809079
6,0.1,100,17,tis,0.0011464254303141634
6,0.1,100,17,tis_anchored,0.00021376204907929487
6,0.1,100,17,uniform,0.00604113129434655
6,0.1,100,18,complete_rollout,0.0006680542017702144
6,0.1,100,18,learned_mean,0.0008474896822872071
6,0.1,100,18,learned_occupancy,0.0007824426677180929
6,0.1,100,18,occ_plus_mean,0.000904754935201626
6,0.1,100,18,occ_plus_uniform,0.001009952904901267
6,0.1,100,18,oracle_tail,0.00013361033274628866
6,0.1,100,18,tis,0.0005758305064850816
6,0.1,100,18,tis_anchored,0.0004827480490794551
6,0.1,100,18,uniform,0.004532840175289761
6,0.1,100,19,complete_rollout,0.00045229003862051173
6,0.1,100,19,learned_mean,0.0007293534131698486
6,0.1,100,19,learned_occupancy,0.0007652108052803067
6,0.1,100,19,occ_plus_mean,0.0006235036987620729
6,0.1,100,19,occ_plus_uniform,0.0010239486039682
6,0.1,100,19,oracle_tail,0.00024377807132802372
6,0.1,100,19,tis,0.0022241976793632295
6,0.1,100,19,tis_anchored,0.0004921380006574647
6,0.1,100,19,uniform,0.004366350850244944
6,0.1,100,20,complete_rollout,0.0001807483163315343
6,0.1,100,20,learned_mean,0.0011419171197946858
6,0.1,100,20,learned_occupancy,0.0010213006165378802
6,0.1,100,20,occ_plus_mean,0.0003716197878409487
6,0.1,100,20,occ_plus_uniform,0.0008487231161001342
6,0.1,100,20,oracle_tail,0.00017531305336482378
6,0.1,100,20,tis,0.0010849567821679734
6,0.1,100,20,tis_anchored,0.00030573932041406894
6,0.1,100,20,uniform,0.006061090063971431
6,0.1,100,21,complete_rollout,0.0006047820916709919
6,0.1,100,21,learned_mean,0.0003780581298282023
6,0.1,100,21,learned_occupancy,0.0008259739598046917
6,0.1,100,21,occ_plus_mean,0.0007186811841669172
6,0.1,100,21,occ_plus_uniform,0.0010493305001532238
6,0.1,100,21,oracle_tail,0.00011593210372796181
6,0.1,100,21,tis,0.00046051318164034265
6,0.1,100,21,tis_anchored,0.0004783984037952285
6,0.1,100,21,uniform,0.006220208022508897
6,0.1,100,22,complete_rollout,0.0005886069431684958
6,0.1,100,22,learned_mean,0.0005602246097836951
6,0.1,100,22,learned_occupancy,0.0009799986550569585
6,0.1,100,22,occ_plus_mean,0.0003459837072487775
6,0.1,100,22,occ_plus_uniform,0.0007202801985934313
6,0.1,100,22,oracle_tail,0.0001641263786600877
6,0.1,100,22,tis,0.002791794151981997
6,0.1,100,22,tis_anchored,0.00047295543545460125
6,0.1,100,22,uniform,0.006857760811726401
6,0.1,100,23,complete_rollout,0.00039796467005571247
6,0.1,100,23,learned_mean,0.001929384785510014
6,0.1,100,23,learned_occupancy,0.0030119838790484024
6,0.1,100,23,occ_plus_mean,0.0030710878102854404
6,0.1,100,23,occ_plus_uniform,0.0014480412792195292
6,0.1,100,23,oracle_tail,0.0002024470383606424
6,0.1,100,23,tis,0.0009589028807195193
6,0.1,100,23,tis_anchored,0.0014545627216410275
6,0.1,100,23,uniform,0.006002102106909801
6,0.1,100,24,complete_rollout,0.0009559510178410318
6,0.1,100,24,learned_mean,0.0007192415746213459
6,0.1,100,24,learned_occupancy,0.0010216978600075678
6,0.1,100,24,occ_plus_mean,0.0010015882062124957
6,0.1,100,24,occ_plus_uniform,0.000790335615579906
6,0.1,100,24,oracle_tail,0.00012481602769606886
6,0.1,100,24,tis,0.0009261319306515607
6,0.1,100,24,tis_anchored,0.0007967972664204843
6,0.1,100,24,uniform,0.004113279688367637
6,0.1,100,25,complete_rollout,0.0005663090801964343
6,0.1,100,25,learned_mean,0.000625973967996749
6,0.1,100,25,learned_occupancy,0.000482575367074638
