horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0005295720800675,1.291554821956431e-05,0.1055976003312638
6,0.1,100,learned_mean,300,0.0009914963668958049,4.793150701646553e-05,0.19770611220292833
6,0.1,100,learned_occupancy,300,0.0009398393332864469,2.8930989293288798e-05,0.1874056092219472
6,0.1,100,occ_plus_mean,300,0.000761361714279723,2.74674305564696e-05,0.1518168593816132
6,0.1,100,occ_plus_uniform,300,0.0011564487360302583,2.8941954167192848e-05,0.23059790352873785
6,0.1,100,oracle_tail,300,0.00018322997770186088,4.869114420311116e-06,0.036536378488082825
6,0.1,100,tis,300,0.0019234403931118313,0.00011746071388930096,0.3835373833661006
6,0.1,100,tis_anchored,300,0.0006302263674281288,2.1172746563642405e-05,0.12566824153081702
6,0.1,100,uniform,300,0.005015001083416779,0.00012047765031344676,1.0
6,0.1,200,complete_rollout,300,0.0002689995493844708,6.655891414626158e-06,0.1057966002049394
6,0.1,200,learned_mean,300,0.00037557714890406886,1.9609197191948898e-05,0.14771320457464168
6,0.1,200,learned_occupancy,300,0.00041010601109471687,1.2630536249052644e-05,0.16129328765312406
6,0.1,200,occ_plus_mean,300,0.0003095864752606988,1.1975475134777891e-05,0.12175929895406484
6,0.1,200,occ_plus_uniform,300,0.0005179778965313671,1.2756565760792821e-05,0.20371893023508575
6,0.1,200,oracle_tail,300,9.219378689037293e-05,2.3723252086933847e-06,0.036259500193732475
6,0.1,200,tis,300,0.0005596159974983792,4.288608440874489e-05,0.22009505254227868
6,0.1,200,tis_anchored,300,0.00024300877125447943,9.375387712636082e-06,0.09557451630507424
6,0.1,200,uniform,300,0.002542610526835359,6.345750883752856e-05,1.0
6,0.1,400,complete_rollout,300,0.00014124507068455721,3.4685135112508453e-06,0.11059159072357434
6,0.1,400,learned_mean,300,0.00012741758433219212,7.320672063357461e-06,0.09976499193322262
6,0.1,400,learned_occupancy,300,0.00016818265479957652,4.651769063498348e-06,0.1316830897974304
6,0.1,400,occ_plus_mean,300,0.00012159017025378879,3.4133824971835463e-06,0.09520226284390201
6,0.1,400,occ_plus_uniform,300,0.0002462898087263891,6.47825204960453e-06,0.192839166662927
6,0.1,400,oracle_tail,300,4.248027956795409e-05,1.067626570869038e-06,0.03326106652099853
6,0.1,400,tis,300,0.00019898928367949876,1.2683842825559422e-05,0.15580396053755105
6,0.1,400,tis_anchored,300,9.274324784169029e-05,3.2808650399099414e-06,0.07261579648743538
6,0.1,400,uniform,300,0.001277177313034603,3.10890948193124e-05,1.0
6,0.1,800,complete_rollout,300,6.884307832951299e-05,1.5846484737789645e-06,0.09947696334973999
6,0.1,800,learned_mean,300,4.7580464275877504e-05,1.3238519319971864e-06,0.06875288287197315
6,0.1,800,learned_occupancy,300,7.75924213608701e-05,1.9004929933021059e-06,0.11211960073876988
6,0.1,800,occ_plus_mean,300,5.046602969602233e-05,1.3818494879435368e-06,0.07292247105001902
6,0.1,800,occ_plus_uniform,300,0.00011731537894327084,2.978058157135743e-06,0.169518533085375
6,0.1,800,oracle_tail,300,2.1927921017561922e-05,6.110440724600794e-07,0.03168543662384238
6,0.1,800,tis,300,7.247349701718591e-05,1.23261439534097e-05,0.10472285059797229
6,0.1,800,tis_anchored,300,3.815749289796097e-05,1.0890939703944586e-06,0.0551368650942672
6,0.1,800,uniform,300,0.0006920504608436354,1.7156607004451907e-05,1.0
