horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,100,0,complete_rollout,300,0.0008661610164802998,6.734689615273564e-05,0.0001103438583746552,0.15262348067276219
6,0.1,100,0,learned_mean,300,0.0006074258895891253,4.728007382268342e-05,0.0008041026083222984,0.10703258603875276
6,0.1,100,0,learned_occupancy,300,0.0012794238248618843,9.817462186810248e-05,0.00043152086029931704,0.22544320708356486
6,0.1,100,0,occ_plus_mean,300,0.0007851267306414249,6.454489570921518e-05,0.0007014813428731692,0.1383446866341922
6,0.1,100,0,occ_plus_uniform,300,0.0020518054474455627,0.0001605816784000188,-0.001786325426146725,0.36154211872175435
6,0.1,100,0,oracle_tail,300,0.00027958499197651616,2.597841641013317e-05,-7.538496281452053e-05,0.049264783114713995
6,0.1,100,0,tis,300,0.0005362762695461722,5.128561547403442e-05,0.0005086952727310064,0.09449553755367238
6,0.1,100,0,tis_anchored,300,0.0005537368015628776,4.838458986204614e-05,0.0002271659552301101,0.0975722024232329
6,0.1,100,0,uniform,300,0.005675149149149752,0.00047201536351482686,0.0020130304769511533,1.0
6,0.1,100,1,complete_rollout,300,2.2677208948384704e-05,1.7551421197742145e-06,-0.0001049826305080348,0.061056331425319056
6,0.1,100,1,learned_mean,300,0.0003418269625556586,5.686525088308284e-05,-8.514947805721299e-05,0.920338140527432
6,0.1,100,1,learned_occupancy,300,2.5743465432527613e-05,2.2897712365204064e-06,-3.6418685379597805e-05,0.06931194932596015
6,0.1,100,1,occ_plus_mean,300,4.395221539220512e-05,6.287621729670395e-06,0.00037796039191201114,0.11833735959180441
6,0.1,100,1,occ_plus_uniform,300,4.758675856244594e-05,6.021536314702051e-06,9.83337444897329e-05,0.1281230379302165
6,0.1,100,1,oracle_tail,300,6.4191757386766855e-06,5.072222419514656e-07,0.00014677965383779116,0.017283049350124202
6,0.1,100,1,tis,300,0.000155454571680461,3.413869966349315e-05,-0.00035430033153374414,0.4185473561454009
6,0.1,100,1,tis_anchored,300,2.04236604988869e-05,4.095070741789622e-06,0.0003241524700730795,0.05498885630839765
6,0.1,100,1,uniform,300,0.00037141453505313025,4.2308592056917546e-05,0.0004003322724924422,1.0
6,0.1,100,2,complete_rollout,300,5.509482356784706e-07,5.4559707024551895e-08,-4.132635034617582e-05,0.061251112597632815
