horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.005919466338968947,0.0009629470327611404
6,0.1,100,learned_mean-minus-tis,300,-0.0009168547158858893,0.00023506470070417895
6,0.1,100,learned_occupancy-minus-tis,300,-0.005065660656433925,0.0009460276138559005
6,0.1,100,occ_plus_mean-minus-tis,300,-0.0057245518724743,0.0009514800263294087
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.004706896820693218,0.0009566385792099866
6,0.1,100,oracle_tail-minus-tis,300,-0.00702079577062111,0.0009638254114922265
6,0.1,100,tis_anchored-minus-tis,300,-0.005932089829647808,0.0009549458988558329
6,0.1,100,uniform-minus-tis,300,0.00818418276154485,0.001028061212882935
6,0.1,200,complete_rollout-minus-tis,300,-0.002543688948079581,0.0005654476531872484
6,0.1,200,learned_mean-minus-tis,300,-0.000641939431825351,0.0001960303701511018
6,0.1,200,learned_occupancy-minus-tis,300,-0.0022461466086156423,0.0005530210851033964
6,0.1,200,occ_plus_mean-minus-tis,300,-0.0025185615368072665,0.0005657163026562776
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.002065278419131081,0.0005616333897905726
6,0.1,200,oracle_tail-minus-tis,300,-0.0030939148255227714,0.000566995030245252
6,0.1,200,tis_anchored-minus-tis,300,-0.002677929157752709,0.0005635800034653315
6,0.1,200,uniform-minus-tis,300,0.004307735648447847,0.000592980808578591
6,0.1,400,complete_rollout-minus-tis,300,-0.0004399659631064669,0.00011482858055321412
6,0.1,400,learned_mean-minus-tis,300,-0.0002779689823879181,7.282394415973517e-05
6,0.1,400,learned_occupancy-minus-tis,300,-0.0004161116646004185,0.00011564519980616313
6,0.1,400,occ_plus_mean-minus-tis,300,-0.0005248262905654704,0.00011463205462648894
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.00022580290299399822,0.00011686498441069261
6,0.1,400,oracle_tail-minus-tis,300,-0.0007246775972665079,0.0001144977689428502
6,0.1,400,tis_anchored-minus-tis,300,-0.0005930120831332647,0.00011389182265087018
6,0.1,400,uniform-minus-tis,300,0.002796186671656721,0.00015837359961399575
6,0.1,800,complete_rollout-minus-tis,300,-0.0002927194079998053,7.426712873902694e-05
6,0.1,800,learned_mean-minus-tis,300,-0.00019754263803607245,5.721680987473411e-05
6,0.1,800,learned_occupancy-minus-tis,300,-0.0002881136367560644,7.441047580969121e-05
6,0.1,800,occ_plus_mean-minus-tis,300,-0.0003418028100968742,7.42845086812168e-05
6,0.1,800,occ_plus_uniform-minus-tis,300,-0.0002041933472413995,7.358697334159868e-05
6,0.1,800,oracle_tail-minus-tis,300,-0.0004235664830918483,7.41587197565703e-05
6,0.1,800,tis_anchored-minus-tis,300,-0.0003724466521858958,7.410773192948962e-05
6,0.1,800,uniform-minus-tis,300,0.0012927377668370864,9.210016210246176e-05
