horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0022391301950981522
6,0.1,100,0,learned_mean,0.0013798525986235923
6,0.1,100,0,learned_occupancy,0.0007302475299900163
6,0.1,100,0,occ_plus_mean,0.0008349874290916237
6,0.1,100,0,occ_plus_uniform,0.0011057601292501684
6,0.1,100,0,oracle_tail,0.0005986847112286648
6,0.1,100,0,tis,0.002741317678772731
6,0.1,100,0,tis_anchored,0.0019132407545462168
6,0.1,100,0,uniform,0.014999651533430615
6,0.1,100,1,complete_rollout,0.0012591728915334257
6,0.1,100,1,learned_mean,0.0012332836916457268
6,0.1,100,1,learned_occupancy,0.002659671149196734
6,0.1,100,1,occ_plus_mean,0.0010730440497445405
6,0.1,100,1,occ_plus_uniform,0.002028556658757328
6,0.1,100,1,oracle_tail,0.0005860652560663866
6,0.1,100,1,tis,0.003293774601343534
6,0.1,100,1,tis_anchored,0.0009014560287999205
6,0.1,100,1,uniform,0.02490834746418525
6,0.1,100,2,complete_rollout,0.0014487318318714003
6,0.1,100,2,learned_mean,0.000852816775279247
6,0.1,100,2,learned_occupancy,0.0012976957181663298
6,0.1,100,2,occ_plus_mean,0.00101964386018195
6,0.1,100,2,occ_plus_uniform,0.0016215685605597766
6,0.1,100,2,oracle_tail,0.0005754034222477916
6,0.1,100,2,tis,0.0015633132254046144
6,0.1,100,2,tis_anchored,0.0009150088717422623
6,0.1,100,2,uniform,0.011487739766248882
6,0.1,100,3,complete_rollout,0.0018868168305836977
6,0.1,100,3,learned_mean,0.0011178469414024326
6,0.1,100,3,learned_occupancy,0.002710219180818074
6,0.1,100,3,occ_plus_mean,0.0018130880915934006
6,0.1,100,3,occ_plus_uniform,0.002757354305762957
6,0.1,100,3,oracle_tail,0.0003938035534119419
6,0.1,100,3,tis,0.0006470252330417404
6,0.1,100,3,tis_anchored,0.0008875148584930659
6,0.1,100,3,uniform,0.006059532215559931
6,0.1,100,4,complete_rollout,0.0009460682341408287
6,0.1,100,4,learned_mean,0.003561095350025753
6,0.1,100,4,learned_occupancy,0.003704619209293272
