horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.011782261100038873,0.0006088829186705628
6,0.1,100,learned_mean-minus-tis,300,-0.002733894916881865,0.0004110218975535753
6,0.1,100,learned_occupancy-minus-tis,300,-0.00910282628789395,0.0006135579534248214
6,0.1,100,occ_plus_mean-minus-tis,300,-0.010739878543856413,0.0006079972694917416
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.008503887831988648,0.000623731836240512
6,0.1,100,oracle_tail-minus-tis,300,-0.013381250854127528,0.0006087509737339351
6,0.1,100,tis_anchored-minus-tis,300,-0.010777846822007003,0.0006069113070835429
6,0.1,100,uniform-minus-tis,300,0.015308289843411689,0.0008067437825740509
6,0.1,200,complete_rollout-minus-tis,300,-0.005923694976563302,0.00046009814929486075
6,0.1,200,learned_mean-minus-tis,300,-0.0012986956192416691,0.00020782146560951783
6,0.1,200,learned_occupancy-minus-tis,300,-0.004909896858796595,0.00045432426435237927
6,0.1,200,occ_plus_mean-minus-tis,300,-0.005677628972969553,0.0004522349229484753
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.004563483206529741,0.00046436189082360867
6,0.1,200,oracle_tail-minus-tis,300,-0.006765230666447198,0.00046059037148045743
6,0.1,200,tis_anchored-minus-tis,300,-0.005717678069017286,0.0004520141049104431
6,0.1,200,uniform-minus-tis,300,0.008357470679713213,0.0005763826078209362
6,0.1,400,complete_rollout-minus-tis,300,-0.0034271316796126695,0.00034033194613776767
6,0.1,400,learned_mean-minus-tis,300,-0.0005532727469057331,6.759345315458679e-05
6,0.1,400,learned_occupancy-minus-tis,300,-0.0030696370140876096,0.0003398810019383296
6,0.1,400,occ_plus_mean-minus-tis,300,-0.0034354095834997276,0.00033984189771301483
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.002760294131080836,0.00034206348068493514
6,0.1,400,oracle_tail-minus-tis,300,-0.0038028037813062823,0.00034077682611283693
6,0.1,400,tis_anchored-minus-tis,300,-0.0034598249380940775,0.0003395914220247524
6,0.1,400,uniform-minus-tis,300,0.003910532179078525,0.0003757488887762044
6,0.1,800,complete_rollout-minus-tis,300,-0.0016402048701918295,0.0001688100853663315
6,0.1,800,learned_mean-minus-tis,300,-0.00033099964566542364,4.8541707895395204e-05
6,0.1,800,learned_occupancy-minus-tis,300,-0.0015356491586087625,0.00016877429990253622
6,0.1,800,occ_plus_mean-minus-tis,300,-0.0017221568304046028,0.00016906550647701192
6,0.1,800,occ_plus_uniform-minus-tis,300,-0.0013485338422215595,0.00016956829614569232
6,0.1,800,oracle_tail-minus-tis,300,-0.0018503563456813714,0.00016903000940710357
6,0.1,800,tis_anchored-minus-tis,300,-0.0017355847761387066,0.00016902939914851232
6,0.1,800,uniform-minus-tis,300,0.0020562351878549816,0.0001929620512529313
