horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.004326585845123746
6,0.1,100,0,learned_mean,0.00731916486945012
6,0.1,100,0,learned_occupancy,0.005875353149552602
6,0.1,100,0,occ_plus_mean,0.0033513872730718034
6,0.1,100,0,occ_plus_uniform,0.008200603602496994
6,0.1,100,0,oracle_tail,0.0011779429322281844
6,0.1,100,0,tis,0.00739503351894596
6,0.1,100,0,tis_anchored,0.006204357347066387
6,0.1,100,0,uniform,0.01945048038563565
6,0.1,100,1,complete_rollout,0.0032646750354303907
6,0.1,100,1,learned_mean,0.007688843314638257
6,0.1,100,1,learned_occupancy,0.005344210095917372
6,0.1,100,1,occ_plus_mean,0.0033112121275783563
6,0.1,100,1,occ_plus_uniform,0.004265021958281664
6,0.1,100,1,oracle_tail,0.0006440707629892952
6,0.1,100,1,tis,0.007938341878075053
6,0.1,100,1,tis_anchored,0.002588490831858509
6,0.1,100,1,uniform,0.023862068578188275
6,0.1,100,2,complete_rollout,0.0021488287787124
6,0.1,100,2,learned_mean,0.026359284033817123
6,0.1,100,2,learned_occupancy,0.005224993542302944
6,0.1,100,2,occ_plus_mean,0.0023196748599836094
6,0.1,100,2,occ_plus_uniform,0.0036547429789391952
6,0.1,100,2,oracle_tail,0.0008079641046273237
6,0.1,100,2,tis,0.03091430261132709
6,0.1,100,2,tis_anchored,0.0022396258559268896
6,0.1,100,2,uniform,0.026879834675729138
6,0.1,100,3,complete_rollout,0.002621606009038707
6,0.1,100,3,learned_mean,0.006523194670083617
6,0.1,100,3,learned_occupancy,0.0032812269159396604
6,0.1,100,3,occ_plus_mean,0.0021793214887257
6,0.1,100,3,occ_plus_uniform,0.004098941432170781
6,0.1,100,3,oracle_tail,0.0007537840052605165
6,0.1,100,3,tis,0.006185972776887757
6,0.1,100,3,tis_anchored,0.001968215414640998
6,0.1,100,3,uniform,0.027927246324203785
6,0.1,100,4,complete_rollout,0.0015687617061807457
6,0.1,100,4,learned_mean,0.049042635511419984
6,0.1,100,4,learned_occupancy,0.004653305254540097
6,0.1,100,4,occ_plus_mean,0.003742703302034972
6,0.1,100,4,occ_plus_uniform,0.005841085816601725
6,0.1,100,4,oracle_tail,0.0011970309458246833
6,0.1,100,4,tis,0.052061985313347305
6,0.1,100,4,tis_anchored,0.003452746014435749
6,0.1,100,4,uniform,0.03473441702697623
6,0.1,100,5,complete_rollout,0.001515949840113429
6,0.1,100,5,learned_mean,0.016010147922618373
6,0.1,100,5,learned_occupancy,0.007502799543586613
6,0.1,100,5,occ_plus_mean,0.0067552757459974815
6,0.1,100,5,occ_plus_uniform,0.0026825624527829317
6,0.1,100,5,oracle_tail,0.0008314789488067174
6,0.1,100,5,tis,0.02476729526976021
6,0.1,100,5,tis_anchored,0.006835689909204822
6,0.1,100,5,uniform,0.017777735820855504
6,0.1,100,6,complete_rollout,0.0019506500683257732
6,0.1,100,6,learned_mean,0.008461087513456008
6,0.1,100,6,learned_occupancy,0.0068400919973226225
6,0.1,100,6,occ_plus_mean,0.0031911735235729145
6,0.1,100,6,occ_plus_uniform,0.007382332360836295
6,0.1,100,6,oracle_tail,0.0008732202513587604
6,0.1,100,6,tis,0.008947646262544063
6,0.1,100,6,tis_anchored,0.003096791924170326
6,0.1,100,6,uniform,0.03236280504841134
6,0.1,100,7,complete_rollout,0.0014971365553743585
6,0.1,100,7,learned_mean,0.004084562010103587
6,0.1,100,7,learned_occupancy,0.0033083436515164277
6,0.1,100,7,occ_plus_mean,0.0029147173323102473
6,0.1,100,7,occ_plus_uniform,0.004994722310915812
6,0.1,100,7,oracle_tail,0.0012222560682289964
6,0.1,100,7,tis,0.0074083240498637685
6,0.1,100,7,tis_anchored,0.002508280242254343
6,0.1,100,7,uniform,0.03498765847771551
6,0.1,100,8,complete_rollout,0.0023438336394043103
6,0.1,100,8,learned_mean,0.008854084479762844
6,0.1,100,8,learned_occupancy,0.004444934581534096
6,0.1,100,8,occ_plus_mean,0.0032642255175420695
6,0.1,100,8,occ_plus_uniform,0.0027991256442854505
6,0.1,100,8,oracle_tail,0.0007326925023362689
6,0.1,100,8,tis,0.008890468291381973
6,0.1,100,8,tis_anchored,0.0029404840522453644
6,0.1,100,8,uniform,0.030409921560840863
6,0.1,100,9,complete_rollout,0.004016592065905308
6,0.1,100,9,learned_mean,0.004727829223122184
6,0.1,100,9,learned_occupancy,0.0030079068531857532
6,0.1,100,9,occ_plus_mean,0.003041723175157123
6,0.1,100,9,occ_plus_uniform,0.005890995480219668
6,0.1,100,9,oracle_tail,0.0015132043133208545
6,0.1,100,9,tis,0.00499150142568556
6,0.1,100,9,tis_anchored,0.0031654049353607785
6,0.1,100,9,uniform,0.02557450930357446
6,0.1,100,10,complete_rollout,0.002932229035893227
6,0.1,100,10,learned_mean,0.008663858760252474
6,0.1,100,10,learned_occupancy,0.00797354379520654
6,0.1,100,10,occ_plus_mean,0.0050984241731343435
6,0.1,100,10,occ_plus_uniform,0.005550889646616731
6,0.1,100,10,oracle_tail,0.0011461751981205347
6,0.1,100,10,tis,0.01008062917178877
6,0.1,100,10,tis_anchored,0.0023065588145043366
6,0.1,100,10,uniform,0.04567453337834277
6,0.1,100,11,complete_rollout,0.001900627532414879
6,0.1,100,11,learned_mean,0.01181769407439113
6,0.1,100,11,learned_occupancy,0.00604315120236506
6,0.1,100,11,occ_plus_mean,0.006285282376683569
6,0.1,100,11,occ_plus_uniform,0.006923600328292464
6,0.1,100,11,oracle_tail,0.0007745173457243832
6,0.1,100,11,tis,0.014932367499474714
6,0.1,100,11,tis_anchored,0.005501694108226587
6,0.1,100,11,uniform,0.03517089201469485
6,0.1,100,12,complete_rollout,0.002264051770227285
6,0.1,100,12,learned_mean,0.007999514221906041
6,0.1,100,12,learned_occupancy,0.00478716596243497
6,0.1,100,12,occ_plus_mean,0.002001551069264105
6,0.1,100,12,occ_plus_uniform,0.00956180925726113
6,0.1,100,12,oracle_tail,0.0010459728011794668
6,0.1,100,12,tis,0.013245251143219911
6,0.1,100,12,tis_anchored,0.0023107604967496907
6,0.1,100,12,uniform,0.038731872481573566
6,0.1,100,13,complete_rollout,0.0028547934982555614
6,0.1,100,13,learned_mean,0.007117550363971013
6,0.1,100,13,learned_occupancy,0.004509081237207183
6,0.1,100,13,occ_plus_mean,0.0025760638751032416
6,0.1,100,13,occ_plus_uniform,0.007686051039168888
6,0.1,100,13,oracle_tail,0.0007901799055433412
6,0.1,100,13,tis,0.010525011138860679
6,0.1,100,13,tis_anchored,0.00277504096941766
6,0.1,100,13,uniform,0.027603295867019192
6,0.1,100,14,complete_rollout,0.0028104764132063915
6,0.1,100,14,learned_mean,0.009266157475403871
6,0.1,100,14,learned_occupancy,0.004151276405053791
6,0.1,100,14,occ_plus_mean,0.003951443456975858
6,0.1,100,14,occ_plus_uniform,0.005343072695491647
6,0.1,100,14,oracle_tail,0.0006306799487287656
6,0.1,100,14,tis,0.018308437558541755
6,0.1,100,14,tis_anchored,0.004148511239386217
6,0.1,100,14,uniform,0.030494676867433134
6,0.1,100,15,complete_rollout,0.004257462164238012
6,0.1,100,15,learned_mean,0.005939953859532987
6,0.1,100,15,learned_occupancy,0.0036167893598651494
6,0.1,100,15,occ_plus_mean,0.0024162948275410546
6,0.1,100,15,occ_plus_uniform,0.0063413246434881635
6,0.1,100,15,oracle_tail,0.0008385741585654269
6,0.1,100,15,tis,0.007897623650187226
6,0.1,100,15,tis_anchored,0.002594182757142473
6,0.1,100,15,uniform,0.021970690407156622
6,0.1,100,16,complete_rollout,0.0017477115030131785
6,0.1,100,16,learned_mean,0.006834571897206947
6,0.1,100,16,learned_occupancy,0.00592499980283435
6,0.1,100,16,occ_plus_mean,0.0037492830221402757
6,0.1,100,16,occ_plus_uniform,0.005081095794988219
6,0.1,100,16,oracle_tail,0.0008682361253283593
6,0.1,100,16,tis,0.010234462723397389
6,0.1,100,16,tis_anchored,0.0036153143114609795
6,0.1,100,16,uniform,0.025323659270435037
6,0.1,100,17,complete_rollout,0.004377399001536157
6,0.1,100,17,learned_mean,0.0046836681224202556
6,0.1,100,17,learned_occupancy,0.003475769478467972
6,0.1,100,17,occ_plus_mean,0.0012179608151210875
6,0.1,100,17,occ_plus_uniform,0.003794880146681126
6,0.1,100,17,oracle_tail,0.0007503105156568348
6,0.1,100,17,tis,0.005193891416380052
6,0.1,100,17,tis_anchored,0.0010088922258944452
6,0.1,100,17,uniform,0.03599518115943637
6,0.1,100,18,complete_rollout,0.003879758365563286
6,0.1,100,18,learned_mean,0.004329930403649251
6,0.1,100,18,learned_occupancy,0.005629177507564684
