horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0019227961291517757
6,0.1,100,0,learned_mean,0.026122212030645554
6,0.1,100,0,learned_occupancy,0.0033380530240879032
6,0.1,100,0,occ_plus_mean,0.0028918217137889964
6,0.1,100,0,occ_plus_uniform,0.01055980084072877
6,0.1,100,0,oracle_tail,0.002404901126638782
6,0.1,100,0,tis,0.026545537993192533
6,0.1,100,0,tis_anchored,0.0023906510572708965
6,0.1,100,0,uniform,0.034976301774773816
6,0.1,100,1,complete_rollout,0.0021498336251356775
6,0.1,100,1,learned_mean,0.0098592767772183
6,0.1,100,1,learned_occupancy,0.005435467197379509
6,0.1,100,1,occ_plus_mean,0.005557673152210097
6,0.1,100,1,occ_plus_uniform,0.0066257232760575146
6,0.1,100,1,oracle_tail,0.0026379502818990423
6,0.1,100,1,tis,0.06843529392097528
6,0.1,100,1,tis_anchored,0.0065101517051750135
6,0.1,100,1,uniform,0.036452763937803216
6,0.1,100,2,complete_rollout,0.0014314602933841012
6,0.1,100,2,learned_mean,0.11021981553468692
6,0.1,100,2,learned_occupancy,0.0029751551924617516
6,0.1,100,2,occ_plus_mean,0.0025667522727901956
6,0.1,100,2,occ_plus_uniform,0.0039051463641525813
6,0.1,100,2,oracle_tail,0.0005266897783717524
6,0.1,100,2,tis,0.07381995978272732
6,0.1,100,2,tis_anchored,0.001821494533060818
6,0.1,100,2,uniform,0.08972573009081418
6,0.1,100,3,complete_rollout,0.0025490817589335904
6,0.1,100,3,learned_mean,0.0724549274981222
6,0.1,100,3,learned_occupancy,0.001494935941841372
6,0.1,100,3,occ_plus_mean,0.0016933508500683726
6,0.1,100,3,occ_plus_uniform,0.006468820195341136
6,0.1,100,3,oracle_tail,0.00053828180277408
6,0.1,100,3,tis,0.07528455253656975
6,0.1,100,3,tis_anchored,0.001714387687632654
6,0.1,100,3,uniform,0.06987957347945507
6,0.1,100,4,complete_rollout,0.006704003827421171
6,0.1,100,4,learned_mean,0.06363280430140711
6,0.1,100,4,learned_occupancy,0.005029028088267852
6,0.1,100,4,occ_plus_mean,0.003926526043319447
