horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
6,0.1,100,complete_rollout-minus-tis,300,-0.004318218274467472,0.0004495099104000894
6,0.1,100,learned_mean-minus-tis,300,-0.00047925239813589887,6.449038323028902e-05
6,0.1,100,learned_occupancy-minus-tis,300,-0.004039583337019238,0.00044891692415442133
6,0.1,100,occ_plus_mean-minus-tis,300,-0.004135895277054608,0.000448582577306599
6,0.1,100,occ_plus_uniform-minus-tis,300,-0.003873615958155045,0.00044801663668135475
6,0.1,100,oracle_tail-minus-tis,300,-0.004486925965629402,0.0004499240606924292
6,0.1,100,tis_anchored-minus-tis,300,-0.004154591508725323,0.00044818719750529886
6,0.1,100,uniform-minus-tis,300,0.0019617153570745524,0.0008292281326426639
6,0.1,200,complete_rollout-minus-tis,300,-0.0023040914380975347,0.00019770383173557722
6,0.1,200,learned_mean-minus-tis,300,-0.00020991454496408713,3.834980799213273e-05
6,0.1,200,learned_occupancy-minus-tis,300,-0.0022255923624510507,0.00019806229759218374
6,0.1,200,occ_plus_mean-minus-tis,300,-0.002285431862527775,0.00019752724363973813
6,0.1,200,occ_plus_uniform-minus-tis,300,-0.0021228216322636243,0.00019791794143758063
6,0.1,200,oracle_tail-minus-tis,300,-0.0023929444439407875,0.00019633978224791203
6,0.1,200,tis_anchored-minus-tis,300,-0.0022986749463068438,0.00019771366238822372
6,0.1,200,uniform-minus-tis,300,0.0001927056990921272,0.00022619270326998509
6,0.1,400,complete_rollout-minus-tis,300,-0.001148866343778543,0.00010637950195906354
6,0.1,400,learned_mean-minus-tis,300,-0.00019789890646324437,3.9736927160060505e-05
6,0.1,400,learned_occupancy-minus-tis,300,-0.0011231146862742058,0.00010649461539547992
6,0.1,400,occ_plus_mean-minus-tis,300,-0.0011578370935819992,0.00010634730001832486
6,0.1,400,occ_plus_uniform-minus-tis,300,-0.001071596321238822,0.00010626919327427063
6,0.1,400,oracle_tail-minus-tis,300,-0.0011948987175310606,0.00010642784657644866
6,0.1,400,tis_anchored-minus-tis,300,-0.0011646432230876162,0.0001063267344848405
6,0.1,400,uniform-minus-tis,300,-6.747605474762599e-05,0.00011331612432891901
6,0.1,800,complete_rollout-minus-tis,300,-0.0005504412800028236,6.82201216565361e-05
6,0.1,800,learned_mean-minus-tis,300,-0.00012353985306786218,1.1721103893028829e-05
6,0.1,800,learned_occupancy-minus-tis,300,-0.0005444693744489924,6.848714030426377e-05
6,0.1,800,occ_plus_mean-minus-tis,300,-0.0005586912673995719,6.836525659124409e-05
6,0.1,800,occ_plus_uniform-minus-tis,300,-0.0005134951998530003,6.840489766292518e-05
6,0.1,800,oracle_tail-minus-tis,300,-0.0005744441255280579,6.835657680754938e-05
6,0.1,800,tis_anchored-minus-tis,300,-0.0005627842836436611,6.833937363708359e-05
6,0.1,800,uniform-minus-tis,300,-1.824833105006632e-05,6.991790362086382e-05
