horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0004207846697571219
6,0.1,100,0,learned_mean,0.010852471529214215
6,0.1,100,0,learned_occupancy,0.0012687827627238342
6,0.1,100,0,occ_plus_mean,0.0007226191879714056
6,0.1,100,0,occ_plus_uniform,0.0008164150746715149
6,0.1,100,0,oracle_tail,0.00015378558935478137
6,0.1,100,0,tis,0.010350749074707765
6,0.1,100,0,tis_anchored,0.00042143418699374356
6,0.1,100,0,uniform,0.004549804559107794
6,0.1,100,1,complete_rollout,0.0005061423788266465
6,0.1,100,1,learned_mean,0.002336304022517005
6,0.1,100,1,learned_occupancy,0.0008550653260562233
6,0.1,100,1,occ_plus_mean,0.0006516803251105149
6,0.1,100,1,occ_plus_uniform,0.0019324295698807453
6,0.1,100,1,oracle_tail,0.000313241784754176
6,0.1,100,1,tis,0.002531224755183086
6,0.1,100,1,tis_anchored,0.0007893353191768872
6,0.1,100,1,uniform,0.007784556043107605
6,0.1,100,2,complete_rollout,0.00038089499025912004
6,0.1,100,2,learned_mean,0.003789219513452325
6,0.1,100,2,learned_occupancy,0.0007820178145948336
6,0.1,100,2,occ_plus_mean,0.0006728564370883306
6,0.1,100,2,occ_plus_uniform,0.000712568220986819
6,0.1,100,2,oracle_tail,0.00020039689816361841
6,0.1,100,2,tis,0.006583646226227258
6,0.1,100,2,tis_anchored,0.0006494859459315336
6,0.1,100,2,uniform,0.00439497481766502
6,0.1,100,3,complete_rollout,0.0005645615414221918
6,0.1,100,3,learned_mean,0.003440818503649706
6,0.1,100,3,learned_occupancy,0.0008367877164846036
6,0.1,100,3,occ_plus_mean,0.0005709852474561754
6,0.1,100,3,occ_plus_uniform,0.0005763058583901004
6,0.1,100,3,oracle_tail,0.00033154238615384175
6,0.1,100,3,tis,0.0037805492527757
6,0.1,100,3,tis_anchored,0.0006435148920550291
6,0.1,100,3,uniform,0.0038345340228433792
6,0.1,100,4,complete_rollout,0.0004017115105586955
6,0.1,100,4,learned_mean,0.005052710705069324
6,0.1,100,4,learned_occupancy,0.0009519749616502037
6,0.1,100,4,occ_plus_mean,0.000620805503557881
6,0.1,100,4,occ_plus_uniform,0.0012150849997865786
6,0.1,100,4,oracle_tail,0.00021556825668576858
6,0.1,100,4,tis,0.0049256449509570924
6,0.1,100,4,tis_anchored,0.0006547027366853035
6,0.1,100,4,uniform,0.0033476879792544837
6,0.1,100,5,complete_rollout,0.00035102914450641176
6,0.1,100,5,learned_mean,0.0021352222237060172
6,0.1,100,5,learned_occupancy,0.0004806149909212758
6,0.1,100,5,occ_plus_mean,0.00034288264905017155
6,0.1,100,5,occ_plus_uniform,0.0009571811094850125
6,0.1,100,5,oracle_tail,0.0002552922989984388
6,0.1,100,5,tis,0.0030038380255410124
6,0.1,100,5,tis_anchored,0.00041745785979647695
6,0.1,100,5,uniform,0.00382205761885389
6,0.1,100,6,complete_rollout,0.00032785376146491133
6,0.1,100,6,learned_mean,0.005234394345298038
6,0.1,100,6,learned_occupancy,0.000835061925213171
6,0.1,100,6,occ_plus_mean,0.0005960178305386276
6,0.1,100,6,occ_plus_uniform,0.00128482313082052
6,0.1,100,6,oracle_tail,0.00011822367629747066
6,0.1,100,6,tis,0.0068711142039740835
6,0.1,100,6,tis_anchored,0.0005960474383326506
6,0.1,100,6,uniform,0.004901885906048423
6,0.1,100,7,complete_rollout,0.0005793454332141735
6,0.1,100,7,learned_mean,0.012528221401413863
6,0.1,100,7,learned_occupancy,0.0015944368999057826
6,0.1,100,7,occ_plus_mean,0.0010117618566860124
6,0.1,100,7,occ_plus_uniform,0.0007592759941514748
6,0.1,100,7,oracle_tail,0.00020429155298933377
6,0.1,100,7,tis,0.012653756976117609
6,0.1,100,7,tis_anchored,0.0008763179383143093
6,0.1,100,7,uniform,0.003681864180403803
6,0.1,100,8,complete_rollout,0.00037537728283618864
6,0.1,100,8,learned_mean,0.0037836509577750684
6,0.1,100,8,learned_occupancy,0.0012220034058082465
6,0.1,100,8,occ_plus_mean,0.0009351849561607367
6,0.1,100,8,occ_plus_uniform,0.0009461012437944285
6,0.1,100,8,oracle_tail,0.0002749203935203838
6,0.1,100,8,tis,0.004128972797999242
6,0.1,100,8,tis_anchored,0.0008304888407063655
6,0.1,100,8,uniform,0.005429913557165727
6,0.1,100,9,complete_rollout,0.0004086596141145778
6,0.1,100,9,learned_mean,0.00522498887638024
6,0.1,100,9,learned_occupancy,0.0007586884543114299
6,0.1,100,9,occ_plus_mean,0.0010387978207345107
6,0.1,100,9,occ_plus_uniform,0.0005791435607485506
6,0.1,100,9,oracle_tail,0.00015781085414411935
6,0.1,100,9,tis,0.0011365332375501565
6,0.1,100,9,tis_anchored,0.0006885652991187471
6,0.1,100,9,uniform,0.007623848419862137
6,0.1,100,10,complete_rollout,0.0004221256687444665
6,0.1,100,10,learned_mean,0.019669284020408608
6,0.1,100,10,learned_occupancy,0.0004882488984214872
6,0.1,100,10,occ_plus_mean,0.0003053239418802836
6,0.1,100,10,occ_plus_uniform,0.0007612100653311665
6,0.1,100,10,oracle_tail,0.00013488298253335872
6,0.1,100,10,tis,0.022538151676291893
6,0.1,100,10,tis_anchored,0.00025707150832495927
6,0.1,100,10,uniform,0.008682007098086626
6,0.1,100,11,complete_rollout,0.00017598927351778886
6,0.1,100,11,learned_mean,0.00901522648297246
6,0.1,100,11,learned_occupancy,0.0006700343496411624
6,0.1,100,11,occ_plus_mean,0.0005569241568766895
6,0.1,100,11,occ_plus_uniform,0.0007849323959935419
6,0.1,100,11,oracle_tail,0.0005143672542983717
6,0.1,100,11,tis,0.011258134488026133
6,0.1,100,11,tis_anchored,0.0004993142786458255
6,0.1,100,11,uniform,0.003911987655300596
6,0.1,100,12,complete_rollout,0.0005173389759639227
6,0.1,100,12,learned_mean,0.011912867435828065
6,0.1,100,12,learned_occupancy,0.0008161185500435323
6,0.1,100,12,occ_plus_mean,0.0007944747594752766
6,0.1,100,12,occ_plus_uniform,0.0008629329887641446
6,0.1,100,12,oracle_tail,0.00012209645199003812
6,0.1,100,12,tis,0.012378681657154727
6,0.1,100,12,tis_anchored,0.0008815894447069123
6,0.1,100,12,uniform,0.003750420377437877
6,0.1,100,13,complete_rollout,0.0004653136054903169
6,0.1,100,13,learned_mean,0.011410166363138977
6,0.1,100,13,learned_occupancy,0.0006707751684582595
6,0.1,100,13,occ_plus_mean,0.00040861578393719075
6,0.1,100,13,occ_plus_uniform,0.0014206695872975795
