horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.00047023886642167187,9.496168183257089e-06,0.08292232015590247
6,0.1,100,learned_mean,300,0.0063572312454153925,0.0007341267094583704,1.1210395445380537
6,0.1,100,learned_occupancy,300,0.0007495602469296718,1.9848716793094654e-05,0.13217808907421058
6,0.1,100,occ_plus_mean,300,0.0006407671926427068,1.700381655079011e-05,0.11299342969679417
6,0.1,100,occ_plus_uniform,300,0.000945911872343217,1.9303914986424868e-05,0.16680290107576368
6,0.1,100,oracle_tail,300,0.00046223622294925567,6.291912101002557e-05,0.08151112722503533
6,0.1,100,tis,300,0.007179009927974486,0.0007414493108363684,1.2659526937445575
6,0.1,100,tis_anchored,300,0.0006136366082060835,1.7489386034995658e-05,0.10820919944847383
6,0.1,100,uniform,300,0.005670835856227546,0.0003142820181473404,1.0
6,0.1,200,complete_rollout,300,0.0002306101269515128,4.558583074126277e-06,0.08862013591038746
6,0.1,200,learned_mean,300,0.0033023627094788026,0.0003442339728790151,1.2690502191212945
6,0.1,200,learned_occupancy,300,0.00032447829685011475,8.487142713464529e-06,0.1246923157579901
6,0.1,200,occ_plus_mean,300,0.00025398359885820033,7.427130445337324e-06,0.09760222305655944
6,0.1,200,occ_plus_uniform,300,0.00044001375678534875,8.262720132006676e-06,0.16909092173977477
6,0.1,200,oracle_tail,300,0.00015750384630065523,1.6080756335887195e-05,0.06052644977081862
6,0.1,200,tis,300,0.0037098426100451265,0.00034985562529186667,1.4256388505326607
6,0.1,200,tis_anchored,300,0.00023334627594186734,6.743652168979831e-06,0.08967159838778019
6,0.1,200,uniform,300,0.0026022317003068624,5.931959748739685e-05,1.0
6,0.1,400,complete_rollout,300,0.00011705024262462578,2.1698756744696665e-06,0.08976007382646094
6,0.1,400,learned_mean,300,0.0011972564008192925,7.784100822994175e-05,0.9181170454415893
6,0.1,400,learned_occupancy,300,0.00014108215868290734,2.885836067257858e-06,0.10818896821585913
6,0.1,400,occ_plus_mean,300,9.894524602885135e-05,1.912439350067939e-06,0.07587624245093642
6,0.1,400,occ_plus_uniform,300,0.0002036195670051324,3.9472010357884205e-06,0.15614583068832938
6,0.1,400,oracle_tail,300,5.1282197281642e-05,2.1726580247387937e-06,0.03932579472513534
6,0.1,400,tis,300,0.0013555330332021913,8.395924906449559e-05,1.0394916098092473
6,0.1,400,tis_anchored,300,8.670968995162911e-05,1.866757275784126e-06,0.06649339631433036
6,0.1,400,uniform,300,0.001304034607312453,2.601142482407316e-05,1.0
