horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.00021747159109518482
6,0.1,100,0,learned_mean,0.004190543225620014
6,0.1,100,0,learned_occupancy,0.0005670573777906441
6,0.1,100,0,occ_plus_mean,0.0004962490827844359
6,0.1,100,0,occ_plus_uniform,0.0005434300505720413
6,0.1,100,0,oracle_tail,0.00015212990963020388
6,0.1,100,0,tis,0.0037748600810973212
6,0.1,100,0,tis_anchored,0.0004373211259849746
6,0.1,100,0,uniform,0.0021298641184010606
6,0.1,100,1,complete_rollout,0.0002565047577130796
6,0.1,100,1,learned_mean,0.0010794093052580466
6,0.1,100,1,learned_occupancy,0.0006632201319294736
6,0.1,100,1,occ_plus_mean,0.0003273830401386116
6,0.1,100,1,occ_plus_uniform,0.0018394504823743456
6,0.1,100,1,oracle_tail,0.00025296464483958803
6,0.1,100,1,tis,0.0014595572680368943
6,0.1,100,1,tis_anchored,0.0005347042415578506
6,0.1,100,1,uniform,0.004383915127550608
6,0.1,100,2,complete_rollout,0.00023964363928715907
6,0.1,100,2,learned_mean,0.005740686269226936
6,0.1,100,2,learned_occupancy,0.0009054190618147965
6,0.1,100,2,occ_plus_mean,0.0008332779969518278
6,0.1,100,2,occ_plus_uniform,0.0005440334790741373
6,0.1,100,2,oracle_tail,9.690232226614555e-05
6,0.1,100,2,tis,0.005714016293075238
6,0.1,100,2,tis_anchored,0.0008048060552307795
6,0.1,100,2,uniform,0.003540644577152051
6,0.1,100,3,complete_rollout,0.0005680707754357419
6,0.1,100,3,learned_mean,0.0024175795178615015
6,0.1,100,3,learned_occupancy,0.0005141201884008327
6,0.1,100,3,occ_plus_mean,0.0003374473378715556
6,0.1,100,3,occ_plus_uniform,0.0003537940764062349
6,0.1,100,3,oracle_tail,0.00013460930252585682
6,0.1,100,3,tis,0.0024655664949082895
6,0.1,100,3,tis_anchored,0.0004214659678025029
6,0.1,100,3,uniform,0.00460523842655476
6,0.1,100,4,complete_rollout,0.0004969682658483809
6,0.1,100,4,learned_mean,0.007038718147588182
6,0.1,100,4,learned_occupancy,0.0007259527834250662
6,0.1,100,4,occ_plus_mean,0.00043802596526537206
6,0.1,100,4,occ_plus_uniform,0.0006863728511404242
6,0.1,100,4,oracle_tail,0.00014471714596182386
6,0.1,100,4,tis,0.0072264543546036
6,0.1,100,4,tis_anchored,0.00042856080054753937
6,0.1,100,4,uniform,0.0019238921988196124
6,0.1,100,5,complete_rollout,0.0005075329069935908
6,0.1,100,5,learned_mean,0.0034881274112303737
6,0.1,100,5,learned_occupancy,0.0003014164799201057
6,0.1,100,5,occ_plus_mean,0.0003401132071620254
6,0.1,100,5,occ_plus_uniform,0.0007349198040276893
6,0.1,100,5,oracle_tail,0.0001437973519921005
6,0.1,100,5,tis,0.0035600935277066937
6,0.1,100,5,tis_anchored,0.0002527659597861845
6,0.1,100,5,uniform,0.004019603215042298
6,0.1,100,6,complete_rollout,0.00032741419151460685
6,0.1,100,6,learned_mean,0.004709990879031938
6,0.1,100,6,learned_occupancy,0.000540303532491777
6,0.1,100,6,occ_plus_mean,0.0007455583580185594
6,0.1,100,6,occ_plus_uniform,0.0010819870301392411
6,0.1,100,6,oracle_tail,9.125634381050345e-05
6,0.1,100,6,tis,0.005031084766380403
6,0.1,100,6,tis_anchored,0.0007262121655835998
6,0.1,100,6,uniform,0.0038544584020791996
6,0.1,100,7,complete_rollout,0.00025295610304608456
6,0.1,100,7,learned_mean,0.005568203788026829
6,0.1,100,7,learned_occupancy,0.0005625997989870356
