horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.0016674167792326278
6,0.1,100,0,learned_mean,0.005646018367223789
6,0.1,100,0,learned_occupancy,0.006311979190170159
6,0.1,100,0,occ_plus_mean,0.004440257011557357
6,0.1,100,0,occ_plus_uniform,0.006035587041128703
6,0.1,100,0,oracle_tail,0.0014684016962702058
6,0.1,100,0,tis,0.02325276003667478
6,0.1,100,0,tis_anchored,0.004215616404089121
6,0.1,100,0,uniform,0.046945385872723025
6,0.1,100,1,complete_rollout,0.0017550093299940597
6,0.1,100,1,learned_mean,0.013249528924843898
6,0.1,100,1,learned_occupancy,0.0054370512777906005
6,0.1,100,1,occ_plus_mean,0.0025322455031691975
6,0.1,100,1,occ_plus_uniform,0.0054295350754377525
6,0.1,100,1,oracle_tail,0.0015420910419946569
6,0.1,100,1,tis,0.019637479196924115
6,0.1,100,1,tis_anchored,0.00341788750146222
6,0.1,100,1,uniform,0.023338561494402606
6,0.1,100,2,complete_rollout,0.0021528216248151767
6,0.1,100,2,learned_mean,0.019315178203218743
6,0.1,100,2,learned_occupancy,0.008176925675965464
6,0.1,100,2,occ_plus_mean,0.003685086471894636
6,0.1,100,2,occ_plus_uniform,0.00901446259551154
6,0.1,100,2,oracle_tail,0.0007922645613044774
6,0.1,100,2,tis,0.021464814070863356
6,0.1,100,2,tis_anchored,0.0058029029365268565
6,0.1,100,2,uniform,0.03592724595543399
6,0.1,100,3,complete_rollout,0.0020178332777651326
6,0.1,100,3,learned_mean,0.0067462509960515725
6,0.1,100,3,learned_occupancy,0.0062291742431590524
6,0.1,100,3,occ_plus_mean,0.003338221462838382
6,0.1,100,3,occ_plus_uniform,0.009098678600798384
6,0.1,100,3,oracle_tail,0.0017082250566035604
6,0.1,100,3,tis,0.00898100245586263
6,0.1,100,3,tis_anchored,0.003713884978782432
6,0.1,100,3,uniform,0.025895206961950776
6,0.1,100,4,complete_rollout,0.002055235556174462
6,0.1,100,4,learned_mean,0.008069222432801804
6,0.1,100,4,learned_occupancy,0.00363647563891109
6,0.1,100,4,occ_plus_mean,0.0032945378137456223
6,0.1,100,4,occ_plus_uniform,0.005704795766534559
6,0.1,100,4,oracle_tail,0.0011548929549784887
6,0.1,100,4,tis,0.007599125238264393
6,0.1,100,4,tis_anchored,0.0034245703952889032
6,0.1,100,4,uniform,0.03766325487618977
6,0.1,100,5,complete_rollout,0.0018266265205108705
6,0.1,100,5,learned_mean,0.025264370271553347
6,0.1,100,5,learned_occupancy,0.003031956061798049
6,0.1,100,5,occ_plus_mean,0.003365172117826217
6,0.1,100,5,occ_plus_uniform,0.007178855190480808
6,0.1,100,5,oracle_tail,0.0007375990822915817
6,0.1,100,5,tis,0.010339136680516874
6,0.1,100,5,tis_anchored,0.003024738791070333
6,0.1,100,5,uniform,0.02352552426816219
6,0.1,100,6,complete_rollout,0.002169117860498651
6,0.1,100,6,learned_mean,0.0408474405431041
6,0.1,100,6,learned_occupancy,0.0026958742745461246
6,0.1,100,6,occ_plus_mean,0.0026973446807380067
6,0.1,100,6,occ_plus_uniform,0.005172491450421448
6,0.1,100,6,oracle_tail,0.0010000513501943786
6,0.1,100,6,tis,0.007620896880016252
6,0.1,100,6,tis_anchored,0.0015138799736938476
6,0.1,100,6,uniform,0.04656624909716348
6,0.1,100,7,complete_rollout,0.0038378272224940144
6,0.1,100,7,learned_mean,0.011600480553421897
6,0.1,100,7,learned_occupancy,0.004289587317674831
6,0.1,100,7,occ_plus_mean,0.003191174384532143
6,0.1,100,7,occ_plus_uniform,0.006875770617771025
6,0.1,100,7,oracle_tail,0.0010961380799139999
6,0.1,100,7,tis,0.013236316695653352
6,0.1,100,7,tis_anchored,0.0031766252788907132
6,0.1,100,7,uniform,0.0480747666991831
6,0.1,100,8,complete_rollout,0.0026544298315915493
6,0.1,100,8,learned_mean,0.00567097383685808
6,0.1,100,8,learned_occupancy,0.002047009770063486
6,0.1,100,8,occ_plus_mean,0.0024162835402868994
6,0.1,100,8,occ_plus_uniform,0.0034321843850069348
6,0.1,100,8,oracle_tail,0.0018439874268030793
6,0.1,100,8,tis,0.009576887969508955
6,0.1,100,8,tis_anchored,0.002387677986847743
6,0.1,100,8,uniform,0.031949339348256264
6,0.1,100,9,complete_rollout,0.005835474771173682
6,0.1,100,9,learned_mean,0.020252186919945556
6,0.1,100,9,learned_occupancy,0.002701858623759937
6,0.1,100,9,occ_plus_mean,0.0014028105524764862
6,0.1,100,9,occ_plus_uniform,0.0034807134501421946
6,0.1,100,9,oracle_tail,0.00046903170982318744
6,0.1,100,9,tis,0.02024225511213061
6,0.1,100,9,tis_anchored,0.0011137168340916285
6,0.1,100,9,uniform,0.030197290622569404
6,0.1,100,10,complete_rollout,0.0023723067693172933
6,0.1,100,10,learned_mean,0.005080714450616647
6,0.1,100,10,learned_occupancy,0.006645937790742853
6,0.1,100,10,occ_plus_mean,0.0029258441397087987
6,0.1,100,10,occ_plus_uniform,0.0069561273383073295
6,0.1,100,10,oracle_tail,0.0006156638674737904
6,0.1,100,10,tis,0.023752842990216454
6,0.1,100,10,tis_anchored,0.0035218295877869066
6,0.1,100,10,uniform,0.048104425852701645
6,0.1,100,11,complete_rollout,0.0029046073240638123
6,0.1,100,11,learned_mean,0.0051926482854614
6,0.1,100,11,learned_occupancy,0.006193577728854723
6,0.1,100,11,occ_plus_mean,0.0029733753615479187
6,0.1,100,11,occ_plus_uniform,0.004194573759058815
6,0.1,100,11,oracle_tail,0.0009358026989567383
6,0.1,100,11,tis,0.005195503001424406
6,0.1,100,11,tis_anchored,0.0027077113159889475
6,0.1,100,11,uniform,0.025862322122500593
6,0.1,100,12,complete_rollout,0.003797936630942707
6,0.1,100,12,learned_mean,0.014761389091544166
6,0.1,100,12,learned_occupancy,0.003166901170433812
6,0.1,100,12,occ_plus_mean,0.003382079616143642
6,0.1,100,12,occ_plus_uniform,0.007752804485317845
6,0.1,100,12,oracle_tail,0.0004961617905399816
6,0.1,100,12,tis,0.016170951752906892
6,0.1,100,12,tis_anchored,0.0030033885800538054
6,0.1,100,12,uniform,0.045332497440711834
6,0.1,100,13,complete_rollout,0.0027291404739900648
6,0.1,100,13,learned_mean,0.01202891325825206
6,0.1,100,13,learned_occupancy,0.006335755551778507
6,0.1,100,13,occ_plus_mean,0.0038781896308535415
6,0.1,100,13,occ_plus_uniform,0.004044818948305546
6,0.1,100,13,oracle_tail,0.000762829821821772
6,0.1,100,13,tis,0.010576963138609804
6,0.1,100,13,tis_anchored,0.0038445775044944064
6,0.1,100,13,uniform,0.03176467143961276
6,0.1,100,14,complete_rollout,0.004052599353003745
6,0.1,100,14,learned_mean,0.01845584012946689
6,0.1,100,14,learned_occupancy,0.009582094514636203
6,0.1,100,14,occ_plus_mean,0.007158351597420464
6,0.1,100,14,occ_plus_uniform,0.007546995825157976
6,0.1,100,14,oracle_tail,0.0013648181587653564
6,0.1,100,14,tis,0.01816495174173532
6,0.1,100,14,tis_anchored,0.006978907580466754
6,0.1,100,14,uniform,0.02666652267697375
6,0.1,100,15,complete_rollout,0.001735319634433531
6,0.1,100,15,learned_mean,0.011753144331380598
6,0.1,100,15,learned_occupancy,0.00703202205692185
6,0.1,100,15,occ_plus_mean,0.0046182635911952334
6,0.1,100,15,occ_plus_uniform,0.005733454656928165
6,0.1,100,15,oracle_tail,0.001143107998536631
6,0.1,100,15,tis,0.014635055641967017
6,0.1,100,15,tis_anchored,0.005143864212545238
6,0.1,100,15,uniform,0.06383202181538272
6,0.1,100,16,complete_rollout,0.0016284669264405522
6,0.1,100,16,learned_mean,0.0063742955074787225
6,0.1,100,16,learned_occupancy,0.008021709111170701
6,0.1,100,16,occ_plus_mean,0.0046493518328194604
6,0.1,100,16,occ_plus_uniform,0.006326247379618734
6,0.1,100,16,oracle_tail,0.0007159981681723937
6,0.1,100,16,tis,0.006495408775892319
6,0.1,100,16,tis_anchored,0.005214665623368334
6,0.1,100,16,uniform,0.03289164734614526
6,0.1,100,17,complete_rollout,0.0027284220791330338
6,0.1,100,17,learned_mean,0.010168583592131198
6,0.1,100,17,learned_occupancy,0.004804046247442724
6,0.1,100,17,occ_plus_mean,0.003371374240875987
6,0.1,100,17,occ_plus_uniform,0.006289045915931967
6,0.1,100,17,oracle_tail,0.0007110305857914912
6,0.1,100,17,tis,0.020422487323661132
6,0.1,100,17,tis_anchored,0.002922756921244169
6,0.1,100,17,uniform,0.03024040395262448
6,0.1,100,18,complete_rollout,0.0030822829399277767
6,0.1,100,18,learned_mean,0.0058055763375821235
6,0.1,100,18,learned_occupancy,0.0038414979309132073
6,0.1,100,18,occ_plus_mean,0.004280055055049835
6,0.1,100,18,occ_plus_uniform,0.007984783833370975
