horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0028648797077284703,6.373362501542836e-05,0.0826184249462464
6,0.1,100,learned_mean,300,0.012300980606672406,0.0006649453188129202,0.35474007522060996
6,0.1,100,learned_occupancy,300,0.005682190545494417,0.00016298053692438222,0.163865041818955
6,0.1,100,occ_plus_mean,300,0.0037936465948462316,0.00013105727194838616,0.10940253638691089
6,0.1,100,occ_plus_uniform,300,0.006481468204094048,0.0001388885930660705,0.1869148966069536
6,0.1,100,oracle_tail,300,0.0009107161111643118,2.493662558207659e-05,0.026263556712202946
6,0.1,100,tis,300,0.013102987980458787,0.0005562355308187113,0.37786865051078977
6,0.1,100,tis_anchored,300,0.003914850141193575,0.00013860666653873352,0.11289784757575538
6,0.1,100,uniform,300,0.034676038784235266,0.0006829919948633978,1.0
6,0.1,200,complete_rollout,300,0.0013107924654124376,2.881698225253553e-05,0.07591841508148275
6,0.1,200,learned_mean,300,0.006013122064927858,0.0003532049016749168,0.3482677150704991
6,0.1,200,learned_occupancy,300,0.00236293130538168,5.6880062309018524e-05,0.13685614190233514
6,0.1,200,occ_plus_mean,300,0.0014309324727717735,3.699338758178119e-05,0.08287667825987889
6,0.1,200,occ_plus_uniform,300,0.0030568213367892483,6.850925367622126e-05,0.17704483142819957
6,0.1,200,oracle_tail,300,0.0004367363617253428,1.0802250217332438e-05,0.025294875630986032
6,0.1,200,tis,300,0.00699631226168624,0.00036115516710672483,0.4052120776840433
6,0.1,200,tis_anchored,300,0.001459531616947031,4.090950814660921e-05,0.08453308211919555
6,0.1,200,uniform,300,0.01726580387651102,0.0003959746324393948,1.0
6,0.1,400,complete_rollout,300,0.0006720964808751588,1.4448659256011824e-05,0.07701629114103162
6,0.1,400,learned_mean,300,0.003411386110283101,0.00020923116438077284,0.39091456857789586
6,0.1,400,learned_occupancy,300,0.0010009252660191784,2.0515999644914195e-05,0.1146971512152085
6,0.1,400,occ_plus_mean,300,0.0005553914850944704,1.3010214211208285e-05,0.06364293450486154
6,0.1,400,occ_plus_uniform,300,0.0013958558895105265,3.086404105288088e-05,0.1599526952402464
6,0.1,400,oracle_tail,300,0.00020912953310345923,4.388122682563512e-06,0.02396438824781731
6,0.1,400,tis,300,0.0036592649479331475,0.00020951065044080022,0.4193192831856823
6,0.1,400,tis_anchored,300,0.0005516706915326006,1.3598720129147598e-05,0.06321656458865026
6,0.1,400,uniform,300,0.008726679393641808,0.0001980950230082849,1.0
