horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,100,0,complete_rollout,0.002949478610934231
6,0.1,100,0,learned_mean,0.007426073764458983
6,0.1,100,0,learned_occupancy,0.0031067695602782263
6,0.1,100,0,occ_plus_mean,0.0029443705250915566
6,0.1,100,0,occ_plus_uniform,0.003937813981579573
6,0.1,100,0,oracle_tail,0.0008386885703826593
6,0.1,100,0,tis,0.009291327670113555
6,0.1,100,0,tis_anchored,0.002878361361921805
6,0.1,100,0,uniform,0.04000464458405103
6,0.1,100,1,complete_rollout,0.0036527254972454183
6,0.1,100,1,learned_mean,0.03224901338451979
6,0.1,100,1,learned_occupancy,0.0040514021913368534
6,0.1,100,1,occ_plus_mean,0.004820534481587834
6,0.1,100,1,occ_plus_uniform,0.004080498035600274
6,0.1,100,1,oracle_tail,0.0007765334548631143
6,0.1,100,1,tis,0.028907435884444044
6,0.1,100,1,tis_anchored,0.0051540908389300635
6,0.1,100,1,uniform,0.02808049864893371
6,0.1,100,2,complete_rollout,0.0025688996020312364
6,0.1,100,2,learned_mean,0.008114769841438609
6,0.1,100,2,learned_occupancy,0.004638450530665883
6,0.1,100,2,occ_plus_mean,0.0038698892916649236
6,0.1,100,2,occ_plus_uniform,0.008203291333177598
6,0.1,100,2,oracle_tail,0.0010541602936781818
6,0.1,100,2,tis,0.00871252015542914
6,0.1,100,2,tis_anchored,0.004056431968541121
6,0.1,100,2,uniform,0.0236884947955964
6,0.1,100,3,complete_rollout,0.002106210958583288
6,0.1,100,3,learned_mean,0.005243405327307294
6,0.1,100,3,learned_occupancy,0.004129954537130624
6,0.1,100,3,occ_plus_mean,0.0038067589703191943
6,0.1,100,3,occ_plus_uniform,0.005167890578317434
6,0.1,100,3,oracle_tail,0.002255891804585762
6,0.1,100,3,tis,0.02492938636456976
6,0.1,100,3,tis_anchored,0.002093638934893034
6,0.1,100,3,uniform,0.02210440060911981
6,0.1,100,4,complete_rollout,0.0011319295169366626
6,0.1,100,4,learned_mean,0.005449568576745026
6,0.1,100,4,learned_occupancy,0.0013799907628469687
6,0.1,100,4,occ_plus_mean,0.0010295053614403475
6,0.1,100,4,occ_plus_uniform,0.0022499271948133114
6,0.1,100,4,oracle_tail,0.0005932995165847745
6,0.1,100,4,tis,0.008000247317162007
6,0.1,100,4,tis_anchored,0.001279827291095636
6,0.1,100,4,uniform,0.02790112623159583
6,0.1,100,5,complete_rollout,0.0018329841425271337
6,0.1,100,5,learned_mean,0.136350216653225
6,0.1,100,5,learned_occupancy,0.002995205572586642
6,0.1,100,5,occ_plus_mean,0.0018590330910817647
6,0.1,100,5,occ_plus_uniform,0.004420327040315679
6,0.1,100,5,oracle_tail,0.0010292232097411562
6,0.1,100,5,tis,0.09897747797913904
6,0.1,100,5,tis_anchored,0.0020129518677061
6,0.1,100,5,uniform,0.04472642860495107
6,0.1,100,6,complete_rollout,0.0017811830396501549
6,0.1,100,6,learned_mean,0.007563156776082449
6,0.1,100,6,learned_occupancy,0.002733228229912433
6,0.1,100,6,occ_plus_mean,0.0022908572494268393
6,0.1,100,6,occ_plus_uniform,0.00401000384746093
6,0.1,100,6,oracle_tail,0.0006112738680203232
6,0.1,100,6,tis,0.008143992237032417
6,0.1,100,6,tis_anchored,0.002139328786352347
6,0.1,100,6,uniform,0.0922129437601643
6,0.1,100,7,complete_rollout,0.004206969385802903
6,0.1,100,7,learned_mean,0.033233203362182426
6,0.1,100,7,learned_occupancy,0.003580139790505699
6,0.1,100,7,occ_plus_mean,0.005629201297888369
6,0.1,100,7,occ_plus_uniform,0.005077906401811528
6,0.1,100,7,oracle_tail,0.001287427207650701
6,0.1,100,7,tis,0.0378698925710307
6,0.1,100,7,tis_anchored,0.0049505312703341815
6,0.1,100,7,uniform,0.025162945108019096
6,0.1,100,8,complete_rollout,0.003285619725218548
6,0.1,100,8,learned_mean,0.043589220724293755
6,0.1,100,8,learned_occupancy,0.0033469317446603287
6,0.1,100,8,occ_plus_mean,0.003339331333111005
6,0.1,100,8,occ_plus_uniform,0.0036950662703991804
6,0.1,100,8,oracle_tail,0.000730289773437692
6,0.1,100,8,tis,0.04625766862888051
6,0.1,100,8,tis_anchored,0.00264549602389932
6,0.1,100,8,uniform,0.03790227675336624
6,0.1,100,9,complete_rollout,0.0036756305830834236
6,0.1,100,9,learned_mean,0.04869910617916236
6,0.1,100,9,learned_occupancy,0.001714711392004102
6,0.1,100,9,occ_plus_mean,0.0013586572660533383
6,0.1,100,9,occ_plus_uniform,0.0028498560798505303
6,0.1,100,9,oracle_tail,0.0012555965935630551
6,0.1,100,9,tis,0.049325929968566065
6,0.1,100,9,tis_anchored,0.001422506555223249
6,0.1,100,9,uniform,0.023130973323390102
6,0.1,100,10,complete_rollout,0.00225733202013996
6,0.1,100,10,learned_mean,0.17379625162285392
6,0.1,100,10,learned_occupancy,0.008498776802867437
6,0.1,100,10,occ_plus_mean,0.006012948604216511
6,0.1,100,10,occ_plus_uniform,0.005023183068775413
6,0.1,100,10,oracle_tail,0.0006003764893518359
6,0.1,100,10,tis,0.021264626321347523
6,0.1,100,10,tis_anchored,0.005869115987181758
6,0.1,100,10,uniform,0.054929105946415875
6,0.1,100,11,complete_rollout,0.0018738790252757621
6,0.1,100,11,learned_mean,0.1907266292691127
6,0.1,100,11,learned_occupancy,0.0027441209785000853
6,0.1,100,11,occ_plus_mean,0.002119496551046201
6,0.1,100,11,occ_plus_uniform,0.010600042764616333
6,0.1,100,11,oracle_tail,0.001898094668601237
6,0.1,100,11,tis,0.19092470924155422
6,0.1,100,11,tis_anchored,0.0015727126553351828
6,0.1,100,11,uniform,0.13094540782830363
6,0.1,100,12,complete_rollout,0.0033676032361001067
6,0.1,100,12,learned_mean,0.04306309816199243
6,0.1,100,12,learned_occupancy,0.007369258086795852
6,0.1,100,12,occ_plus_mean,0.005174376366744334
6,0.1,100,12,occ_plus_uniform,0.006413845981064565
6,0.1,100,12,oracle_tail,0.0004859635772041962
6,0.1,100,12,tis,0.03959994949651079
6,0.1,100,12,tis_anchored,0.005667227957996472
6,0.1,100,12,uniform,0.05655207652472029
6,0.1,100,13,complete_rollout,0.0013418967561372153
6,0.1,100,13,learned_mean,0.11074615552165036
6,0.1,100,13,learned_occupancy,0.0044435262785709004
6,0.1,100,13,occ_plus_mean,0.004218487425092781
6,0.1,100,13,occ_plus_uniform,0.005302403847443184
6,0.1,100,13,oracle_tail,0.0008772968614926918
6,0.1,100,13,tis,0.11136646065664026
