horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
6,0.1,100,complete_rollout,300,0.0005888458998932017,1.8330143119089573e-05,0.05511636506394956
6,0.1,100,learned_mean,300,0.008946756495617497,0.0008527744679480575,0.8374223158217647
6,0.1,100,learned_occupancy,300,0.0009475689853652501,3.681933924815328e-05,0.08869308274056026
6,0.1,100,occ_plus_mean,300,0.0008065665587999041,3.429561510773738e-05,0.07549516250559239
6,0.1,100,occ_plus_uniform,300,0.0011025734001369387,3.259534177863335e-05,0.10320159831760636
6,0.1,100,oracle_tail,300,0.0002377572211403242,8.072866768778176e-06,0.022254232897498324
6,0.1,100,tis,300,0.009272035854396265,0.0008597504690074529,0.8678686785959127
6,0.1,100,tis_anchored,300,0.0007080289255011974,3.130373643769418e-05,0.06627197496125502
6,0.1,100,uniform,300,0.01068368531215701,0.0007195866553030151,1.0
6,0.1,200,complete_rollout,300,0.0003067927125887933,1.0423573698099484e-05,0.05044633461710375
6,0.1,200,learned_mean,300,0.004835991886260209,0.0006973120323644536,0.7951885911542759
6,0.1,200,learned_occupancy,300,0.0004127535436294477,1.3022052801108551e-05,0.06786961528722779
6,0.1,200,occ_plus_mean,300,0.00032696535339674397,1.153068255338207e-05,0.053763348830777394
6,0.1,200,occ_plus_uniform,300,0.0005303897456460535,1.554337491249188e-05,0.087212692767588
6,0.1,200,oracle_tail,300,0.00012119372906188884,4.4418262722187335e-06,0.01992804639380467
6,0.1,200,tis,300,0.004458214533164789,0.0006538180977596309,0.7330701574920042
6,0.1,200,tis_anchored,300,0.00027482157445400175,9.956909514919103e-06,0.04518927776321727
6,0.1,200,uniform,300,0.006081565983285052,0.0004792703388106812,1.0
6,0.1,400,complete_rollout,300,0.00015225250688590228,4.0775281164662555e-06,0.05509369649436441
6,0.1,400,learned_mean,300,0.0023072293985624483,0.0004952452760107225,0.834888034536819
6,0.1,400,learned_occupancy,300,0.0001893613181364498,6.525915596735817e-06,0.06852179450155477
6,0.1,400,occ_plus_mean,300,0.00014252386865694396,5.140489847097919e-06,0.05157331674592869
6,0.1,400,occ_plus_uniform,300,0.00024684711616053276,6.708286300365087e-06,0.08932345599044297
6,0.1,400,oracle_tail,300,6.044681132339159e-05,2.343671118300622e-06,0.021873126066809002
6,0.1,400,tis,300,0.0021887102893458476,0.0004768800239452436,0.7920010176625739
6,0.1,400,tis_anchored,300,0.00011788583662654044,4.314092635868179e-06,0.042657862500444815
6,0.1,400,uniform,300,0.002763519541686159,0.00018529681109089749,1.0
