horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.0001986748319549207
6,0.1,400,0,tis,0.0009899683420107421
6,0.1,400,0,uniform,0.000819089321301876
6,0.1,400,1,learned_occupancy,0.00014485332823818424
6,0.1,400,1,tis,0.0002402682075586122
6,0.1,400,1,uniform,0.0014455677336925488
6,0.1,400,2,learned_occupancy,0.00010147511571347274
6,0.1,400,2,tis,0.000275036995483463
6,0.1,400,2,uniform,0.0012354492472639916
6,0.1,400,3,learned_occupancy,0.000157260076171664
6,0.1,400,3,tis,0.0003091112803290007
6,0.1,400,3,uniform,0.0011802648672957661
6,0.1,400,4,learned_occupancy,0.00014886019602690907
6,0.1,400,4,tis,0.0012231767912848429
6,0.1,400,4,uniform,0.001689808287189065
6,0.1,400,5,learned_occupancy,0.00019315014073212054
6,0.1,400,5,tis,0.00016822709380038316
6,0.1,400,5,uniform,0.0015976016964819968
6,0.1,400,6,learned_occupancy,0.00013224666707070117
6,0.1,400,6,tis,0.0003041645982042318
6,0.1,400,6,uniform,0.0010634133617279788
6,0.1,400,7,learned_occupancy,0.0001403994529026816
6,0.1,400,7,tis,0.00023137197141804438
6,0.1,400,7,uniform,0.0010108307525647756
6,0.1,400,8,learned_occupancy,0.00011127773499170388
6,0.1,400,8,tis,0.0003102784131173384
6,0.1,400,8,uniform,0.0010823159484477263
6,0.1,400,9,learned_occupancy,0.00022344249939514925
6,0.1,400,9,tis,0.0013016999647450281
6,0.1,400,9,uniform,0.0021505314967847342
6,0.1,400,10,learned_occupancy,0.00013360801836993905
6,0.1,400,10,tis,0.00019465654575704757
6,0.1,400,10,uniform,0.0012552483948762622
6,0.1,400,11,learned_occupancy,0.00012297408259581764
6,0.1,400,11,tis,0.0007407432674127405
6,0.1,400,11,uniform,0.0013829280459857914
6,0.1,400,12,learned_occupancy,0.0001874951540323287
6,0.1,400,12,tis,0.0011368160636267487
6,0.1,400,12,uniform,0.0010760976026580368
6,0.1,400,13,learned_occupancy,0.0003525718033985381
6,0.1,400,13,tis,0.0020397334175593944
6,0.1,400,13,uniform,0.0015842706158499518
6,0.1,400,14,learned_occupancy,0.0002041918541085629
6,0.1,400,14,tis,0.00012658969453345712
6,0.1,400,14,uniform,0.0023698067012996125
6,0.1,400,15,learned_occupancy,8.636627782255471e-05
6,0.1,400,15,tis,0.001598504178808003
6,0.1,400,15,uniform,0.0009796292635089045
6,0.1,400,16,learned_occupancy,0.00011061831280242123
6,0.1,400,16,tis,0.0003733793648001161
6,0.1,400,16,uniform,0.0010603605950701477
6,0.1,400,17,learned_occupancy,0.00018743095315242142
6,0.1,400,17,tis,0.0005398468623344537
6,0.1,400,17,uniform,0.001914808176097405
6,0.1,400,18,learned_occupancy,7.284183987610012e-05
6,0.1,400,18,tis,0.0008486674880867618
6,0.1,400,18,uniform,0.0014376139510885659
6,0.1,400,19,learned_occupancy,0.0003772585402019381
6,0.1,400,19,tis,0.00021090245377166026
6,0.1,400,19,uniform,0.0012738051441482244
6,0.1,400,20,learned_occupancy,9.880228238088816e-05
6,0.1,400,20,tis,0.00020038281918451371
6,0.1,400,20,uniform,0.0012158193570128892
6,0.1,400,21,learned_occupancy,0.0001925599710837782
6,0.1,400,21,tis,0.0002983041831928817
6,0.1,400,21,uniform,0.0008766484921609168
6,0.1,400,22,learned_occupancy,0.00014047273769400215
6,0.1,400,22,tis,0.0014434512735758266
6,0.1,400,22,uniform,0.001396693703931017
6,0.1,400,23,learned_occupancy,0.00029566991723541184
6,0.1,400,23,tis,0.0004924251908579572
6,0.1,400,23,uniform,0.0019106146394850868
6,0.1,400,24,learned_occupancy,0.00015074827478059774
6,0.1,400,24,tis,0.0014504000247733643
6,0.1,400,24,uniform,0.0008386625995140704
