horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.00016245849502015026
6,0.1,400,0,tis,0.0002608439009017245
6,0.1,400,0,uniform,0.0007384128163630309
6,0.1,400,1,learned_occupancy,9.466310714678734e-05
6,0.1,400,1,tis,0.0010183439701331484
6,0.1,400,1,uniform,0.0011539471254943877
6,0.1,400,2,learned_occupancy,0.00015613731551616727
6,0.1,400,2,tis,0.002548382301018785
6,0.1,400,2,uniform,0.0011007076698695366
6,0.1,400,3,learned_occupancy,0.00014521373879233622
6,0.1,400,3,tis,0.00016515402371512113
6,0.1,400,3,uniform,0.0015410190208948573
6,0.1,400,4,learned_occupancy,0.00018815049176566258
6,0.1,400,4,tis,0.00022145422022620083
6,0.1,400,4,uniform,0.0009312013213595196
6,0.1,400,5,learned_occupancy,0.0002480198861460472
6,0.1,400,5,tis,6.365938528973516e-05
6,0.1,400,5,uniform,0.0016952885725532126
6,0.1,400,6,learned_occupancy,9.732700485626627e-05
6,0.1,400,6,tis,0.00024116560491820228
6,0.1,400,6,uniform,0.0009206455312152339
6,0.1,400,7,learned_occupancy,0.00014004151799840015
6,0.1,400,7,tis,0.0007537778979488654
6,0.1,400,7,uniform,0.0008699852101064282
6,0.1,400,8,learned_occupancy,0.00014184349779566878
6,0.1,400,8,tis,0.00021938658515916067
6,0.1,400,8,uniform,0.0017556775574465592
6,0.1,400,9,learned_occupancy,0.00010771657447377177
6,0.1,400,9,tis,0.00039942708574046475
6,0.1,400,9,uniform,0.0006180146163957351
6,0.1,400,10,learned_occupancy,5.2591311895401736e-05
6,0.1,400,10,tis,0.00017666999869883263
6,0.1,400,10,uniform,0.0008842193894278089
6,0.1,400,11,learned_occupancy,9.217305927807283e-05
6,0.1,400,11,tis,0.0003972481008627162
6,0.1,400,11,uniform,0.000972787111305565
6,0.1,400,12,learned_occupancy,0.0002897001215364664
6,0.1,400,12,tis,0.0002740628798171133
6,0.1,400,12,uniform,0.001600075344273198
6,0.1,400,13,learned_occupancy,0.00011944724058270863
6,0.1,400,13,tis,0.0005891340647116517
6,0.1,400,13,uniform,0.0009392919827417612
