horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.001061696980986905
6,0.1,400,0,tis,0.0020252660244817916
6,0.1,400,0,uniform,0.013788861474146225
6,0.1,400,1,learned_occupancy,0.0018965593346832686
6,0.1,400,1,tis,0.00644623659997396
6,0.1,400,1,uniform,0.011869570136794868
6,0.1,400,2,learned_occupancy,0.000994356222122409
6,0.1,400,2,tis,0.0021579946619264055
6,0.1,400,2,uniform,0.016020613119086872
6,0.1,400,3,learned_occupancy,0.0008161723520560714
6,0.1,400,3,tis,0.002877472944275516
6,0.1,400,3,uniform,0.00874199168439882
6,0.1,400,4,learned_occupancy,0.0007528305613727891
6,0.1,400,4,tis,0.010208017477592903
6,0.1,400,4,uniform,0.014423069418106293
6,0.1,400,5,learned_occupancy,0.0010315951959309064
6,0.1,400,5,tis,0.0029225416429454476
6,0.1,400,5,uniform,0.013675217843596066
6,0.1,400,6,learned_occupancy,0.0016382733351067
6,0.1,400,6,tis,0.0037852877122608367
6,0.1,400,6,uniform,0.0084887622539095
6,0.1,400,7,learned_occupancy,0.0012905898304264528
6,0.1,400,7,tis,0.004068316495444911
6,0.1,400,7,uniform,0.0238027809210943
6,0.1,400,8,learned_occupancy,0.0009724477822137036
6,0.1,400,8,tis,0.00939021043076211
6,0.1,400,8,uniform,0.017970711444824282
6,0.1,400,9,learned_occupancy,0.0018211941779554867
6,0.1,400,9,tis,0.00259333592430336
6,0.1,400,9,uniform,0.013664322781618395
6,0.1,400,10,learned_occupancy,0.0010778299212943203
6,0.1,400,10,tis,0.0024986403229935116
6,0.1,400,10,uniform,0.008164865975451562
6,0.1,400,11,learned_occupancy,0.0008318858674455074
6,0.1,400,11,tis,0.0019355145841380651
6,0.1,400,11,uniform,0.011826287701638816
6,0.1,400,12,learned_occupancy,0.00038221632620957823
6,0.1,400,12,tis,0.004990718616868935
6,0.1,400,12,uniform,0.014528792316351792
6,0.1,400,13,learned_occupancy,0.0010384236540953787
6,0.1,400,13,tis,0.0021673846474463397
6,0.1,400,13,uniform,0.013399655504655925
6,0.1,400,14,learned_occupancy,0.0015752320142114733
6,0.1,400,14,tis,0.0011954272430450895
6,0.1,400,14,uniform,0.015362627988849933
6,0.1,400,15,learned_occupancy,0.0011654505547346273
6,0.1,400,15,tis,0.0030077419496453562
6,0.1,400,15,uniform,0.01695725280805665
6,0.1,400,16,learned_occupancy,0.0011131487212524389
6,0.1,400,16,tis,0.003046456044485563
6,0.1,400,16,uniform,0.008326646777562924
6,0.1,400,17,learned_occupancy,0.001359717190228605
6,0.1,400,17,tis,0.001643877458306331
6,0.1,400,17,uniform,0.015002338592820623
6,0.1,400,18,learned_occupancy,0.0013459216301366177
6,0.1,400,18,tis,0.002259975627503343
6,0.1,400,18,uniform,0.013029230224778159
6,0.1,400,19,learned_occupancy,0.0006895021411520015
6,0.1,400,19,tis,0.003648023103625452
6,0.1,400,19,uniform,0.013034875987244317
6,0.1,400,20,learned_occupancy,0.0010503654850615761
6,0.1,400,20,tis,0.0015112347090275708
6,0.1,400,20,uniform,0.021044529959429816
6,0.1,400,21,learned_occupancy,0.0017543910097744988
6,0.1,400,21,tis,0.005456275429595809
6,0.1,400,21,uniform,0.025497214229429275
6,0.1,400,22,learned_occupancy,0.0009182180284149271
6,0.1,400,22,tis,0.003482085792876992
6,0.1,400,22,uniform,0.01827074926054342
6,0.1,400,23,learned_occupancy,0.0007730131762817213
6,0.1,400,23,tis,0.0033511972956595587
6,0.1,400,23,uniform,0.00955961665692599
6,0.1,400,24,learned_occupancy,0.0010234373800408552
6,0.1,400,24,tis,0.002178555304046024
6,0.1,400,24,uniform,0.011782939274406294
6,0.1,400,25,learned_occupancy,0.0010303062565037166
6,0.1,400,25,tis,0.0016876518950186953
6,0.1,400,25,uniform,0.011967412525652076
6,0.1,400,26,learned_occupancy,0.0005872502762641284
6,0.1,400,26,tis,0.0016515046445442362
6,0.1,400,26,uniform,0.0121617510030822
6,0.1,400,27,learned_occupancy,0.0014770804670385914
6,0.1,400,27,tis,0.002961169219865605
6,0.1,400,27,uniform,0.026675552883194616
6,0.1,400,28,learned_occupancy,0.0007806363725179799
6,0.1,400,28,tis,0.002227613820839042
6,0.1,400,28,uniform,0.012249760706694255
6,0.1,400,29,learned_occupancy,0.0011852333557431825
6,0.1,400,29,tis,0.006919919605665559
6,0.1,400,29,uniform,0.006186493578001828
6,0.1,400,30,learned_occupancy,0.0011089072225832503
6,0.1,400,30,tis,0.003390760035568208
6,0.1,400,30,uniform,0.021772037310644362
6,0.1,400,31,learned_occupancy,0.0017382399861638083
6,0.1,400,31,tis,0.003261449934956444
6,0.1,400,31,uniform,0.02858121416112703
6,0.1,400,32,learned_occupancy,0.0016255574359754323
6,0.1,400,32,tis,0.0021245854582984973
6,0.1,400,32,uniform,0.017175471144373587
6,0.1,400,33,learned_occupancy,0.0009769209770971344
6,0.1,400,33,tis,0.005199585569240534
6,0.1,400,33,uniform,0.01687922036224721
6,0.1,400,34,learned_occupancy,0.0010384534865865553
6,0.1,400,34,tis,0.0023760304455311943
6,0.1,400,34,uniform,0.013726966937910744
6,0.1,400,35,learned_occupancy,0.0014502091169708718
6,0.1,400,35,tis,0.008068617196711876
6,0.1,400,35,uniform,0.0131018224323621
6,0.1,400,36,learned_occupancy,0.0015834741657042304
6,0.1,400,36,tis,0.002776626438230586
6,0.1,400,36,uniform,0.013568313229623334
6,0.1,400,37,learned_occupancy,0.0018277052329161631
6,0.1,400,37,tis,0.0008966267147354163
6,0.1,400,37,uniform,0.02207197085405571
6,0.1,400,38,learned_occupancy,0.0008362414297710684
6,0.1,400,38,tis,0.007906657908856309
