horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,learned_occupancy,300,0.00322636384198576,0.0003018908703910074,-0.005083244340448931,0.05109962038024178
6,0.1,400,0,tis,300,0.010774406552133985,0.00294821300098082,-0.0020883905064810666,0.17064662003451325
6,0.1,400,0,uniform,300,0.06313870471008956,0.005086677774810908,-0.00196308373310074,1.0
6,0.1,400,1,learned_occupancy,300,0.0036874422359156078,0.00029327258958944033,0.006890751010881825,0.13281864555402215
6,0.1,400,1,tis,300,0.003003208369529015,0.0003170651310200922,0.00503916016866582,0.10817310277358226
6,0.1,400,1,uniform,300,0.027762986292581875,0.002008839692525859,0.025487497860268826,1.0
6,0.1,400,2,learned_occupancy,300,0.001750472446251915,0.00014732015173115267,-0.0023233163227544236,0.15672943695911593
6,0.1,400,2,tis,300,0.0011832037418453615,8.61275821024486e-05,-0.002471290479619234,0.10593874623071621
6,0.1,400,2,uniform,300,0.011168753491461462,0.0008505560174239302,0.008412252815844852,1.0
6,0.1,400,3,learned_occupancy,300,0.001808938420181111,0.00013912024014691598,-0.0017969337791471746,0.08134340458852692
6,0.1,400,3,tis,300,0.007680838784741679,0.0008160681287547809,0.004934604398130659,0.34538797444743213
6,0.1,400,3,uniform,300,0.02223829245077176,0.001996872068258657,0.009227690308133195,1.0
6,0.1,400,4,learned_occupancy,300,0.0,0.0,0.0,0.0
6,0.1,400,4,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,4,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,5,learned_occupancy,300,0.0027728262684446905,0.0002181461850544976,0.004135882901891725,0.1195186445028179
6,0.1,400,5,tis,300,0.003479796680306475,0.0005291571588459868,0.0036687997191464376,0.1499915761433257
6,0.1,400,5,uniform,300,0.023199947422256076,0.0019461886302455992,0.0015332710214778689,1.0
6,0.1,400,6,learned_occupancy,300,0.0009582042018201994,7.567617314189898e-05,-0.0017554598237491895,0.1253387680700917
6,0.1,400,6,tis,300,0.0012971028600217132,0.00010895934229451477,0.00024120495685064024,0.16966871385711232
6,0.1,400,6,uniform,300,0.0076449147903253235,0.0006061372242421762,0.0025373870147853018,1.0
6,0.1,400,7,learned_occupancy,300,0.000880719359665452,7.720855362464417e-05,-0.00018746147941507493,0.050129984450808567
6,0.1,400,7,tis,300,0.02336559164010308,0.0035139435324379755,-0.0028329411505886998,1.3299545794556438
6,0.1,400,7,uniform,300,0.0175687140004937,0.001764512738113398,0.001500814189422721,1.0
6,0.1,400,8,learned_occupancy,300,0.0016114859134183505,0.0001496194036767977,0.0004326686226480218,0.09937617824447006
6,0.1,400,8,tis,300,0.0012987335397092166,0.0001703765761523914,0.0028558536790747537,0.08008954633704524
6,0.1,400,8,uniform,300,0.016216018183492824,0.0014867345760024256,-0.012173305140215258,1.0
6,0.1,400,9,learned_occupancy,300,0.00021289100717184525,1.7156687777607348e-05,-0.0005146024941887717,0.1123675842085273
6,0.1,400,9,tis,300,0.00027617866466620925,2.289373892079215e-05,0.0004376327034841698,0.14577191291799696
6,0.1,400,9,uniform,300,0.0018945945013534382,0.00018280281322126632,0.0027573441259016434,1.0
6,0.1,400,10,learned_occupancy,300,0.002117786002844882,0.00017152850246825253,0.006365548836060757,0.13949511500520725
6,0.1,400,10,tis,300,0.0024724945403803177,0.0004272594327526471,0.005770620262368546,0.16285918869837857
6,0.1,400,10,uniform,300,0.015181793303413,0.0012235077213583255,0.001484327125098832,1.0
6,0.1,400,11,learned_occupancy,300,0.0008314618530059346,6.776752485890993e-05,-0.0014022829569048057,0.029202028117159832
6,0.1,400,11,tis,300,0.030155867755348703,0.0031888510845032654,-0.003393507210852859,1.059113529869615
6,0.1,400,11,uniform,300,0.028472743388578105,0.0022804373886572606,-0.00851390345930438,1.0
6,0.1,400,12,learned_occupancy,300,0.0002746975481923072,2.1196605234653805e-05,0.001470209741873972,0.03933768373909004
6,0.1,400,12,tis,300,0.005644837084694926,0.0006269114446612991,0.011283208437121743,0.8083611137328475
6,0.1,400,12,uniform,300,0.006983063619461128,0.0004609188385441567,0.0021833149996510048,1.0
6,0.1,400,13,learned_occupancy,300,0.001262547673116778,9.437233059944764e-05,-0.0024367414613939743,0.08338293729362838
6,0.1,400,13,tis,300,0.004459941183391933,0.0006321799937080871,-0.008437269974280034,0.29454966647714326
6,0.1,400,13,uniform,300,0.015141559101843421,0.0012117909365756394,-0.009444279181330853,1.0
6,0.1,400,14,learned_occupancy,300,0.004741165217634152,0.00038840294350115897,-0.0023135598531686934,0.05487801241271474
6,0.1,400,14,tis,300,0.03516127950645285,0.006932299635420654,0.010508685652664353,0.40698457966097107
6,0.1,400,14,uniform,300,0.08639462344185897,0.006465047162678622,0.010418191681165553,1.0
6,0.1,400,15,learned_occupancy,300,0.0002816041590355671,2.8835439971774502e-05,0.0014700322705458139,0.10303909439261225
6,0.1,400,15,tis,300,0.0011519756000460963,0.0003071963446113697,0.005345529009779117,0.4215084144980403
6,0.1,400,15,uniform,300,0.0027329836378662668,0.00030850093388508175,0.014524790142416592,1.0
6,0.1,400,16,learned_occupancy,300,8.254594532870543e-05,6.567241651489668e-06,-0.0006408447429727163,0.03512329928759906
6,0.1,400,16,tis,300,0.00014435320409193677,4.5019849629219956e-05,-0.0005500755156258001,0.06142228755458703
6,0.1,400,16,uniform,300,0.0023501762933145014,0.00019436774039146887,-0.00037615864757257236,1.0
6,0.1,400,17,learned_occupancy,300,0.005081066619917551,0.00038400606696148177,-0.002559621901700456,0.09415078674596579
6,0.1,400,17,tis,300,0.015358034941920347,0.005267627502823013,0.008575964338154647,0.2845802231731607
6,0.1,400,17,uniform,300,0.05396733044437641,0.005216936292878703,0.02716594666606762,1.0
6,0.1,400,18,learned_occupancy,300,1.0955927885834619e-05,1.273635952075264e-06,0.00011682857291034724,0.02369190151736248
6,0.1,400,18,tis,300,0.0004944144023117125,0.00031271502213993326,0.0011040980736341233,1.0691579435713294
6,0.1,400,18,uniform,300,0.000462433455491347,0.0002450167838259464,0.00038275666884664733,1.0
6,0.1,400,19,learned_occupancy,300,0.0016920849951195993,0.00013327920813741733,0.0015413066116824767,0.10772449450294917
6,0.1,400,19,tis,300,0.0028566610240921267,0.00025554753212821466,0.003493886906142835,0.18186578432772546
6,0.1,400,19,uniform,300,0.015707523186133634,0.001375021640567107,0.003889720770174618,1.0
6,0.1,400,20,learned_occupancy,300,0.0003451541419039835,2.6886144343555012e-05,0.0007529354301524209,0.059934968185866515
