horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.001013551797624083
6,0.1,400,0,tis,0.004224657636926093
6,0.1,400,0,uniform,0.005520090816744108
6,0.1,400,1,learned_occupancy,0.0006604331887469443
6,0.1,400,1,tis,0.006444801668703664
6,0.1,400,1,uniform,0.006525178995970791
6,0.1,400,2,learned_occupancy,0.0008716091662267315
6,0.1,400,2,tis,0.00859047609588026
6,0.1,400,2,uniform,0.008723766695594267
6,0.1,400,3,learned_occupancy,0.0006894070230251599
6,0.1,400,3,tis,0.014053187762572417
6,0.1,400,3,uniform,0.006510217618366383
6,0.1,400,4,learned_occupancy,0.0005070483257048888
6,0.1,400,4,tis,0.005767541463753082
6,0.1,400,4,uniform,0.007772768032278713
6,0.1,400,5,learned_occupancy,0.0004011576214997059
6,0.1,400,5,tis,0.002162987866276914
6,0.1,400,5,uniform,0.0030073144375751116
6,0.1,400,6,learned_occupancy,0.0006358978723362956
6,0.1,400,6,tis,0.01508343149857976
6,0.1,400,6,uniform,0.011948926160940551
6,0.1,400,7,learned_occupancy,0.0005880642292172871
6,0.1,400,7,tis,0.0009853288288913424
6,0.1,400,7,uniform,0.008681478693710096
6,0.1,400,8,learned_occupancy,0.0008002313480745636
6,0.1,400,8,tis,0.010904505466000285
6,0.1,400,8,uniform,0.006474790464454818
6,0.1,400,9,learned_occupancy,0.00043544616241797987
6,0.1,400,9,tis,0.011171024349505983
6,0.1,400,9,uniform,0.008595103024255195
6,0.1,400,10,learned_occupancy,0.0011558147191810713
6,0.1,400,10,tis,0.0035363202465978003
6,0.1,400,10,uniform,0.010198926182578501
6,0.1,400,11,learned_occupancy,0.0009454281554226688
6,0.1,400,11,tis,0.0019926408434497497
6,0.1,400,11,uniform,0.006808428905187326
6,0.1,400,12,learned_occupancy,0.0006979722165278366
6,0.1,400,12,tis,0.008319759879255994
6,0.1,400,12,uniform,0.01698601442416662
6,0.1,400,13,learned_occupancy,0.0008748551365164027
6,0.1,400,13,tis,0.007589024070606115
6,0.1,400,13,uniform,0.006091169740612532
6,0.1,400,14,learned_occupancy,0.0007191784914168256
6,0.1,400,14,tis,0.005391995650113345
6,0.1,400,14,uniform,0.013954630987948337
6,0.1,400,15,learned_occupancy,0.0011755705287219058
6,0.1,400,15,tis,0.001932754821578223
6,0.1,400,15,uniform,0.006087639523208145
6,0.1,400,16,learned_occupancy,0.0005511958140258839
6,0.1,400,16,tis,0.004011600236835082
6,0.1,400,16,uniform,0.00723823222924632
6,0.1,400,17,learned_occupancy,0.0005312730675511568
6,0.1,400,17,tis,0.01183482513832638
6,0.1,400,17,uniform,0.004500439154009674
6,0.1,400,18,learned_occupancy,0.0004608366164585084
6,0.1,400,18,tis,0.005249209772810758
6,0.1,400,18,uniform,0.011170862322818154
6,0.1,400,19,learned_occupancy,0.0006487304115450601
6,0.1,400,19,tis,0.012961776248144798
6,0.1,400,19,uniform,0.0069672798222169844
6,0.1,400,20,learned_occupancy,0.0008256090854934942
6,0.1,400,20,tis,0.0060827012997766924
6,0.1,400,20,uniform,0.00580002126176816
6,0.1,400,21,learned_occupancy,0.0011142728915881069
6,0.1,400,21,tis,0.006499700612285567
6,0.1,400,21,uniform,0.005891954736255674
6,0.1,400,22,learned_occupancy,0.0007133300449943972
6,0.1,400,22,tis,0.005258632993764361
6,0.1,400,22,uniform,0.012095988080011428
6,0.1,400,23,learned_occupancy,0.0007409176734174111
6,0.1,400,23,tis,0.0028680362479665193
6,0.1,400,23,uniform,0.009742019350132903
6,0.1,400,24,learned_occupancy,0.0010679614799826928
6,0.1,400,24,tis,0.010299644737546335
6,0.1,400,24,uniform,0.0315871228699144
6,0.1,400,25,learned_occupancy,0.0007833953247535204
6,0.1,400,25,tis,0.005010727946659488
6,0.1,400,25,uniform,0.007731027653043433
6,0.1,400,26,learned_occupancy,0.0010552987297266143
6,0.1,400,26,tis,0.01852807351489522
6,0.1,400,26,uniform,0.00810255984764326
6,0.1,400,27,learned_occupancy,0.0005526126168986848
6,0.1,400,27,tis,0.009927149371150768
6,0.1,400,27,uniform,0.010897371199393097
6,0.1,400,28,learned_occupancy,0.0006358661822044126
6,0.1,400,28,tis,0.015253721331335308
6,0.1,400,28,uniform,0.009172278617302064
6,0.1,400,29,learned_occupancy,0.0009913075031886247
6,0.1,400,29,tis,0.01855998845461049
6,0.1,400,29,uniform,0.013730249431890827
6,0.1,400,30,learned_occupancy,0.0004963165134151008
6,0.1,400,30,tis,0.002709744869917821
6,0.1,400,30,uniform,0.008913706890718718
6,0.1,400,31,learned_occupancy,0.0019402535174170622
6,0.1,400,31,tis,0.017093385512297565
6,0.1,400,31,uniform,0.018084810387859553
6,0.1,400,32,learned_occupancy,0.0006394171714248471
6,0.1,400,32,tis,0.040752811659758324
6,0.1,400,32,uniform,0.009007629017242799
6,0.1,400,33,learned_occupancy,0.0012633732263606986
6,0.1,400,33,tis,0.028960182216509544
6,0.1,400,33,uniform,0.008081321485067417
6,0.1,400,34,learned_occupancy,0.0010322365424396958
6,0.1,400,34,tis,0.0023054722009245685
6,0.1,400,34,uniform,0.005834538856862542
6,0.1,400,35,learned_occupancy,0.0007236842367842449
6,0.1,400,35,tis,0.005110851111351227
6,0.1,400,35,uniform,0.005315926027092743
6,0.1,400,36,learned_occupancy,0.0006842352381791454
6,0.1,400,36,tis,0.0018491530085413099
6,0.1,400,36,uniform,0.008606897071273097
6,0.1,400,37,learned_occupancy,0.0007978520552228374
6,0.1,400,37,tis,0.006316524356160349
6,0.1,400,37,uniform,0.0071446432220520825
6,0.1,400,38,learned_occupancy,0.001996019189800596
6,0.1,400,38,tis,0.004007333503337609
6,0.1,400,38,uniform,0.004657591984960094
6,0.1,400,39,learned_occupancy,0.0012449031368004324
6,0.1,400,39,tis,0.007755634553417667
6,0.1,400,39,uniform,0.006021957648483155
6,0.1,400,40,learned_occupancy,0.0007409594511720897
6,0.1,400,40,tis,0.009522846097353443
6,0.1,400,40,uniform,0.004833310023953165
6,0.1,400,41,learned_occupancy,0.0012166400088529494
6,0.1,400,41,tis,0.011892619574556305
6,0.1,400,41,uniform,0.012098521152961927
6,0.1,400,42,learned_occupancy,0.0012565703913943677
6,0.1,400,42,tis,0.0059728559465989225
6,0.1,400,42,uniform,0.008697383549849932
6,0.1,400,43,learned_occupancy,0.0005688805771005579
6,0.1,400,43,tis,0.006754149083206218
6,0.1,400,43,uniform,0.010955006296368877
6,0.1,400,44,learned_occupancy,0.001072628719464951
6,0.1,400,44,tis,0.0028339286941002967
6,0.1,400,44,uniform,0.02374062569200805
6,0.1,400,45,learned_occupancy,0.001005562954063616
6,0.1,400,45,tis,0.0014459114076649893
6,0.1,400,45,uniform,0.01325496597005921
6,0.1,400,46,learned_occupancy,0.0009121361355404954
6,0.1,400,46,tis,0.011290540000629226
6,0.1,400,46,uniform,0.00875121257508749
6,0.1,400,47,learned_occupancy,0.001569877026170351
6,0.1,400,47,tis,0.02384219102039803
6,0.1,400,47,uniform,0.029885092463588177
6,0.1,400,48,learned_occupancy,0.0012193078095160362
6,0.1,400,48,tis,0.008446408401928946
6,0.1,400,48,uniform,0.016679014657056544
6,0.1,400,49,learned_occupancy,0.0007693261617314562
6,0.1,400,49,tis,0.010444119849050831
6,0.1,400,49,uniform,0.009029764460727683
6,0.1,400,50,learned_occupancy,0.001208137059960337
6,0.1,400,50,tis,0.00899188704347678
6,0.1,400,50,uniform,0.006696550511709672
6,0.1,400,51,learned_occupancy,0.0023157606234300914
6,0.1,400,51,tis,0.004556272121733974
6,0.1,400,51,uniform,0.010568269899295985
6,0.1,400,52,learned_occupancy,0.0019372962735656463
6,0.1,400,52,tis,0.0057198123673451945
6,0.1,400,52,uniform,0.0026931987193847813
6,0.1,400,53,learned_occupancy,0.0009089099459284778
6,0.1,400,53,tis,0.007688040644519838
6,0.1,400,53,uniform,0.0035404297909359264
6,0.1,400,54,learned_occupancy,0.0007791209471524669
6,0.1,400,54,tis,0.002428907921136376
6,0.1,400,54,uniform,0.013883570743313482
6,0.1,400,55,learned_occupancy,0.0010306093336736196
6,0.1,400,55,tis,0.02163314155230324
6,0.1,400,55,uniform,0.010292312144145057
6,0.1,400,56,learned_occupancy,0.00047909810183628085
6,0.1,400,56,tis,0.0047586709554545475
6,0.1,400,56,uniform,0.007474496364033052
6,0.1,400,57,learned_occupancy,0.0006541780468644857
6,0.1,400,57,tis,0.007808487560443483
6,0.1,400,57,uniform,0.006297759762847769
6,0.1,400,58,learned_occupancy,0.0008367648759134038
6,0.1,400,58,tis,0.010408883434389102
6,0.1,400,58,uniform,0.006558849500063021
6,0.1,400,59,learned_occupancy,0.0007003349590499642
6,0.1,400,59,tis,0.00622163134958157
6,0.1,400,59,uniform,0.00532084756262212
6,0.1,400,60,learned_occupancy,0.0006530015819573101
6,0.1,400,60,tis,0.004695400304446211
6,0.1,400,60,uniform,0.006816830592138215
6,0.1,400,61,learned_occupancy,0.0007326969502958775
6,0.1,400,61,tis,0.0015690401531140645
6,0.1,400,61,uniform,0.005305669483866429
6,0.1,400,62,learned_occupancy,0.0007395232083964087
6,0.1,400,62,tis,0.008644588787440205
6,0.1,400,62,uniform,0.0040231140984684916
6,0.1,400,63,learned_occupancy,0.00043103045212092994
6,0.1,400,63,tis,0.012231278442460303
6,0.1,400,63,uniform,0.005055416010942914
6,0.1,400,64,learned_occupancy,0.000988880840908866
6,0.1,400,64,tis,0.010807167094343893
6,0.1,400,64,uniform,0.006930793486896636
6,0.1,400,65,learned_occupancy,0.000837225139020969
6,0.1,400,65,tis,0.007894312081765456
6,0.1,400,65,uniform,0.006539759176842287
6,0.1,400,66,learned_occupancy,0.0008238022905983968
6,0.1,400,66,tis,0.007444823320836436
6,0.1,400,66,uniform,0.00903947884059283
6,0.1,400,67,learned_occupancy,0.0005854167828239958
6,0.1,400,67,tis,0.006906177641454772
6,0.1,400,67,uniform,0.01201313522777536
6,0.1,400,68,learned_occupancy,0.001002284940037491
6,0.1,400,68,tis,0.009388919432787576
6,0.1,400,68,uniform,0.012382017463458654
6,0.1,400,69,learned_occupancy,0.000783518054220296
6,0.1,400,69,tis,0.007026194777036489
6,0.1,400,69,uniform,0.01882791825973984
6,0.1,400,70,learned_occupancy,0.001069597811755964
6,0.1,400,70,tis,0.004680141384247268
6,0.1,400,70,uniform,0.01522235165765897
6,0.1,400,71,learned_occupancy,0.0006387655300113981
6,0.1,400,71,tis,0.001998973113578362
6,0.1,400,71,uniform,0.015286040750117628
6,0.1,400,72,learned_occupancy,0.0008910264205040933
6,0.1,400,72,tis,0.008292106507769972
6,0.1,400,72,uniform,0.012735825539397536
