horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,learned_occupancy,300,0.0003774565490625234,3.053723613444859e-05,-0.0017042857887183723,0.15587458582951746
6,0.1,400,0,tis,300,0.00016899399120459888,1.764817201668551e-05,-0.0006207172490524945,0.0697878165105849
6,0.1,400,0,uniform,300,0.0024215400288239014,0.00019037558881371836,-0.0010408186405706844,1.0
6,0.1,400,1,learned_occupancy,300,5.123114006683235e-06,4.0203371080116756e-07,0.00010134409138379189,0.07284109803876537
6,0.1,400,1,tis,300,4.217447344748922e-06,1.5119306965151968e-06,8.223046285298352e-06,0.05996421221769261
6,0.1,400,1,uniform,300,7.033273995892758e-05,8.137704666602804e-06,0.0007977926135311852,1.0
6,0.1,400,2,learned_occupancy,300,9.263671816107314e-08,6.989614021538501e-09,-2.2719610350458255e-05,0.05079154245149897
6,0.1,400,2,tis,300,2.5686122983534945e-07,8.894311333179015e-08,8.763912645176988e-06,0.14083376784399732
6,0.1,400,2,uniform,300,1.8238610935970744e-06,2.1388193913028473e-07,-5.063588526585357e-05,1.0
6,0.1,400,3,learned_occupancy,300,1.3668993918413601e-05,1.2026166319723364e-06,0.0001392478006503787,0.07015772802229943
6,0.1,400,3,tis,300,9.731314528130206e-06,7.227398241218449e-07,0.0001272904785858072,0.049947122812331025
6,0.1,400,3,uniform,300,0.000194832334280679,1.9367962540868986e-05,-0.00031410096569089774,1.0
6,0.1,400,4,learned_occupancy,300,6.653451676616035e-05,5.578207201220036e-06,-2.148923000598509e-05,0.08636447105136884
6,0.1,400,4,tis,300,0.00013755319490924505,1.4772088323044977e-05,-0.0006919094350723206,0.1785495634020272
6,0.1,400,4,uniform,300,0.0007703922221278493,5.2145470900610094e-05,-0.0007696503253973323,1.0
6,0.1,400,5,learned_occupancy,300,0.0003023744000180188,2.396410735442019e-05,-0.0022097479391390085,0.22634105702243604
6,0.1,400,5,tis,300,0.00015238802848238208,1.2136185899869704e-05,-0.0008421346792791828,0.11406940350179133
6,0.1,400,5,uniform,300,0.0013359237780180817,0.0001178842743529371,-0.00459170422349093,1.0
6,0.1,400,6,learned_occupancy,300,1.0558504985917326e-05,8.016483046058e-07,-0.0001159200781532214,0.08008969023991522
6,0.1,400,6,tis,300,6.876649337547985e-06,5.596880679186517e-07,-0.00015840944060551662,0.05216161909922961
6,0.1,400,6,uniform,300,0.00013183351008461215,9.996145915770061e-06,-0.0002457151579035684,1.0
6,0.1,400,7,learned_occupancy,300,0.00012378428263660747,9.987785771408868e-06,-0.0003647735755630466,0.12195633840882031
