horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.0008456817364748726
6,0.1,400,0,tis,0.00045897061749729695
6,0.1,400,0,uniform,0.003644072254652829
6,0.1,400,1,learned_occupancy,0.0012212364355656126
6,0.1,400,1,tis,0.0008555607518823279
6,0.1,400,1,uniform,0.009002842294415305
6,0.1,400,2,learned_occupancy,0.0008267346854037406
6,0.1,400,2,tis,0.00048456434843332526
6,0.1,400,2,uniform,0.0029374140451219324
6,0.1,400,3,learned_occupancy,0.0008013179913397433
6,0.1,400,3,tis,0.0007203018378285412
6,0.1,400,3,uniform,0.005456550837286522
6,0.1,400,4,learned_occupancy,0.0007081148737783327
6,0.1,400,4,tis,0.0008992027277354921
6,0.1,400,4,uniform,0.004918776766908884
6,0.1,400,5,learned_occupancy,0.0007287391863648829
6,0.1,400,5,tis,0.0007791128850991066
6,0.1,400,5,uniform,0.007555876292978496
6,0.1,400,6,learned_occupancy,0.0007844568426388718
6,0.1,400,6,tis,0.0007061258504783314
6,0.1,400,6,uniform,0.004387828066545009
6,0.1,400,7,learned_occupancy,0.00039704568923337925
6,0.1,400,7,tis,0.00037039658240700505
6,0.1,400,7,uniform,0.001902005486796774
6,0.1,400,8,learned_occupancy,0.00048614268084434944
6,0.1,400,8,tis,0.00048366507677297165
6,0.1,400,8,uniform,0.003698905176899256
6,0.1,400,9,learned_occupancy,0.0009378503571578085
6,0.1,400,9,tis,0.0007047254539891753
6,0.1,400,9,uniform,0.0044947478873571785
6,0.1,400,10,learned_occupancy,0.0005670352721413879
6,0.1,400,10,tis,0.00046662161720755114
6,0.1,400,10,uniform,0.004350785291329594
6,0.1,400,11,learned_occupancy,0.0008450412524332345
6,0.1,400,11,tis,0.001028745626684759
6,0.1,400,11,uniform,0.004000118604600981
6,0.1,400,12,learned_occupancy,0.0003939733335054639
6,0.1,400,12,tis,0.00047422248363126877
6,0.1,400,12,uniform,0.0028045339396691204
6,0.1,400,13,learned_occupancy,0.0005966182865988413
6,0.1,400,13,tis,0.0005608151025595072
6,0.1,400,13,uniform,0.005234575708898967
6,0.1,400,14,learned_occupancy,0.0006542208184443658
6,0.1,400,14,tis,0.0011670599847123416
6,0.1,400,14,uniform,0.0019386281843635875
6,0.1,400,15,learned_occupancy,0.0004666190768767965
6,0.1,400,15,tis,0.00042916817712976627
6,0.1,400,15,uniform,0.006631806461734514
6,0.1,400,16,learned_occupancy,0.0005635693057082358
6,0.1,400,16,tis,0.0005217480531140565
6,0.1,400,16,uniform,0.0017183093009125578
6,0.1,400,17,learned_occupancy,0.0005953947845789329
6,0.1,400,17,tis,0.0006289543314790294
6,0.1,400,17,uniform,0.0032268943837648824
