horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.0013411842935421546
6,0.1,400,0,tis,0.009083979987985
6,0.1,400,0,uniform,0.018628099507716888
6,0.1,400,1,learned_occupancy,0.0009613380149753556
6,0.1,400,1,tis,0.0015148971065932488
6,0.1,400,1,uniform,0.00982478696406412
6,0.1,400,2,learned_occupancy,0.001376904188416334
6,0.1,400,2,tis,0.002193125788888054
6,0.1,400,2,uniform,0.013960518998963913
6,0.1,400,3,learned_occupancy,0.001273963474495976
6,0.1,400,3,tis,0.00358276109850634
6,0.1,400,3,uniform,0.017264620745179444
6,0.1,400,4,learned_occupancy,0.0009801777238562799
6,0.1,400,4,tis,0.002927312425088277
6,0.1,400,4,uniform,0.012450056244634527
6,0.1,400,5,learned_occupancy,0.000943178294095541
6,0.1,400,5,tis,0.0027118295089964546
6,0.1,400,5,uniform,0.016637504574267218
6,0.1,400,6,learned_occupancy,0.0012036744784523121
6,0.1,400,6,tis,0.0010010412010976384
6,0.1,400,6,uniform,0.01766780647482734
6,0.1,400,7,learned_occupancy,0.0011847946345445617
6,0.1,400,7,tis,0.0033436228832332284
6,0.1,400,7,uniform,0.017307248806895287
6,0.1,400,8,learned_occupancy,0.0014125318119191886
6,0.1,400,8,tis,0.03079305300012198
6,0.1,400,8,uniform,0.03749819040822774
6,0.1,400,9,learned_occupancy,0.0010681310470196674
6,0.1,400,9,tis,0.004445981554479818
6,0.1,400,9,uniform,0.020212018036971445
6,0.1,400,10,learned_occupancy,0.0018724877287348883
6,0.1,400,10,tis,0.004484057027409438
6,0.1,400,10,uniform,0.02199041489648045
6,0.1,400,11,learned_occupancy,0.0023243614761524127
6,0.1,400,11,tis,0.001671332122173827
6,0.1,400,11,uniform,0.027088879726888348
6,0.1,400,12,learned_occupancy,0.002720835467262384
6,0.1,400,12,tis,0.002977358344488798
6,0.1,400,12,uniform,0.013752772548171768
6,0.1,400,13,learned_occupancy,0.0015920856276080424
6,0.1,400,13,tis,0.03099779985501325
6,0.1,400,13,uniform,0.021983658394806673
6,0.1,400,14,learned_occupancy,0.0019573429259390753
6,0.1,400,14,tis,0.001942980674621032
6,0.1,400,14,uniform,0.020240067653421973
6,0.1,400,15,learned_occupancy,0.0008582104675657741
6,0.1,400,15,tis,0.026917211292859535
6,0.1,400,15,uniform,0.02106589568096809
6,0.1,400,16,learned_occupancy,0.001148685955107515
6,0.1,400,16,tis,0.0019011746718608164
6,0.1,400,16,uniform,0.02158091465060964
6,0.1,400,17,learned_occupancy,0.0016659671221727994
6,0.1,400,17,tis,0.004903660514389632
6,0.1,400,17,uniform,0.027483715021758844
