horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.0002886671964572758
6,0.1,400,0,tis,0.00014706818566256755
6,0.1,400,0,uniform,0.0008355058728838816
6,0.1,400,1,learned_occupancy,0.0002253130409514997
6,0.1,400,1,tis,8.979861606085596e-05
6,0.1,400,1,uniform,0.001061920836718015
6,0.1,400,2,learned_occupancy,0.0002712415757358531
6,0.1,400,2,tis,0.00022451425761948598
6,0.1,400,2,uniform,0.0012966152438227635
6,0.1,400,3,learned_occupancy,0.00024195468271580496
6,0.1,400,3,tis,0.00013672180010403185
6,0.1,400,3,uniform,0.0011820660491946564
6,0.1,400,4,learned_occupancy,0.0003830572375658994
6,0.1,400,4,tis,0.0001661262951184252
6,0.1,400,4,uniform,0.0019033530658100991
6,0.1,400,5,learned_occupancy,0.00025760346551189815
6,0.1,400,5,tis,7.076924128686194e-05
6,0.1,400,5,uniform,0.0011093340425004602
6,0.1,400,6,learned_occupancy,0.00012823372669291765
6,0.1,400,6,tis,6.373894874401833e-05
6,0.1,400,6,uniform,0.0007077879808702216
6,0.1,400,7,learned_occupancy,0.0002671917784772718
6,0.1,400,7,tis,9.542753430604958e-05
6,0.1,400,7,uniform,0.0026801056854551877
6,0.1,400,8,learned_occupancy,0.00010831742282047282
6,0.1,400,8,tis,0.00021104751988226296
6,0.1,400,8,uniform,0.001359641473872166
6,0.1,400,9,learned_occupancy,0.0005817863303467101
6,0.1,400,9,tis,0.00012006852459949936
6,0.1,400,9,uniform,0.0015995668533668286
6,0.1,400,10,learned_occupancy,0.0002639082419369604
6,0.1,400,10,tis,0.0007013432197496478
6,0.1,400,10,uniform,0.0017524657799324638
6,0.1,400,11,learned_occupancy,0.00024554032190296553
6,0.1,400,11,tis,0.0003123020980301859
6,0.1,400,11,uniform,0.00138197311581861
6,0.1,400,12,learned_occupancy,0.0002144615832802065
6,0.1,400,12,tis,0.0001463883230174405
6,0.1,400,12,uniform,0.0018958013488188283
6,0.1,400,13,learned_occupancy,0.0003266790962137585
6,0.1,400,13,tis,0.00013826751523241993
