horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,learned_occupancy,300,0.0007244677979192898,5.840138692209946e-05,-0.0007524294309802423,0.2999292331534977
6,0.1,400,0,tis,300,0.0008319082116770069,6.823121773996777e-05,0.00014717345885014796,0.3444094999101391
6,0.1,400,0,uniform,300,0.0024154624419305,0.00020893980420903004,-0.0038533680804091106,1.0
6,0.1,400,1,learned_occupancy,300,1.2423488988977114e-05,2.482507386211747e-06,0.0016050582887090167,0.024227595287094596
6,0.1,400,1,tis,300,0.0002946135495725212,6.504729847722581e-05,0.006917848587818005,0.5745389118524193
6,0.1,400,1,uniform,300,0.0005127825870359813,9.039471579779338e-05,0.010640788994144605,1.0
6,0.1,400,2,learned_occupancy,300,4.322603595533692e-05,3.875807503401788e-06,0.00015838785549225244,0.23200147008655578
6,0.1,400,2,tis,300,4.7847771489475614e-05,3.6222048094202027e-06,0.00048225101694694407,0.2568071089700136
6,0.1,400,2,uniform,300,0.00018631793987861382,1.5119379378948967e-05,0.00011734084251622997,1.0
6,0.1,400,3,learned_occupancy,300,0.0008231853619394234,6.759828062029722e-05,0.0015473629634029206,0.23432742030766768
6,0.1,400,3,tis,300,0.0008173983934607884,6.809361136854124e-05,0.0023157093540121343,0.23268010555002247
6,0.1,400,3,uniform,300,0.003512970700819374,0.0003264285608987609,0.001522319275082508,1.0
6,0.1,400,4,learned_occupancy,300,0.0003600989629224026,2.6976284972057905e-05,-0.0010041459733017598,0.22700781885737564
6,0.1,400,4,tis,300,0.000323014607327573,2.7265030655274262e-05,-0.0009506414089276032,0.20362969355261692
6,0.1,400,4,uniform,300,0.001586284405246171,0.00012606615105441394,0.0017157184145648262,1.0
6,0.1,400,5,learned_occupancy,300,0.0004668967837342983,3.5980417658265616e-05,0.0009833494473638312,0.19155658298653255
6,0.1,400,5,tis,300,0.0002461466523413199,2.1097821074918164e-05,0.0015822304886440467,0.10098808404495227
6,0.1,400,5,uniform,300,0.0024373831295953093,0.00020356838992062785,0.006640037801191844,1.0
6,0.1,400,6,learned_occupancy,300,0.003415781091845567,0.0002681592477401723,-0.0016805101809003408,0.15845875044206023
6,0.1,400,6,tis,300,0.0031034432383131847,0.0002853063241171843,-6.781213402441939e-05,0.14396933655524838
6,0.1,400,6,uniform,300,0.02155627936176698,0.0016709932838548016,0.006347533123986199,1.0
6,0.1,400,7,learned_occupancy,300,0.0006526753072956181,5.1517757755268805e-05,-0.002057223769303842,0.17509286029403176
6,0.1,400,7,tis,300,0.00035932764319134973,2.97945800666046e-05,-0.0006055281822894986,0.09639663723418618
6,0.1,400,7,uniform,300,0.0037275952097623327,0.00031683206306430033,0.004858425362478745,1.0
6,0.1,400,8,learned_occupancy,300,0.0005074972203294448,4.342727874138137e-05,0.0005317948900272514,0.32375896101268803
6,0.1,400,8,tis,300,0.00048121326479719505,3.968819027838394e-05,0.0016933720627305012,0.30699105412858574
6,0.1,400,8,uniform,300,0.0015675155947561744,0.00013595862365404205,0.0027114397758877494,1.0
6,0.1,400,9,learned_occupancy,300,0.0005271451709019566,4.755563514083802e-05,-0.0009452677091218235,0.1356273604288907
6,0.1,400,9,tis,300,0.00030321749298255316,2.480262474485409e-05,0.0006470172703245103,0.07801378155228916
6,0.1,400,9,uniform,300,0.0038867170254952964,0.0002976236228486885,0.0032955112813727976,1.0
6,0.1,400,10,learned_occupancy,300,0.0005820652032888164,4.426587325601072e-05,-0.0023959309644655397,0.14871363382899075
6,0.1,400,10,tis,300,0.000412945415207815,2.9489657540202847e-05,-0.001177482965015366,0.10550469762079913
6,0.1,400,10,uniform,300,0.003914000272215436,0.00033453424699079944,-0.0018842702161997113,1.0
6,0.1,400,11,learned_occupancy,300,0.0006389697290111445,5.709464821426298e-05,0.0006669917563533826,0.23024017000103256
6,0.1,400,11,tis,300,0.00045423976148358295,3.7558002878096e-05,0.001427851406760355,0.1636763607989081
6,0.1,400,11,uniform,300,0.0027752313117571053,0.00023306327346729827,0.0023233336341414203,1.0
6,0.1,400,12,learned_occupancy,300,0.00040359863199662324,3.081296436105579e-05,-0.0012956235608710717,0.2990405864948092
6,0.1,400,12,tis,300,0.00033237576878349405,2.500513360480342e-05,0.00018295251598410427,0.24626903302910783
6,0.1,400,12,uniform,300,0.0013496449987855713,0.00010910147506503558,0.0012611831843362268,1.0
