horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,learned_occupancy,0.0011597857827575838
6,0.1,400,0,tis,0.0028160042953820873
6,0.1,400,0,uniform,0.012458639450665191
6,0.1,400,1,learned_occupancy,0.0010101862471949316
6,0.1,400,1,tis,0.0030931482561724374
6,0.1,400,1,uniform,0.005662004285658553
6,0.1,400,2,learned_occupancy,0.0009012017287938173
6,0.1,400,2,tis,0.0008644298745770296
6,0.1,400,2,uniform,0.007485602273890977
6,0.1,400,3,learned_occupancy,0.0008867752101105645
6,0.1,400,3,tis,0.0029789291556074128
6,0.1,400,3,uniform,0.009373274033891479
6,0.1,400,4,learned_occupancy,0.0012283592623419336
6,0.1,400,4,tis,0.001523896292890847
6,0.1,400,4,uniform,0.015239838742801402
6,0.1,400,5,learned_occupancy,0.0010289857717062944
6,0.1,400,5,tis,0.0007900259573661332
6,0.1,400,5,uniform,0.007560246177095601
6,0.1,400,6,learned_occupancy,0.0016844756645459525
6,0.1,400,6,tis,0.002420799039940907
6,0.1,400,6,uniform,0.00846592953640044
6,0.1,400,7,learned_occupancy,0.0015659408833344733
6,0.1,400,7,tis,0.00252637672820397
6,0.1,400,7,uniform,0.013014048406520835
6,0.1,400,8,learned_occupancy,0.001890981788301289
6,0.1,400,8,tis,0.003263072473046714
6,0.1,400,8,uniform,0.008830516663691978
6,0.1,400,9,learned_occupancy,0.0008733272428504848
6,0.1,400,9,tis,0.0035846932075371788
6,0.1,400,9,uniform,0.007234940658013657
6,0.1,400,10,learned_occupancy,0.002122378215948656
6,0.1,400,10,tis,0.003862946522183205
6,0.1,400,10,uniform,0.009502241297174967
6,0.1,400,11,learned_occupancy,0.0011354867402238885
6,0.1,400,11,tis,0.0015420720673924933
6,0.1,400,11,uniform,0.013840802062773785
6,0.1,400,12,learned_occupancy,0.0010349884006942136
6,0.1,400,12,tis,0.002249865785070388
6,0.1,400,12,uniform,0.005341086070047797
6,0.1,400,13,learned_occupancy,0.0007816531633932262
6,0.1,400,13,tis,0.0026663903168487497
6,0.1,400,13,uniform,0.012698823106100383
6,0.1,400,14,learned_occupancy,0.0009968723776084213
6,0.1,400,14,tis,0.000784880739181986
6,0.1,400,14,uniform,0.0217623385196816
6,0.1,400,15,learned_occupancy,0.0015246259167749046
6,0.1,400,15,tis,0.0015360995563683784
6,0.1,400,15,uniform,0.006754924275905268
6,0.1,400,16,learned_occupancy,0.0028596926571718396
6,0.1,400,16,tis,0.007651646696632208
6,0.1,400,16,uniform,0.010117565871658426
6,0.1,400,17,learned_occupancy,0.0018816139682861523
6,0.1,400,17,tis,0.0038085998356234075
6,0.1,400,17,uniform,0.022756718772908652
6,0.1,400,18,learned_occupancy,0.0018031902938723254
6,0.1,400,18,tis,0.0011318657390490562
6,0.1,400,18,uniform,0.011639632774961061
6,0.1,400,19,learned_occupancy,0.000881801356753426
6,0.1,400,19,tis,0.0019661049769616385
6,0.1,400,19,uniform,0.007492139849509885
6,0.1,400,20,learned_occupancy,0.0011619752712392244
6,0.1,400,20,tis,0.0010031461830397898
6,0.1,400,20,uniform,0.009624814971257105
6,0.1,400,21,learned_occupancy,0.0010505018284221825
6,0.1,400,21,tis,0.0012876272257493172
6,0.1,400,21,uniform,0.017953040015986674
6,0.1,400,22,learned_occupancy,0.0011854151964419404
6,0.1,400,22,tis,0.0014948412711503077
6,0.1,400,22,uniform,0.011735143614408748
6,0.1,400,23,learned_occupancy,0.0014856998057696726
6,0.1,400,23,tis,0.0011417735954261027
6,0.1,400,23,uniform,0.011038131316957077
6,0.1,400,24,learned_occupancy,0.001180069803258784
6,0.1,400,24,tis,0.0015996250567068655
6,0.1,400,24,uniform,0.01015817098899406
6,0.1,400,25,learned_occupancy,0.001978742036693584
6,0.1,400,25,tis,0.0028595492530217987
6,0.1,400,25,uniform,0.006386208893058633
6,0.1,400,26,learned_occupancy,0.001102818928292989
6,0.1,400,26,tis,0.0010870206637933954
6,0.1,400,26,uniform,0.012594140168153408
6,0.1,400,27,learned_occupancy,0.000763943581154218
6,0.1,400,27,tis,0.0008368856565510604
6,0.1,400,27,uniform,0.009469903037198135
6,0.1,400,28,learned_occupancy,0.0018428354964726557
6,0.1,400,28,tis,0.002311401529461643
6,0.1,400,28,uniform,0.013789985335589863
6,0.1,400,29,learned_occupancy,0.0007488992713318095
6,0.1,400,29,tis,0.002119310600517756
