horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.004247051894501309
6,0.1,400,0,uniform,0.005464615518019402
6,0.1,400,1,tis,0.006633244044126303
6,0.1,400,1,uniform,0.006841995302908251
6,0.1,400,2,tis,0.008803549213553823
6,0.1,400,2,uniform,0.008509859440715736
6,0.1,400,3,tis,0.013757814705556872
6,0.1,400,3,uniform,0.007144180879287416
6,0.1,400,4,tis,0.005761149456008679
6,0.1,400,4,uniform,0.00821286849872916
6,0.1,400,5,tis,0.001980903264772463
6,0.1,400,5,uniform,0.0034536726771639565
6,0.1,400,6,tis,0.014924696414883807
6,0.1,400,6,uniform,0.01162513157449216
6,0.1,400,7,tis,0.0009811253267599685
6,0.1,400,7,uniform,0.009123520669402363
6,0.1,400,8,tis,0.010779358327609689
6,0.1,400,8,uniform,0.006500136771831892
6,0.1,400,9,tis,0.011707904273068339
6,0.1,400,9,uniform,0.008421438465466086
6,0.1,400,10,tis,0.0028636265671028002
6,0.1,400,10,uniform,0.009337633795418111
6,0.1,400,11,tis,0.001988076685649432
6,0.1,400,11,uniform,0.006618765464445043
6,0.1,400,12,tis,0.007494463648540938
6,0.1,400,12,uniform,0.017278189459865218
6,0.1,400,13,tis,0.006662476908536163
6,0.1,400,13,uniform,0.006382344422949908
6,0.1,400,14,tis,0.005219795238314216
6,0.1,400,14,uniform,0.014556249642024276
6,0.1,400,15,tis,0.0020180437353489408
6,0.1,400,15,uniform,0.005996365229417563
6,0.1,400,16,tis,0.004067039745085293
6,0.1,400,16,uniform,0.006839497337538987
6,0.1,400,17,tis,0.011679655120826053
6,0.1,400,17,uniform,0.0048523916081211396
6,0.1,400,18,tis,0.004281566275451431
6,0.1,400,18,uniform,0.011304110231103765
6,0.1,400,19,tis,0.01334428367887425
6,0.1,400,19,uniform,0.007412681479509542
6,0.1,400,20,tis,0.005849637544726219
6,0.1,400,20,uniform,0.006243546944916345
6,0.1,400,21,tis,0.005714094052393307
6,0.1,400,21,uniform,0.005861040843546684
6,0.1,400,22,tis,0.004876001033660986
6,0.1,400,22,uniform,0.010947172081232118
6,0.1,400,23,tis,0.0025319423762470163
6,0.1,400,23,uniform,0.009159824888579717
6,0.1,400,24,tis,0.009926075436982772
6,0.1,400,24,uniform,0.031248554837544226
6,0.1,400,25,tis,0.005236373695290484
6,0.1,400,25,uniform,0.007285686311926367
6,0.1,400,26,tis,0.01908485195117516
6,0.1,400,26,uniform,0.007804678080388249
6,0.1,400,27,tis,0.010076986338458145
6,0.1,400,27,uniform,0.010086312255522818
6,0.1,400,28,tis,0.014847083798001478
6,0.1,400,28,uniform,0.009043125842540961
6,0.1,400,29,tis,0.019012105049326326
6,0.1,400,29,uniform,0.014017196611477403
6,0.1,400,30,tis,0.0027615330420938246
6,0.1,400,30,uniform,0.008662237732147181
6,0.1,400,31,tis,0.017059495677310244
6,0.1,400,31,uniform,0.01810260549396836
6,0.1,400,32,tis,0.04145499147892928
6,0.1,400,32,uniform,0.008708801984762787
6,0.1,400,33,tis,0.030063738258187728
6,0.1,400,33,uniform,0.008510558967977316
6,0.1,400,34,tis,0.002350739965055304
6,0.1,400,34,uniform,0.006012597789788268
6,0.1,400,35,tis,0.0050263205155590225
6,0.1,400,35,uniform,0.005644850454537696
6,0.1,400,36,tis,0.002102963228200774
6,0.1,400,36,uniform,0.008100173260559708
6,0.1,400,37,tis,0.006166204460695329
6,0.1,400,37,uniform,0.006789593216744399
6,0.1,400,38,tis,0.0040647454131605395
6,0.1,400,38,uniform,0.00473974986955977
6,0.1,400,39,tis,0.007826900034327268
6,0.1,400,39,uniform,0.005790786067762037
6,0.1,400,40,tis,0.009370767236961413
6,0.1,400,40,uniform,0.005197905253538557
6,0.1,400,41,tis,0.011487908367124306
6,0.1,400,41,uniform,0.012626679349521696
6,0.1,400,42,tis,0.0059956325378310036
6,0.1,400,42,uniform,0.009127943204735934
6,0.1,400,43,tis,0.00701528525315219
6,0.1,400,43,uniform,0.011406489625341933
6,0.1,400,44,tis,0.0029127740100173063
6,0.1,400,44,uniform,0.02309595378721333
6,0.1,400,45,tis,0.001038746329327004
6,0.1,400,45,uniform,0.013189965209364263
6,0.1,400,46,tis,0.011265407420944507
6,0.1,400,46,uniform,0.009257754194526398
6,0.1,400,47,tis,0.024426118524584983
6,0.1,400,47,uniform,0.03139912150750431
6,0.1,400,48,tis,0.009075295654364064
6,0.1,400,48,uniform,0.017338599003198965
6,0.1,400,49,tis,0.010728724937670502
6,0.1,400,49,uniform,0.008282552046839465
6,0.1,400,50,tis,0.00863644969267971
6,0.1,400,50,uniform,0.006360701068293714
6,0.1,400,51,tis,0.004360755906404697
6,0.1,400,51,uniform,0.009497287369814394
6,0.1,400,52,tis,0.005827616170233399
6,0.1,400,52,uniform,0.0026499876602724716
6,0.1,400,53,tis,0.007590538453720403
6,0.1,400,53,uniform,0.0033009523354772443
6,0.1,400,54,tis,0.0025149037572500662
6,0.1,400,54,uniform,0.014307516286624323
6,0.1,400,55,tis,0.02177822436570288
6,0.1,400,55,uniform,0.009883943948643451
6,0.1,400,56,tis,0.004850442476126167
6,0.1,400,56,uniform,0.007742316520442784
6,0.1,400,57,tis,0.0071070284022853435
6,0.1,400,57,uniform,0.006455737412328688
6,0.1,400,58,tis,0.010832789104121205
6,0.1,400,58,uniform,0.006732580163383076
6,0.1,400,59,tis,0.005415890577295467
6,0.1,400,59,uniform,0.005004523820190261
6,0.1,400,60,tis,0.004790777663600077
6,0.1,400,60,uniform,0.0065660669628160775
6,0.1,400,61,tis,0.001602169093144007
6,0.1,400,61,uniform,0.0052977840937327185
6,0.1,400,62,tis,0.008925179662217533
6,0.1,400,62,uniform,0.004059542663243359
6,0.1,400,63,tis,0.011572095757640758
6,0.1,400,63,uniform,0.004164527833751203
6,0.1,400,64,tis,0.010810051450061373
6,0.1,400,64,uniform,0.006873781588278519
6,0.1,400,65,tis,0.008104065180671001
6,0.1,400,65,uniform,0.006131622454196533
6,0.1,400,66,tis,0.007409082876420768
6,0.1,400,66,uniform,0.009154869101370767
6,0.1,400,67,tis,0.007257693375220484
6,0.1,400,67,uniform,0.010430536290427674
6,0.1,400,68,tis,0.005628356517132278
6,0.1,400,68,uniform,0.012187889314418712
6,0.1,400,69,tis,0.006669902775796409
6,0.1,400,69,uniform,0.019262633652115717
6,0.1,400,70,tis,0.004395092110255024
6,0.1,400,70,uniform,0.015587323642974176
6,0.1,400,71,tis,0.0023303686502812978
6,0.1,400,71,uniform,0.01563924812479719
6,0.1,400,72,tis,0.008144282126943585
6,0.1,400,72,uniform,0.013395320100980672
6,0.1,400,73,tis,0.0032653280319621565
6,0.1,400,73,uniform,0.008821292079099602
6,0.1,400,74,tis,0.00279564007531777
6,0.1,400,74,uniform,0.007811715491146843
6,0.1,400,75,tis,0.0024503959417158504
6,0.1,400,75,uniform,0.00517124078268638
6,0.1,400,76,tis,0.004914224884584356
6,0.1,400,76,uniform,0.014271790784639572
6,0.1,400,77,tis,0.007545027749956413
6,0.1,400,77,uniform,0.010021094768408822
6,0.1,400,78,tis,0.00183397500345395
6,0.1,400,78,uniform,0.013144515404042505
6,0.1,400,79,tis,0.010437036286199259
6,0.1,400,79,uniform,0.014762297641041906
6,0.1,400,80,tis,0.023858547408419955
6,0.1,400,80,uniform,0.008623895159644826
6,0.1,400,81,tis,0.007866719801784076
6,0.1,400,81,uniform,0.008744518472695965
6,0.1,400,82,tis,0.0005913517359309959
6,0.1,400,82,uniform,0.01594106580453461
6,0.1,400,83,tis,0.0025871026171816257
6,0.1,400,83,uniform,0.014688583722163893
6,0.1,400,84,tis,0.014911925083396033
6,0.1,400,84,uniform,0.004102902342027083
6,0.1,400,85,tis,0.007083563588402936
6,0.1,400,85,uniform,0.0066455695262543895
6,0.1,400,86,tis,0.01312547118500826
6,0.1,400,86,uniform,0.010791994058856393
6,0.1,400,87,tis,0.02590169015608689
6,0.1,400,87,uniform,0.01876393371288416
6,0.1,400,88,tis,0.010642462239598124
6,0.1,400,88,uniform,0.01298318981810679
6,0.1,400,89,tis,0.004560958726425394
6,0.1,400,89,uniform,0.011909917223566588
6,0.1,400,90,tis,0.007511765398282558
6,0.1,400,90,uniform,0.01074058603132825
6,0.1,400,91,tis,0.00632582032778844
6,0.1,400,91,uniform,0.004799987789051322
6,0.1,400,92,tis,0.0114037816230682
6,0.1,400,92,uniform,0.03542999838871496
6,0.1,400,93,tis,0.00403783758862165
6,0.1,400,93,uniform,0.014146993484077226
6,0.1,400,94,tis,0.01316849160457295
6,0.1,400,94,uniform,0.010130782494670643
6,0.1,400,95,tis,0.010766707490182896
6,0.1,400,95,uniform,0.01726137036010092
6,0.1,400,96,tis,0.007075119603074119
6,0.1,400,96,uniform,0.008075498372634961
6,0.1,400,97,tis,0.0015004620831812815
6,0.1,400,97,uniform,0.009074841635422524
6,0.1,400,98,tis,0.012592417849379568
6,0.1,400,98,uniform,0.015828258900582405
6,0.1,400,99,tis,0.0091046367216324
6,0.1,400,99,uniform,0.006141484344314942
6,0.1,400,100,tis,0.0008473395558970066
6,0.1,400,100,uniform,0.007718299440950205
6,0.1,400,101,tis,0.030489897707143845
6,0.1,400,101,uniform,0.014644572316901397
6,0.1,400,102,tis,0.028030144817560478
6,0.1,400,102,uniform,0.00870975645628733
6,0.1,400,103,tis,0.0065558343525777135
6,0.1,400,103,uniform,0.03920318947874117
6,0.1,400,104,tis,0.009942985665551457
6,0.1,400,104,uniform,0.008169286079109913
6,0.1,400,105,tis,0.0017960260184788593
6,0.1,400,105,uniform,0.006629996144580998
6,0.1,400,106,tis,0.005414332582481668
6,0.1,400,106,uniform,0.024483096372307445
6,0.1,400,107,tis,0.0031704916163787125
6,0.1,400,107,uniform,0.009192986891788138
6,0.1,400,108,tis,0.0029873787346608076
6,0.1,400,108,uniform,0.019749097372330892
6,0.1,400,109,tis,0.01694035930006365
6,0.1,400,109,uniform,0.03269690045435384
6,0.1,400,110,tis,0.0010303648627831177
6,0.1,400,110,uniform,0.004972240072200079
6,0.1,400,111,tis,0.0015032229929076775
6,0.1,400,111,uniform,0.0045263194802505876
6,0.1,400,112,tis,0.009231732982800923
6,0.1,400,112,uniform,0.014438051974933266
6,0.1,400,113,tis,0.022149525005116372
6,0.1,400,113,uniform,0.006615102331998052
6,0.1,400,114,tis,0.007989005080592677
6,0.1,400,114,uniform,0.007978746473128585
6,0.1,400,115,tis,0.009978937409177458
6,0.1,400,115,uniform,0.010568065659300364
6,0.1,400,116,tis,0.019722090569033953
6,0.1,400,116,uniform,0.02191801422724964
6,0.1,400,117,tis,0.005999262182672629
6,0.1,400,117,uniform,0.00880448344622496
6,0.1,400,118,tis,0.002625263485402994
6,0.1,400,118,uniform,0.006540496309275812
6,0.1,400,119,tis,0.005290862375776577
6,0.1,400,119,uniform,0.013986802841534737
6,0.1,400,120,tis,0.020538964483657177
6,0.1,400,120,uniform,0.007974398539255897
6,0.1,400,121,tis,0.012658363405870413
6,0.1,400,121,uniform,0.0056271288620792555
6,0.1,400,122,tis,0.0033732355040916344
6,0.1,400,122,uniform,0.006947999506161064
6,0.1,400,123,tis,0.0028704679699249796
6,0.1,400,123,uniform,0.010780057792471473
6,0.1,400,124,tis,0.009699808166408924
6,0.1,400,124,uniform,0.022395794600627145
6,0.1,400,125,tis,0.014766827357360499
6,0.1,400,125,uniform,0.00716227580601217
6,0.1,400,126,tis,0.001243237549891342
6,0.1,400,126,uniform,0.005381961077927515
6,0.1,400,127,tis,0.001593936828558207
6,0.1,400,127,uniform,0.008144122775729805
6,0.1,400,128,tis,0.006540705899416814
6,0.1,400,128,uniform,0.007697338457682445
6,0.1,400,129,tis,0.010142052234530321
6,0.1,400,129,uniform,0.004342204715757974
6,0.1,400,130,tis,0.009916855660229516
6,0.1,400,130,uniform,0.004508790177065997
6,0.1,400,131,tis,0.004897501087906693
6,0.1,400,131,uniform,0.004129416814055158
6,0.1,400,132,tis,0.010519268250008065
6,0.1,400,132,uniform,0.01076393201698626
6,0.1,400,133,tis,0.009994693997408322
6,0.1,400,133,uniform,0.005295041765414062
6,0.1,400,134,tis,0.006939083307357414
6,0.1,400,134,uniform,0.006240960708086775
6,0.1,400,135,tis,0.01924180090137252
6,0.1,400,135,uniform,0.006026239869633071
6,0.1,400,136,tis,0.007168186591201062
6,0.1,400,136,uniform,0.007165333893499126
6,0.1,400,137,tis,0.004851760357430461
6,0.1,400,137,uniform,0.011530117200673557
6,0.1,400,138,tis,0.006950087269815376
6,0.1,400,138,uniform,0.021299706013119122
6,0.1,400,139,tis,0.007120330558876137
6,0.1,400,139,uniform,0.009224375041736519
6,0.1,400,140,tis,0.002129466092200933
6,0.1,400,140,uniform,0.004639514263120115
6,0.1,400,141,tis,0.001730952795507226
6,0.1,400,141,uniform,0.0122845723998293
6,0.1,400,142,tis,0.003868358464323702
6,0.1,400,142,uniform,0.005723668335656323
6,0.1,400,143,tis,0.0036989263898986316
6,0.1,400,143,uniform,0.0071252829709474
6,0.1,400,144,tis,0.003105636388819185
6,0.1,400,144,uniform,0.008697045894108616
6,0.1,400,145,tis,0.0009303428142851068
6,0.1,400,145,uniform,0.010200835246806905
6,0.1,400,146,tis,0.00890706002450922
6,0.1,400,146,uniform,0.010918724619645376
6,0.1,400,147,tis,0.007062150580764945
6,0.1,400,147,uniform,0.017437239361781088
6,0.1,400,148,tis,0.0077982076112628924
6,0.1,400,148,uniform,0.00788643774312957
6,0.1,400,149,tis,0.001503064058236396
6,0.1,400,149,uniform,0.013522299370093756
6,0.1,400,150,tis,0.0022989745430970683
6,0.1,400,150,uniform,0.004796978254352949
6,0.1,400,151,tis,0.008464007560075414
6,0.1,400,151,uniform,0.014848678834654528
6,0.1,400,152,tis,0.013013151008340038
6,0.1,400,152,uniform,0.006664554897157058
6,0.1,400,153,tis,0.010638459940562407
6,0.1,400,153,uniform,0.010283410162024118
6,0.1,400,154,tis,0.00352433038785596
6,0.1,400,154,uniform,0.013229229525052608
6,0.1,400,155,tis,0.010716547610262335
6,0.1,400,155,uniform,0.015849514589961266
6,0.1,400,156,tis,0.007022792645807797
6,0.1,400,156,uniform,0.009211713583884713
6,0.1,400,157,tis,0.03275888487386403
6,0.1,400,157,uniform,0.007351184119414406
