horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,9.142463702718697e-05
6,0.1,400,0,uniform,0.0009332443854844384
6,0.1,400,1,tis,5.9886852721110223e-05
6,0.1,400,1,uniform,0.0008108918661360591
6,0.1,400,2,tis,9.752312459259428e-05
6,0.1,400,2,uniform,0.0013692179072239338
6,0.1,400,3,tis,0.00010987256012988893
6,0.1,400,3,uniform,0.0009023413644917184
6,0.1,400,4,tis,7.324836705946704e-05
6,0.1,400,4,uniform,0.000977766787751226
6,0.1,400,5,tis,3.961782072055167e-05
6,0.1,400,5,uniform,0.0007235176012061684
6,0.1,400,6,tis,8.17245447782582e-05
6,0.1,400,6,uniform,0.0005565552973246733
6,0.1,400,7,tis,5.869577637783799e-05
6,0.1,400,7,uniform,0.0011990363585633332
6,0.1,400,8,tis,0.00012084792243538211
6,0.1,400,8,uniform,0.0008768020148196972
6,0.1,400,9,tis,9.683117884613207e-05
6,0.1,400,9,uniform,0.000881622315626201
6,0.1,400,10,tis,0.00011721613029649986
6,0.1,400,10,uniform,0.0008701087211413389
6,0.1,400,11,tis,8.396581595571004e-05
6,0.1,400,11,uniform,0.0009845707023733031
6,0.1,400,12,tis,5.742366376826906e-05
6,0.1,400,12,uniform,0.0011251831633664255
6,0.1,400,13,tis,9.391052636289412e-05
6,0.1,400,13,uniform,0.0008764466918618105
6,0.1,400,14,tis,7.646732001805453e-05
6,0.1,400,14,uniform,0.0007836327184544873
6,0.1,400,15,tis,0.00010877760989009014
6,0.1,400,15,uniform,0.0012062492961876197
6,0.1,400,16,tis,0.00013821833857551502
6,0.1,400,16,uniform,0.0009198107968592846
6,0.1,400,17,tis,8.574851091925305e-05
6,0.1,400,17,uniform,0.0024062738440081026
6,0.1,400,18,tis,6.340367165910976e-05
6,0.1,400,18,uniform,0.0019611258468100047
6,0.1,400,19,tis,0.00010741271150000954
6,0.1,400,19,uniform,0.0023072675055237977
6,0.1,400,20,tis,0.00028987076990326035
6,0.1,400,20,uniform,0.0010971545631630341
6,0.1,400,21,tis,4.8955064994055244e-05
6,0.1,400,21,uniform,0.0007459429923647197
6,0.1,400,22,tis,6.465674400890377e-05
6,0.1,400,22,uniform,0.0006183545603368576
6,0.1,400,23,tis,8.336515348641521e-05
6,0.1,400,23,uniform,0.0013410414528297024
6,0.1,400,24,tis,6.0025950287768135e-05
6,0.1,400,24,uniform,0.0005193086422118167
6,0.1,400,25,tis,0.00011806951145744088
6,0.1,400,25,uniform,0.0007444204919090594
6,0.1,400,26,tis,6.843315929818292e-05
6,0.1,400,26,uniform,0.0009530803167725524
6,0.1,400,27,tis,5.931777972644739e-05
6,0.1,400,27,uniform,0.0011828832190333757
6,0.1,400,28,tis,5.3432117165937555e-05
6,0.1,400,28,uniform,0.0007517441553420334
6,0.1,400,29,tis,7.467587216972071e-05
6,0.1,400,29,uniform,0.0008661682178000203
6,0.1,400,30,tis,6.79666792501767e-05
6,0.1,400,30,uniform,0.0007250273453205145
6,0.1,400,31,tis,8.929085463447386e-05
6,0.1,400,31,uniform,0.0008850334057338166
6,0.1,400,32,tis,5.05674794418824e-05
6,0.1,400,32,uniform,0.0011424599851808665
6,0.1,400,33,tis,6.748043856427073e-05
6,0.1,400,33,uniform,0.0007808872453797187
6,0.1,400,34,tis,0.00012656218258019192
6,0.1,400,34,uniform,0.0014114170296167915
6,0.1,400,35,tis,9.082398120274393e-05
6,0.1,400,35,uniform,0.0018421509034427953
6,0.1,400,36,tis,0.00014370231564667872
6,0.1,400,36,uniform,0.000542136683978075
6,0.1,400,37,tis,4.944296569041562e-05
6,0.1,400,37,uniform,0.0009419754094306476
6,0.1,400,38,tis,4.9499034595423526e-05
6,0.1,400,38,uniform,0.0015212749678818333
6,0.1,400,39,tis,0.00013914466361097293
6,0.1,400,39,uniform,0.0012130532475394865
6,0.1,400,40,tis,3.517075883146593e-05
6,0.1,400,40,uniform,0.0009063371012666709
6,0.1,400,41,tis,9.259999054119114e-05
6,0.1,400,41,uniform,0.0007996632928891589
6,0.1,400,42,tis,8.624809644540195e-05
6,0.1,400,42,uniform,0.000644664017323904
6,0.1,400,43,tis,6.812950072160739e-05
6,0.1,400,43,uniform,0.001367138577953146
6,0.1,400,44,tis,7.345609241450905e-05
6,0.1,400,44,uniform,0.00050687602658379
6,0.1,400,45,tis,9.771942945773428e-05
6,0.1,400,45,uniform,0.00064884020448915
6,0.1,400,46,tis,0.00014316897762062114
6,0.1,400,46,uniform,0.0006749669662674863
6,0.1,400,47,tis,3.3473674512881946e-05
6,0.1,400,47,uniform,0.0008908921740155271
6,0.1,400,48,tis,6.591480895535147e-05
6,0.1,400,48,uniform,0.0006996596282959475
6,0.1,400,49,tis,0.00011464056919606647
6,0.1,400,49,uniform,0.0010658769078371133
6,0.1,400,50,tis,3.8027357366463814e-05
6,0.1,400,50,uniform,0.0014630728128348894
6,0.1,400,51,tis,6.404431633538411e-05
6,0.1,400,51,uniform,0.00047290714359305054
6,0.1,400,52,tis,6.55806912332428e-05
6,0.1,400,52,uniform,0.0013579278959274493
6,0.1,400,53,tis,9.105188575571082e-05
6,0.1,400,53,uniform,0.0007561952926449042
6,0.1,400,54,tis,8.14118744966126e-05
6,0.1,400,54,uniform,0.0013562537378022188
6,0.1,400,55,tis,0.00015322772490314118
6,0.1,400,55,uniform,0.0006617749168833438
6,0.1,400,56,tis,5.8387597180687674e-05
6,0.1,400,56,uniform,0.0010746853093060989
6,0.1,400,57,tis,5.214470181382463e-05
6,0.1,400,57,uniform,0.0010959665706846064
6,0.1,400,58,tis,5.751514580083836e-05
6,0.1,400,58,uniform,0.0008463011896348563
6,0.1,400,59,tis,4.716097780515931e-05
6,0.1,400,59,uniform,0.0010930853079973652
6,0.1,400,60,tis,9.167656380432898e-05
6,0.1,400,60,uniform,0.0009785411409511946
6,0.1,400,61,tis,4.0988697360512795e-05
6,0.1,400,61,uniform,0.001364751849602547
6,0.1,400,62,tis,0.00010815051885659083
6,0.1,400,62,uniform,0.0008081701179300062
6,0.1,400,63,tis,7.55480829290899e-05
6,0.1,400,63,uniform,0.0007626901675841436
6,0.1,400,64,tis,8.93828894792598e-05
6,0.1,400,64,uniform,0.0007291994963968152
6,0.1,400,65,tis,8.729768926167049e-05
6,0.1,400,65,uniform,0.0014600985404519629
6,0.1,400,66,tis,7.274492812241046e-05
6,0.1,400,66,uniform,0.0011073815577784763
6,0.1,400,67,tis,4.8163744949955265e-05
6,0.1,400,67,uniform,0.0013811623295298078
6,0.1,400,68,tis,6.722152329628394e-05
6,0.1,400,68,uniform,0.0012262118290481564
6,0.1,400,69,tis,8.266381298933615e-05
6,0.1,400,69,uniform,0.0010102196551057684
6,0.1,400,70,tis,8.970373754649377e-05
6,0.1,400,70,uniform,0.0015245036557618287
6,0.1,400,71,tis,4.357243921905565e-05
6,0.1,400,71,uniform,0.0010126791340339572
6,0.1,400,72,tis,0.0001310500561898626
6,0.1,400,72,uniform,0.0009835547524218696
6,0.1,400,73,tis,9.067995620210043e-05
6,0.1,400,73,uniform,0.000808588927537329
6,0.1,400,74,tis,8.438473356759173e-05
