horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.0004766611499265922
6,0.1,400,0,uniform,0.0036710541795445194
6,0.1,400,1,tis,0.0006411516007611402
6,0.1,400,1,uniform,0.008862934456240052
6,0.1,400,2,tis,0.0005944970952037967
6,0.1,400,2,uniform,0.002934489579870415
6,0.1,400,3,tis,0.0007100106984743011
6,0.1,400,3,uniform,0.006091936439841095
6,0.1,400,4,tis,0.00041262900013562905
6,0.1,400,4,uniform,0.005011698269137514
6,0.1,400,5,tis,0.0006411612173482888
6,0.1,400,5,uniform,0.007285646450762855
6,0.1,400,6,tis,0.0006991879458122028
6,0.1,400,6,uniform,0.004155032061954761
6,0.1,400,7,tis,0.00030084173545622044
6,0.1,400,7,uniform,0.001850684158161106
6,0.1,400,8,tis,0.0003778124954054924
6,0.1,400,8,uniform,0.004197792033472798
6,0.1,400,9,tis,0.0006867415328300891
6,0.1,400,9,uniform,0.00445012609950562
6,0.1,400,10,tis,0.0003671286488201165
6,0.1,400,10,uniform,0.004204716553593616
6,0.1,400,11,tis,0.0007238855507731643
6,0.1,400,11,uniform,0.0035775330991362725
6,0.1,400,12,tis,0.00045669088635595786
6,0.1,400,12,uniform,0.002462297190756394
6,0.1,400,13,tis,0.0005985215753923061
6,0.1,400,13,uniform,0.004910916156988314
6,0.1,400,14,tis,0.0009488073061049235
6,0.1,400,14,uniform,0.0019489104574412493
6,0.1,400,15,tis,0.0003646314846060802
6,0.1,400,15,uniform,0.006379296046702344
6,0.1,400,16,tis,0.0005595806951441666
6,0.1,400,16,uniform,0.0013507587532627819
6,0.1,400,17,tis,0.0005601570395898805
6,0.1,400,17,uniform,0.0031064125617292293
6,0.1,400,18,tis,0.0005797928793072293
6,0.1,400,18,uniform,0.004080707526454024
6,0.1,400,19,tis,0.0006981769869138445
6,0.1,400,19,uniform,0.004143381766738146
6,0.1,400,20,tis,0.0006134974078255653
6,0.1,400,20,uniform,0.004886714054068722
6,0.1,400,21,tis,0.0005226232826851187
6,0.1,400,21,uniform,0.003802772786381621
6,0.1,400,22,tis,0.0007317448951576278
6,0.1,400,22,uniform,0.00410296418029757
6,0.1,400,23,tis,0.0007490733984302665
6,0.1,400,23,uniform,0.006333351965508488
6,0.1,400,24,tis,0.0004057626578657559
6,0.1,400,24,uniform,0.004764464168183979
6,0.1,400,25,tis,0.0004432009608667233
6,0.1,400,25,uniform,0.004562985845203725
6,0.1,400,26,tis,0.0006660889900998286
6,0.1,400,26,uniform,0.0028796492472580606
6,0.1,400,27,tis,0.0007307679146234846
6,0.1,400,27,uniform,0.006660853309713346
6,0.1,400,28,tis,0.0005351964965140762
6,0.1,400,28,uniform,0.005009701194604424
6,0.1,400,29,tis,0.0006028236566273156
6,0.1,400,29,uniform,0.002534705136958539
6,0.1,400,30,tis,0.0006451851474916005
6,0.1,400,30,uniform,0.003487985802511102
6,0.1,400,31,tis,0.0004693112547277187
6,0.1,400,31,uniform,0.003929872080301804
6,0.1,400,32,tis,0.0004207104193126875
6,0.1,400,32,uniform,0.003932894248314627
6,0.1,400,33,tis,0.0008603150414149819
6,0.1,400,33,uniform,0.0025259306753923584
6,0.1,400,34,tis,0.00045816412277738315
6,0.1,400,34,uniform,0.004938020882167715
6,0.1,400,35,tis,0.000988272571740604
6,0.1,400,35,uniform,0.0051720448071500775
6,0.1,400,36,tis,0.0007696339545292443
6,0.1,400,36,uniform,0.005074161667403492
6,0.1,400,37,tis,0.0005070517664024489
6,0.1,400,37,uniform,0.003658350121503214
6,0.1,400,38,tis,0.0010297568697886425
6,0.1,400,38,uniform,0.006822994464075245
6,0.1,400,39,tis,0.0005836569229229634
6,0.1,400,39,uniform,0.0051085340527133715
6,0.1,400,40,tis,0.00039172988787190024
6,0.1,400,40,uniform,0.002965627281980887
6,0.1,400,41,tis,0.00043828574285162934
6,0.1,400,41,uniform,0.0021412925266429124
6,0.1,400,42,tis,0.0005496372843960319
6,0.1,400,42,uniform,0.003162088357362281
6,0.1,400,43,tis,0.000561169021133438
6,0.1,400,43,uniform,0.0038098528003474514
6,0.1,400,44,tis,0.003317067965897701
6,0.1,400,44,uniform,0.004630591746284138
6,0.1,400,45,tis,0.0005486238911129843
6,0.1,400,45,uniform,0.0025876365790721352
6,0.1,400,46,tis,0.0005284866461850327
6,0.1,400,46,uniform,0.004726123477517714
6,0.1,400,47,tis,0.0008068275767205355
6,0.1,400,47,uniform,0.004242863266976324
6,0.1,400,48,tis,0.0007573420691282415
6,0.1,400,48,uniform,0.0036758747682905718
6,0.1,400,49,tis,0.0006830092700176703
6,0.1,400,49,uniform,0.005497274814191167
6,0.1,400,50,tis,0.0020008815685675905
6,0.1,400,50,uniform,0.004690712726698551
6,0.1,400,51,tis,0.0006170677922991284
6,0.1,400,51,uniform,0.004426510200528471
6,0.1,400,52,tis,0.0003981382724686267
6,0.1,400,52,uniform,0.0038964474979048657
6,0.1,400,53,tis,0.0004443602404368093
6,0.1,400,53,uniform,0.0025875827312092843
6,0.1,400,54,tis,0.000679959286397772
6,0.1,400,54,uniform,0.0025430271183073732
6,0.1,400,55,tis,0.000783473831960728
6,0.1,400,55,uniform,0.007998255011252729
6,0.1,400,56,tis,0.0004891988375735027
6,0.1,400,56,uniform,0.004806340850200186
6,0.1,400,57,tis,0.003448050589359619
6,0.1,400,57,uniform,0.004494527917352464
6,0.1,400,58,tis,0.0007690688889965361
6,0.1,400,58,uniform,0.004162801172438641
6,0.1,400,59,tis,0.0005559186677578207
6,0.1,400,59,uniform,0.004950463511339954
6,0.1,400,60,tis,0.0007984419736773286
6,0.1,400,60,uniform,0.006971211629123105
6,0.1,400,61,tis,0.0003699943841415371
6,0.1,400,61,uniform,0.004855346857025876
6,0.1,400,62,tis,0.0007527539526050965
6,0.1,400,62,uniform,0.002364765975096004
6,0.1,400,63,tis,0.0006747518514622902
6,0.1,400,63,uniform,0.004879555664400212
6,0.1,400,64,tis,0.0006563665121958297
6,0.1,400,64,uniform,0.0030961059307241814
6,0.1,400,65,tis,0.000696351939006345
6,0.1,400,65,uniform,0.001978956526113106
6,0.1,400,66,tis,0.0003532611834407172
6,0.1,400,66,uniform,0.003141096936453051
6,0.1,400,67,tis,0.0005358966968069457
6,0.1,400,67,uniform,0.006308685887933432
6,0.1,400,68,tis,0.0006070530051162908
6,0.1,400,68,uniform,0.002513566721250698
6,0.1,400,69,tis,0.0004701605898817518
6,0.1,400,69,uniform,0.002204098015493906
6,0.1,400,70,tis,0.0006107181929098484
6,0.1,400,70,uniform,0.005729940390628401
6,0.1,400,71,tis,0.000246466319564521
6,0.1,400,71,uniform,0.006384530567051518
6,0.1,400,72,tis,0.00037211668672429887
6,0.1,400,72,uniform,0.004607436212944833
6,0.1,400,73,tis,0.0005591938717405733
6,0.1,400,73,uniform,0.003200214033055543
6,0.1,400,74,tis,0.0012951826135158986
6,0.1,400,74,uniform,0.007853820066953303
6,0.1,400,75,tis,0.00042687656196871253
6,0.1,400,75,uniform,0.002752998012845563
6,0.1,400,76,tis,0.003774427498132102
6,0.1,400,76,uniform,0.002337765955979408
6,0.1,400,77,tis,0.0004517197217856413
6,0.1,400,77,uniform,0.004413561853938021
6,0.1,400,78,tis,0.0004904530356151608
6,0.1,400,78,uniform,0.004259342681322787
6,0.1,400,79,tis,0.0005445808893491141
6,0.1,400,79,uniform,0.0033701994967461056
6,0.1,400,80,tis,0.000392514310868988
6,0.1,400,80,uniform,0.00361522994708611
6,0.1,400,81,tis,0.0002716916322824833
6,0.1,400,81,uniform,0.003100986542819421
6,0.1,400,82,tis,0.0006477989061098172
6,0.1,400,82,uniform,0.0037049333528950817
6,0.1,400,83,tis,0.000645674140805389
6,0.1,400,83,uniform,0.005823994509243078
6,0.1,400,84,tis,0.0006073353024338565
6,0.1,400,84,uniform,0.003654204777486434
6,0.1,400,85,tis,0.00401838255543764
6,0.1,400,85,uniform,0.003710781225790658
6,0.1,400,86,tis,0.0005463336359331963
6,0.1,400,86,uniform,0.005828361077666033
6,0.1,400,87,tis,0.00033751648862731965
6,0.1,400,87,uniform,0.006626439151164142
6,0.1,400,88,tis,0.0030271587231523274
6,0.1,400,88,uniform,0.0053730371027659535
6,0.1,400,89,tis,0.0045391770819473935
6,0.1,400,89,uniform,0.00485494192869423
6,0.1,400,90,tis,0.0011829847090437317
6,0.1,400,90,uniform,0.003236895980718295
6,0.1,400,91,tis,0.0005620947733570998
6,0.1,400,91,uniform,0.0037699724471618335
6,0.1,400,92,tis,0.0019983694260359
6,0.1,400,92,uniform,0.003594058751359171
6,0.1,400,93,tis,0.0022602712462677383
6,0.1,400,93,uniform,0.0035085087055109804
6,0.1,400,94,tis,0.0006855299414969749
6,0.1,400,94,uniform,0.0047024567073787795
6,0.1,400,95,tis,0.0009220255604018386
6,0.1,400,95,uniform,0.00529514140416447
6,0.1,400,96,tis,0.0005688440509779958
6,0.1,400,96,uniform,0.00594058861437852
6,0.1,400,97,tis,0.0005239596360531319
6,0.1,400,97,uniform,0.004458919830908585
6,0.1,400,98,tis,0.0004881303220603989
6,0.1,400,98,uniform,0.0025976857145260913
6,0.1,400,99,tis,0.0006932954569310784
6,0.1,400,99,uniform,0.0047538290299915815
6,0.1,400,100,tis,0.002394472485068352
6,0.1,400,100,uniform,0.00580349960165025
6,0.1,400,101,tis,0.00046533450201636075
6,0.1,400,101,uniform,0.0039372159444564705
6,0.1,400,102,tis,0.0007990851240534866
6,0.1,400,102,uniform,0.0029618809544829003
6,0.1,400,103,tis,0.0004096467974136429
6,0.1,400,103,uniform,0.00595164252245645
6,0.1,400,104,tis,0.0009609288168869159
6,0.1,400,104,uniform,0.006243617642610279
6,0.1,400,105,tis,0.00045679801669652563
