horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.0008821184061990638
6,0.1,400,0,uniform,0.008018831471273618
6,0.1,400,1,tis,0.0031601189162189258
6,0.1,400,1,uniform,0.003049265818146741
6,0.1,400,2,tis,0.00041985171518389616
6,0.1,400,2,uniform,0.00409422952453915
6,0.1,400,3,tis,0.0005783570876671932
6,0.1,400,3,uniform,0.00585887637848462
6,0.1,400,4,tis,0.0005528259523844903
6,0.1,400,4,uniform,0.009236085806295263
6,0.1,400,5,tis,0.0009819969673229602
6,0.1,400,5,uniform,0.004671893129430393
6,0.1,400,6,tis,0.0019194826619601795
6,0.1,400,6,uniform,0.005312387555389863
6,0.1,400,7,tis,0.002924903670767679
6,0.1,400,7,uniform,0.008395358579718196
6,0.1,400,8,tis,0.0017390140244502243
6,0.1,400,8,uniform,0.0053167682781564305
6,0.1,400,9,tis,0.001931167058854213
6,0.1,400,9,uniform,0.004834885061363084
6,0.1,400,10,tis,0.002580723689124918
6,0.1,400,10,uniform,0.005697895320933851
6,0.1,400,11,tis,0.0008606434598587362
6,0.1,400,11,uniform,0.009911324325787138
6,0.1,400,12,tis,0.0006681265788568736
6,0.1,400,12,uniform,0.0032316341043926214
6,0.1,400,13,tis,0.0005658736829905692
6,0.1,400,13,uniform,0.008489436024633139
6,0.1,400,14,tis,0.00027920371221309986
6,0.1,400,14,uniform,0.013038540728494254
6,0.1,400,15,tis,0.0007533517731767796
6,0.1,400,15,uniform,0.00421102708548275
6,0.1,400,16,tis,0.0009760935939399615
6,0.1,400,16,uniform,0.005593449690689941
6,0.1,400,17,tis,0.000977384916787792
6,0.1,400,17,uniform,0.014003145586549318
6,0.1,400,18,tis,0.0006841675588789518
6,0.1,400,18,uniform,0.006563858934702282
6,0.1,400,19,tis,0.0025390333371275472
6,0.1,400,19,uniform,0.005405883032340568
6,0.1,400,20,tis,0.000575130655007216
6,0.1,400,20,uniform,0.006889163830518891
6,0.1,400,21,tis,0.0005548820704348379
6,0.1,400,21,uniform,0.012659585891100878
6,0.1,400,22,tis,0.0006218158196460837
6,0.1,400,22,uniform,0.006935402852240339
6,0.1,400,23,tis,0.0006602580267252771
6,0.1,400,23,uniform,0.007823087156710764
6,0.1,400,24,tis,0.0005255444135428318
6,0.1,400,24,uniform,0.007450915053305145
6,0.1,400,25,tis,0.0014220065625697783
6,0.1,400,25,uniform,0.004134142322032421
6,0.1,400,26,tis,0.0007418440417052743
6,0.1,400,26,uniform,0.007907909722700878
6,0.1,400,27,tis,0.00028237540668112917
6,0.1,400,27,uniform,0.006810492244142453
6,0.1,400,28,tis,0.0003634592326314829
6,0.1,400,28,uniform,0.00824277583048328
6,0.1,400,29,tis,0.001427153172589799
6,0.1,400,29,uniform,0.005627046819827466
6,0.1,400,30,tis,0.002200789748808232
6,0.1,400,30,uniform,0.009754436269279626
6,0.1,400,31,tis,0.0016709185661816345
6,0.1,400,31,uniform,0.005758475884622146
6,0.1,400,32,tis,0.0010186270959691062
6,0.1,400,32,uniform,0.009609490440208843
6,0.1,400,33,tis,0.0008995194411955762
6,0.1,400,33,uniform,0.0031791157531807996
6,0.1,400,34,tis,0.0004775616759701324
6,0.1,400,34,uniform,0.0034562947833390646
6,0.1,400,35,tis,0.0008197178837628778
6,0.1,400,35,uniform,0.006385391849498139
6,0.1,400,36,tis,0.001012914674618483
6,0.1,400,36,uniform,0.00785938723497255
6,0.1,400,37,tis,0.0006959206672161789
6,0.1,400,37,uniform,0.007326632213395029
6,0.1,400,38,tis,0.0006095663375391137
6,0.1,400,38,uniform,0.004225011291582314
6,0.1,400,39,tis,0.0003741219462657642
6,0.1,400,39,uniform,0.009737213133644536
6,0.1,400,40,tis,0.0002772593048636688
6,0.1,400,40,uniform,0.007373642587513303
6,0.1,400,41,tis,0.000631536380714837
6,0.1,400,41,uniform,0.013478075938631703
6,0.1,400,42,tis,0.0006662824109411708
6,0.1,400,42,uniform,0.0073399585886557
6,0.1,400,43,tis,0.0003299486557175073
6,0.1,400,43,uniform,0.0021968341305462803
6,0.1,400,44,tis,0.0005764200745973746
6,0.1,400,44,uniform,0.009501127486431747
6,0.1,400,45,tis,0.00046843033104645326
6,0.1,400,45,uniform,0.004207205403373065
6,0.1,400,46,tis,0.0008974139990199394
6,0.1,400,46,uniform,0.008480210594264008
6,0.1,400,47,tis,0.00029432150797600713
6,0.1,400,47,uniform,0.006577354456163439
6,0.1,400,48,tis,0.0007172297410090078
6,0.1,400,48,uniform,0.004062186708648839
6,0.1,400,49,tis,0.0022980924721911575
6,0.1,400,49,uniform,0.012712716476949113
6,0.1,400,50,tis,0.0003245813557539388
6,0.1,400,50,uniform,0.005200954011124088
6,0.1,400,51,tis,0.0011661132067498437
6,0.1,400,51,uniform,0.014341035015881182
6,0.1,400,52,tis,0.0007153285977941427
6,0.1,400,52,uniform,0.007270365929427373
6,0.1,400,53,tis,0.0007876586585157953
6,0.1,400,53,uniform,0.0071564168073888
6,0.1,400,54,tis,0.00033387280378097025
6,0.1,400,54,uniform,0.006177628836410552
6,0.1,400,55,tis,0.00044418424595103414
6,0.1,400,55,uniform,0.00920443377583783
6,0.1,400,56,tis,0.0005265305931414048
6,0.1,400,56,uniform,0.006388685660702377
6,0.1,400,57,tis,0.0007007187374440501
6,0.1,400,57,uniform,0.003224480658875
6,0.1,400,58,tis,0.0007096746772253263
6,0.1,400,58,uniform,0.00573472058589141
6,0.1,400,59,tis,0.0025494657100652903
6,0.1,400,59,uniform,0.004378824894574371
6,0.1,400,60,tis,0.0006208337062331659
6,0.1,400,60,uniform,0.010805979080759278
6,0.1,400,61,tis,0.00098426112627605
6,0.1,400,61,uniform,0.0036639672488209714
6,0.1,400,62,tis,0.001022620276247653
6,0.1,400,62,uniform,0.003814260843713203
6,0.1,400,63,tis,0.00043354651408537755
6,0.1,400,63,uniform,0.004730428359038701
6,0.1,400,64,tis,0.0010200396368340943
6,0.1,400,64,uniform,0.005328451620608921
6,0.1,400,65,tis,0.0006694579782869829
6,0.1,400,65,uniform,0.008508471062751483
6,0.1,400,66,tis,0.0020383950558181788
6,0.1,400,66,uniform,0.006853730377773737
6,0.1,400,67,tis,0.0005503498553310671
6,0.1,400,67,uniform,0.009985822610058035
6,0.1,400,68,tis,0.0009622527079021666
6,0.1,400,68,uniform,0.01189539286998021
6,0.1,400,69,tis,0.001848433006814937
6,0.1,400,69,uniform,0.008024322926790943
6,0.1,400,70,tis,0.0004124744495049173
6,0.1,400,70,uniform,0.00914209443246348
6,0.1,400,71,tis,0.0005184762456635643
6,0.1,400,71,uniform,0.004555631565562243
6,0.1,400,72,tis,0.001019210786464789
6,0.1,400,72,uniform,0.0038786299923431076
6,0.1,400,73,tis,0.0007322009510911126
6,0.1,400,73,uniform,0.006944438379910158
6,0.1,400,74,tis,0.000914503175565441
6,0.1,400,74,uniform,0.012062036496075
6,0.1,400,75,tis,0.0009691206685191817
6,0.1,400,75,uniform,0.00681316030474302
6,0.1,400,76,tis,0.0006625614385035807
6,0.1,400,76,uniform,0.004368525167746629
6,0.1,400,77,tis,0.0005867918296392116
6,0.1,400,77,uniform,0.006609478274542608
6,0.1,400,78,tis,0.0005002098643673781
6,0.1,400,78,uniform,0.008071211366454539
6,0.1,400,79,tis,0.0009462852988052021
6,0.1,400,79,uniform,0.008238423870650803
6,0.1,400,80,tis,0.000607553430613745
6,0.1,400,80,uniform,0.010744253955569015
6,0.1,400,81,tis,0.0003944777075030909
6,0.1,400,81,uniform,0.008520481870690037
6,0.1,400,82,tis,0.0008461991329936444
6,0.1,400,82,uniform,0.008797797673704817
6,0.1,400,83,tis,0.00044788534084488343
6,0.1,400,83,uniform,0.007754683757992748
6,0.1,400,84,tis,0.001122951827792122
6,0.1,400,84,uniform,0.004938548397333805
6,0.1,400,85,tis,0.0015420522997359942
6,0.1,400,85,uniform,0.007588803216404283
6,0.1,400,86,tis,0.00046703345256217014
6,0.1,400,86,uniform,0.002717928561099572
6,0.1,400,87,tis,0.0012881824144904224
6,0.1,400,87,uniform,0.013042990336955957
6,0.1,400,88,tis,0.0010661213974150628
6,0.1,400,88,uniform,0.009541760021853864
6,0.1,400,89,tis,0.00206628996496355
6,0.1,400,89,uniform,0.0040871339738233975
6,0.1,400,90,tis,0.0005824592514671714
6,0.1,400,90,uniform,0.0071235554289924945
6,0.1,400,91,tis,0.00034263019124787227
6,0.1,400,91,uniform,0.00729010466381959
6,0.1,400,92,tis,0.0005674873527317741
6,0.1,400,92,uniform,0.006144236667526672
6,0.1,400,93,tis,0.0004894710601352246
6,0.1,400,93,uniform,0.00826372988707815
6,0.1,400,94,tis,0.0007353604967037014
6,0.1,400,94,uniform,0.004813586152265215
6,0.1,400,95,tis,0.0017736460741495587
6,0.1,400,95,uniform,0.00578390451283009
6,0.1,400,96,tis,0.0006248032065900805
6,0.1,400,96,uniform,0.004640759351817308
6,0.1,400,97,tis,0.0009477184461567903
6,0.1,400,97,uniform,0.008777067806062097
6,0.1,400,98,tis,0.00038227589305954294
6,0.1,400,98,uniform,0.0040318893220863275
