horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.008655094270799812
6,0.1,400,0,uniform,0.01653737913030813
6,0.1,400,1,tis,0.0011775846269104736
6,0.1,400,1,uniform,0.008318515487574746
6,0.1,400,2,tis,0.001435455330442838
6,0.1,400,2,uniform,0.011638420270039206
6,0.1,400,3,tis,0.0015693320783927629
6,0.1,400,3,uniform,0.014727265600562683
6,0.1,400,4,tis,0.0024300758320570763
6,0.1,400,4,uniform,0.010328717837088768
6,0.1,400,5,tis,0.0015867879951761412
6,0.1,400,5,uniform,0.015151435280760005
6,0.1,400,6,tis,0.0005402471181012571
6,0.1,400,6,uniform,0.012794117296037931
6,0.1,400,7,tis,0.002819172657956894
6,0.1,400,7,uniform,0.015438098315213674
6,0.1,400,8,tis,0.029695252503981192
6,0.1,400,8,uniform,0.03651803871176602
6,0.1,400,9,tis,0.002269866638225506
6,0.1,400,9,uniform,0.017822497413331608
6,0.1,400,10,tis,0.0015623728974023868
6,0.1,400,10,uniform,0.01740896343459058
6,0.1,400,11,tis,0.0010205510398262072
6,0.1,400,11,uniform,0.025789352133998168
6,0.1,400,12,tis,0.0020734757958886267
6,0.1,400,12,uniform,0.01144712677765611
6,0.1,400,13,tis,0.03103214058278578
6,0.1,400,13,uniform,0.02056024504713902
6,0.1,400,14,tis,0.001664041111274624
6,0.1,400,14,uniform,0.01458736098187499
6,0.1,400,15,tis,0.026237156165316057
6,0.1,400,15,uniform,0.019072758037396012
6,0.1,400,16,tis,0.001693929113615804
6,0.1,400,16,uniform,0.020105269380793375
6,0.1,400,17,tis,0.0023228282343363007
6,0.1,400,17,uniform,0.02392860576528922
6,0.1,400,18,tis,0.002144031301135413
6,0.1,400,18,uniform,0.007396581625836946
6,0.1,400,19,tis,0.003159608227674275
6,0.1,400,19,uniform,0.027895808349188773
6,0.1,400,20,tis,0.0025379788881337347
6,0.1,400,20,uniform,0.016591443864696444
6,0.1,400,21,tis,0.0008465291053834018
6,0.1,400,21,uniform,0.01674658695919093
6,0.1,400,22,tis,0.0018438990837245466
6,0.1,400,22,uniform,0.015292268085808422
6,0.1,400,23,tis,0.0009672579312544543
6,0.1,400,23,uniform,0.018362501306732205
6,0.1,400,24,tis,0.0014617148590368913
6,0.1,400,24,uniform,0.014483927915222204
6,0.1,400,25,tis,0.0027037539349291755
6,0.1,400,25,uniform,0.012267305371357643
6,0.1,400,26,tis,0.0016147573113317183
6,0.1,400,26,uniform,0.012917028994914311
6,0.1,400,27,tis,0.018355792404324625
6,0.1,400,27,uniform,0.017130223036300418
6,0.1,400,28,tis,0.0021019680511084383
6,0.1,400,28,uniform,0.009440721895817296
6,0.1,400,29,tis,0.0008148930891235766
6,0.1,400,29,uniform,0.01590691569803385
6,0.1,400,30,tis,0.002232159996198884
6,0.1,400,30,uniform,0.017497703371209015
6,0.1,400,31,tis,0.004481102646251867
6,0.1,400,31,uniform,0.010785962593259249
6,0.1,400,32,tis,0.0020148867730954423
6,0.1,400,32,uniform,0.016380796593498805
6,0.1,400,33,tis,0.002533617550842927
6,0.1,400,33,uniform,0.017497472338940064
6,0.1,400,34,tis,0.0013373218869618864
6,0.1,400,34,uniform,0.010103286598910232
6,0.1,400,35,tis,0.0019385040189429917
6,0.1,400,35,uniform,0.019744988369996025
6,0.1,400,36,tis,0.0023037809376746238
6,0.1,400,36,uniform,0.015347633387745759
6,0.1,400,37,tis,0.00039522745993870616
6,0.1,400,37,uniform,0.015147789793598142
6,0.1,400,38,tis,0.0009479372519408817
6,0.1,400,38,uniform,0.01108574601268206
6,0.1,400,39,tis,0.001085143882445001
6,0.1,400,39,uniform,0.009303728336368106
6,0.1,400,40,tis,0.0019203020299596494
6,0.1,400,40,uniform,0.017440055331915498
6,0.1,400,41,tis,0.014034543735365971
6,0.1,400,41,uniform,0.007946834192883912
6,0.1,400,42,tis,0.022905278609573487
6,0.1,400,42,uniform,0.012015333713292331
6,0.1,400,43,tis,0.003249674499307913
6,0.1,400,43,uniform,0.016000200515263248
6,0.1,400,44,tis,0.00441648170578297
6,0.1,400,44,uniform,0.021312404606925305
6,0.1,400,45,tis,0.0012127992314091378
6,0.1,400,45,uniform,0.010071440695955074
6,0.1,400,46,tis,0.008541065960519815
6,0.1,400,46,uniform,0.01874359446447045
6,0.1,400,47,tis,0.0011975420215487964
6,0.1,400,47,uniform,0.016383528742688308
6,0.1,400,48,tis,0.011427485565789796
6,0.1,400,48,uniform,0.022814340373095033
