horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.004224657636926093
6,0.1,400,0,uniform,0.005520090816744108
6,0.1,400,1,tis,0.006444801668703664
6,0.1,400,1,uniform,0.006525178995970791
6,0.1,400,2,tis,0.00859047609588026
6,0.1,400,2,uniform,0.008723766695594267
6,0.1,400,3,tis,0.014053187762572417
6,0.1,400,3,uniform,0.006510217618366383
6,0.1,400,4,tis,0.005767541463753082
6,0.1,400,4,uniform,0.007772768032278713
6,0.1,400,5,tis,0.002162987866276914
6,0.1,400,5,uniform,0.0030073144375751116
6,0.1,400,6,tis,0.01508343149857976
6,0.1,400,6,uniform,0.011948926160940551
6,0.1,400,7,tis,0.0009853288288913424
6,0.1,400,7,uniform,0.008681478693710096
6,0.1,400,8,tis,0.010904505466000285
6,0.1,400,8,uniform,0.006474790464454818
6,0.1,400,9,tis,0.011171024349505983
6,0.1,400,9,uniform,0.008595103024255195
6,0.1,400,10,tis,0.0035363202465978003
6,0.1,400,10,uniform,0.010198926182578501
6,0.1,400,11,tis,0.0019926408434497497
6,0.1,400,11,uniform,0.006808428905187326
6,0.1,400,12,tis,0.008319759879255994
6,0.1,400,12,uniform,0.01698601442416662
6,0.1,400,13,tis,0.007589024070606115
6,0.1,400,13,uniform,0.006091169740612532
6,0.1,400,14,tis,0.005391995650113345
6,0.1,400,14,uniform,0.013954630987948337
6,0.1,400,15,tis,0.001932754821578223
6,0.1,400,15,uniform,0.006087639523208145
6,0.1,400,16,tis,0.004011600236835082
6,0.1,400,16,uniform,0.00723823222924632
6,0.1,400,17,tis,0.01183482513832638
6,0.1,400,17,uniform,0.004500439154009674
6,0.1,400,18,tis,0.005249209772810758
6,0.1,400,18,uniform,0.011170862322818154
6,0.1,400,19,tis,0.012961776248144798
6,0.1,400,19,uniform,0.0069672798222169844
6,0.1,400,20,tis,0.0060827012997766924
6,0.1,400,20,uniform,0.00580002126176816
6,0.1,400,21,tis,0.006499700612285567
6,0.1,400,21,uniform,0.005891954736255674
6,0.1,400,22,tis,0.005258632993764361
6,0.1,400,22,uniform,0.012095988080011428
6,0.1,400,23,tis,0.0028680362479665193
6,0.1,400,23,uniform,0.009742019350132903
6,0.1,400,24,tis,0.010299644737546335
6,0.1,400,24,uniform,0.0315871228699144
6,0.1,400,25,tis,0.005010727946659488
6,0.1,400,25,uniform,0.007731027653043433
6,0.1,400,26,tis,0.01852807351489522
6,0.1,400,26,uniform,0.00810255984764326
6,0.1,400,27,tis,0.009927149371150768
6,0.1,400,27,uniform,0.010897371199393097
6,0.1,400,28,tis,0.015253721331335308
6,0.1,400,28,uniform,0.009172278617302064
6,0.1,400,29,tis,0.01855998845461049
6,0.1,400,29,uniform,0.013730249431890827
6,0.1,400,30,tis,0.002709744869917821
6,0.1,400,30,uniform,0.008913706890718718
6,0.1,400,31,tis,0.017093385512297565
6,0.1,400,31,uniform,0.018084810387859553
6,0.1,400,32,tis,0.040752811659758324
6,0.1,400,32,uniform,0.009007629017242799
6,0.1,400,33,tis,0.028960182216509544
6,0.1,400,33,uniform,0.008081321485067417
6,0.1,400,34,tis,0.0023054722009245685
6,0.1,400,34,uniform,0.005834538856862542
6,0.1,400,35,tis,0.005110851111351227
6,0.1,400,35,uniform,0.005315926027092743
6,0.1,400,36,tis,0.0018491530085413099
6,0.1,400,36,uniform,0.008606897071273097
6,0.1,400,37,tis,0.006316524356160349
6,0.1,400,37,uniform,0.0071446432220520825
6,0.1,400,38,tis,0.004007333503337609
6,0.1,400,38,uniform,0.004657591984960094
6,0.1,400,39,tis,0.007755634553417667
6,0.1,400,39,uniform,0.006021957648483155
6,0.1,400,40,tis,0.009522846097353443
6,0.1,400,40,uniform,0.004833310023953165
6,0.1,400,41,tis,0.011892619574556305
