horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.0007006202121136735,5.6904138653786805e-05,4.459988568207211e-05,0.29005634695512783
6,0.1,400,0,uniform,300,0.0024154624419305,0.00020893980420903004,-0.0038533680804091106,1.0
6,0.1,400,1,tis,300,0.0002970350155453308,6.506290437504457e-05,0.007030125826756796,0.5792611197316032
6,0.1,400,1,uniform,300,0.0005127825870359813,9.039471579779338e-05,0.010640788994144605,1.0
6,0.1,400,2,tis,300,4.552698640568626e-05,4.0369733293445186e-06,0.00033395806084470794,0.24435106160655867
6,0.1,400,2,uniform,300,0.00018631793987861382,1.5119379378948967e-05,0.00011734084251622997,1.0
6,0.1,400,3,tis,300,0.000751251175378709,6.14855883714842e-05,0.0012832059353852542,0.2138506806229512
6,0.1,400,3,uniform,300,0.003512970700819374,0.0003264285608987609,0.001522319275082508,1.0
6,0.1,400,4,tis,300,0.0003277321508662645,2.6323594868000428e-05,-0.0012767818940018875,0.20660365176785853
6,0.1,400,4,uniform,300,0.001586284405246171,0.00012606615105441394,0.0017157184145648262,1.0
6,0.1,400,5,tis,300,0.00024329234500307658,2.027461292322341e-05,0.0013045795192211421,0.09981703001426435
6,0.1,400,5,uniform,300,0.0024373831295953093,0.00020356838992062785,0.006640037801191844,1.0
6,0.1,400,6,tis,300,0.0035886988206267154,0.00043646239078537344,0.004266197932521047,0.16648043757457354
6,0.1,400,6,uniform,300,0.02155627936176698,0.0016709932838548016,0.006347533123986199,1.0
6,0.1,400,7,tis,300,0.0003434019245352635,2.725504465270805e-05,0.0002871069394708063,0.09212425309376832
6,0.1,400,7,uniform,300,0.0037275952097623327,0.00031683206306430033,0.004858425362478745,1.0
6,0.1,400,8,tis,300,0.00046657392305588473,3.50218887518635e-05,0.0008170541854646363,0.2976518540655794
6,0.1,400,8,uniform,300,0.0015675155947561744,0.00013595862365404205,0.0027114397758877494,1.0
6,0.1,400,9,tis,300,0.0002707948831220593,2.129577695607755e-05,0.0007731579364788358,0.06967188023870893
6,0.1,400,9,uniform,300,0.0038867170254952964,0.0002976236228486885,0.0032955112813727976,1.0
6,0.1,400,10,tis,300,0.0004000340950663778,3.21028066947785e-05,-0.0007456368223765223,0.10220594462042464
6,0.1,400,10,uniform,300,0.003914000272215436,0.00033453424699079944,-0.0018842702161997113,1.0
6,0.1,400,11,tis,300,0.00042266666847709256,3.646976194596779e-05,0.0010793598967096588,0.15229961794049018
6,0.1,400,11,uniform,300,0.0027752313117571053,0.00023306327346729827,0.0023233336341414203,1.0
6,0.1,400,12,tis,300,0.00028265268047048323,2.1391391493894624e-05,2.228282590957124e-05,0.20942742774938441
6,0.1,400,12,uniform,300,0.0013496449987855713,0.00010910147506503558,0.0012611831843362268,1.0
6,0.1,400,13,tis,300,0.00022705562110835853,2.133096016330916e-05,0.0006724639546679408,0.07490987603543448
6,0.1,400,13,uniform,300,0.0030310505520120584,0.00024802713061660065,0.005470386158181723,1.0
6,0.1,400,14,tis,300,2.740111108870098e-05,2.1083868584488953e-06,-0.0001947459835847439,0.09053393720350493
6,0.1,400,14,uniform,300,0.00030266121119981704,2.648556044465686e-05,-0.000525567804696488,1.0
6,0.1,400,15,tis,300,0.0004068913649674644,3.435997578016625e-05,-0.0010330671143426503,0.19223666089084301
6,0.1,400,15,uniform,300,0.002116616898576427,0.00016913736182553308,-0.00027052165410514843,1.0
