horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.002785463201492549
6,0.1,400,0,uniform,0.012458639450665191
6,0.1,400,1,tis,0.007341979351379578
6,0.1,400,1,uniform,0.005662004285658553
6,0.1,400,2,tis,0.0006282262764407855
6,0.1,400,2,uniform,0.007485602273890977
6,0.1,400,3,tis,0.0035213516534997086
6,0.1,400,3,uniform,0.009373274033891479
6,0.1,400,4,tis,0.003439660718788762
6,0.1,400,4,uniform,0.015239838742801402
6,0.1,400,5,tis,0.0016813057801264627
6,0.1,400,5,uniform,0.007560246177095601
6,0.1,400,6,tis,0.004804307745432342
6,0.1,400,6,uniform,0.00846592953640044
6,0.1,400,7,tis,0.0053920393375874775
6,0.1,400,7,uniform,0.013014048406520835
6,0.1,400,8,tis,0.005679232323146609
6,0.1,400,8,uniform,0.008830516663691978
6,0.1,400,9,tis,0.006616520764857178
6,0.1,400,9,uniform,0.007234940658013657
6,0.1,400,10,tis,0.0034865650927799296
6,0.1,400,10,uniform,0.009502241297174967
6,0.1,400,11,tis,0.0026638805020615065
6,0.1,400,11,uniform,0.013840802062773785
6,0.1,400,12,tis,0.001428024034280472
6,0.1,400,12,uniform,0.005341086070047797
6,0.1,400,13,tis,0.0013345308584143541
6,0.1,400,13,uniform,0.012698823106100383
6,0.1,400,14,tis,0.000756781843292153
6,0.1,400,14,uniform,0.0217623385196816
6,0.1,400,15,tis,0.0012959836199750645
6,0.1,400,15,uniform,0.006754924275905268
6,0.1,400,16,tis,0.007130202130820112
6,0.1,400,16,uniform,0.010117565871658426
6,0.1,400,17,tis,0.009032719916491622
6,0.1,400,17,uniform,0.022756718772908652
6,0.1,400,18,tis,0.0018909395716422209
6,0.1,400,18,uniform,0.011639632774961061
6,0.1,400,19,tis,0.0040998638043840225
6,0.1,400,19,uniform,0.007492139849509885
6,0.1,400,20,tis,0.0008913991099789118
6,0.1,400,20,uniform,0.009624814971257105
6,0.1,400,21,tis,0.0016414602720772953
6,0.1,400,21,uniform,0.017953040015986674
6,0.1,400,22,tis,0.0016547799014057633
6,0.1,400,22,uniform,0.011735143614408748
6,0.1,400,23,tis,0.0018856044416379282
6,0.1,400,23,uniform,0.011038131316957077
6,0.1,400,24,tis,0.0011998276887338181
6,0.1,400,24,uniform,0.01015817098899406
6,0.1,400,25,tis,0.0029274782227006724
6,0.1,400,25,uniform,0.006386208893058633
6,0.1,400,26,tis,0.0013241754553158453
