horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.0004432278048911594,3.458753791497839e-05,0.0011097285895868224,0.042784946759809386
6,0.1,400,0,uniform,300,0.010359433362846004,0.0007882203995833059,0.0035548117283507484,1.0
6,0.1,400,1,tis,300,0.0009665807707557248,0.0005000840255897619,0.002678044857155308,0.2483467079126998
6,0.1,400,1,uniform,300,0.0038920619438833175,0.00034448490909693905,-0.006012901220627752,1.0
6,0.1,400,2,tis,300,6.757738975680163e-07,4.2121602253791164e-07,2.5475726376968193e-05,0.6847180585547442
6,0.1,400,2,uniform,300,9.869374542193226e-07,6.648879006757879e-07,1.0730515098053377e-05,1.0
6,0.1,400,3,tis,300,1.4320492309262215e-05,3.085535672627713e-06,5.607766345309943e-05,0.04799984890285818
6,0.1,400,3,uniform,300,0.0002983445289222461,5.212826429849783e-05,0.000735185536914121,1.0
6,0.1,400,4,tis,300,0.0028370182922317455,0.00028126770721849023,0.0014237664642758848,0.11602310242712333
6,0.1,400,4,uniform,300,0.02445218437434682,0.0021519431632688636,0.004358676302243504,1.0
6,0.1,400,5,tis,300,0.00013460421373049636,6.787677424855661e-05,5.799424910084561e-05,0.12177270939908194
6,0.1,400,5,uniform,300,0.0011053725780984483,9.219992164490107e-05,0.0002745358928800693,1.0
6,0.1,400,6,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,6,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,7,tis,300,0.0001770006771958062,1.4951442500115105e-05,0.00036662601185754706,0.03604568809686349
6,0.1,400,7,uniform,300,0.004910453553283892,0.0004517855356918904,0.0019820248324145034,1.0
6,0.1,400,8,tis,300,0.015659291356442204,0.0016187486374200698,-0.0013738321450270556,0.2500200654742981
6,0.1,400,8,uniform,300,0.06263213845151148,0.004930455894880914,0.015925231254712853,1.0
6,0.1,400,9,tis,300,0.019763246776681117,0.002388255572171958,0.00952798615159466,1.3450671909158838
6,0.1,400,9,uniform,300,0.01469312976344618,0.001388211974253151,-0.002867197272509547,1.0
