horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.009083979987985
6,0.1,400,0,uniform,0.018628099507716888
6,0.1,400,1,tis,0.0015148971065932488
6,0.1,400,1,uniform,0.00982478696406412
6,0.1,400,2,tis,0.002193125788888054
6,0.1,400,2,uniform,0.013960518998963913
6,0.1,400,3,tis,0.00358276109850634
6,0.1,400,3,uniform,0.017264620745179444
6,0.1,400,4,tis,0.002927312425088277
6,0.1,400,4,uniform,0.012450056244634527
6,0.1,400,5,tis,0.0027118295089964546
6,0.1,400,5,uniform,0.016637504574267218
6,0.1,400,6,tis,0.0010010412010976384
6,0.1,400,6,uniform,0.01766780647482734
6,0.1,400,7,tis,0.0033436228832332284
6,0.1,400,7,uniform,0.017307248806895287
6,0.1,400,8,tis,0.03079305300012198
6,0.1,400,8,uniform,0.03749819040822774
6,0.1,400,9,tis,0.004445981554479818
6,0.1,400,9,uniform,0.020212018036971445
6,0.1,400,10,tis,0.004484057027409438
6,0.1,400,10,uniform,0.02199041489648045
6,0.1,400,11,tis,0.001671332122173827
6,0.1,400,11,uniform,0.027088879726888348
6,0.1,400,12,tis,0.002977358344488798
6,0.1,400,12,uniform,0.013752772548171768
6,0.1,400,13,tis,0.03099779985501325
6,0.1,400,13,uniform,0.021983658394806673
6,0.1,400,14,tis,0.001942980674621032
6,0.1,400,14,uniform,0.020240067653421973
6,0.1,400,15,tis,0.026917211292859535
6,0.1,400,15,uniform,0.02106589568096809
6,0.1,400,16,tis,0.0019011746718608164
6,0.1,400,16,uniform,0.02158091465060964
6,0.1,400,17,tis,0.004903660514389632
6,0.1,400,17,uniform,0.027483715021758844
6,0.1,400,18,tis,0.0023338146316670264
6,0.1,400,18,uniform,0.009297648104322853
6,0.1,400,19,tis,0.0031931739334088226
6,0.1,400,19,uniform,0.028877964472829615
6,0.1,400,20,tis,0.00488676219683935
6,0.1,400,20,uniform,0.018544494221291872
6,0.1,400,21,tis,0.0009998087359553828
6,0.1,400,21,uniform,0.016764080912144028
6,0.1,400,22,tis,0.00352431094691684
6,0.1,400,22,uniform,0.01818079017453889
6,0.1,400,23,tis,0.0013891876999067225
6,0.1,400,23,uniform,0.018877561704293465
6,0.1,400,24,tis,0.0019210318445901907
6,0.1,400,24,uniform,0.01519697991563682
6,0.1,400,25,tis,0.003653315744774116
6,0.1,400,25,uniform,0.01606897096753518
6,0.1,400,26,tis,0.0027323612166220137
6,0.1,400,26,uniform,0.013764923151452965
6,0.1,400,27,tis,0.019393897080698004
6,0.1,400,27,uniform,0.020824978768883822
6,0.1,400,28,tis,0.0026278083371019385
6,0.1,400,28,uniform,0.010135520305567367
6,0.1,400,29,tis,0.001211048715432713
6,0.1,400,29,uniform,0.0174024404499845
6,0.1,400,30,tis,0.006372098859691436
6,0.1,400,30,uniform,0.021994881461368646
6,0.1,400,31,tis,0.00481956051186889
6,0.1,400,31,uniform,0.012117181065300896
6,0.1,400,32,tis,0.0024340885483904373
6,0.1,400,32,uniform,0.01784929463255792
6,0.1,400,33,tis,0.0029021131946539045
6,0.1,400,33,uniform,0.01886676458011109
6,0.1,400,34,tis,0.0017118243304618233
6,0.1,400,34,uniform,0.012591047185096115
6,0.1,400,35,tis,0.0022071588735733754
6,0.1,400,35,uniform,0.022615785514675732
6,0.1,400,36,tis,0.003927230783139441
6,0.1,400,36,uniform,0.018634639835108
6,0.1,400,37,tis,0.0006051798279617472
6,0.1,400,37,uniform,0.01639080145135117
6,0.1,400,38,tis,0.0010154705638814343
6,0.1,400,38,uniform,0.011959141317505091
6,0.1,400,39,tis,0.0012931386054395172
6,0.1,400,39,uniform,0.012676277460973067
6,0.1,400,40,tis,0.007884613209302288
6,0.1,400,40,uniform,0.01913662111942206
6,0.1,400,41,tis,0.014358627591306896
6,0.1,400,41,uniform,0.009043750337580295
6,0.1,400,42,tis,0.023951883608034494
6,0.1,400,42,uniform,0.015649802148137666
6,0.1,400,43,tis,0.0038842654623600674
6,0.1,400,43,uniform,0.018415802411568025
6,0.1,400,44,tis,0.006318284661578041
6,0.1,400,44,uniform,0.022609274723198496
6,0.1,400,45,tis,0.0017224125602287974
6,0.1,400,45,uniform,0.012817285273360178
6,0.1,400,46,tis,0.016778040508277574
6,0.1,400,46,uniform,0.02634263755451222
6,0.1,400,47,tis,0.0014284032173492794
6,0.1,400,47,uniform,0.019693908027580715
6,0.1,400,48,tis,0.006139875516125248
6,0.1,400,48,uniform,0.023213272396473694
6,0.1,400,49,tis,0.0008971420979057753
6,0.1,400,49,uniform,0.01895623765316552
6,0.1,400,50,tis,0.0006785555839305268
6,0.1,400,50,uniform,0.009041972026635599
6,0.1,400,51,tis,0.0021166188836259092
6,0.1,400,51,uniform,0.019084173059172645
6,0.1,400,52,tis,0.004998020833873312
6,0.1,400,52,uniform,0.019932791426112345
6,0.1,400,53,tis,0.001520502191411586
