horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.04040356895122039,0.010495646034526643,0.0278122056162893,0.6280099403983956
6,0.1,400,0,uniform,300,0.06433587488374667,0.005301373157465931,0.06113892896836341,1.0
6,0.1,400,1,tis,300,0.003005598035655589,0.00025964816877323846,0.0010320000938768637,0.0884297928764608
6,0.1,400,1,uniform,300,0.03398852284834031,0.002937629303993714,0.006527128830848953,1.0
6,0.1,400,2,tis,300,0.016975113018872355,0.004613807191978058,0.002032172593182744,0.3576389137700716
6,0.1,400,2,uniform,300,0.04746439038170708,0.0037807292809738497,0.01502094663381922,1.0
6,0.1,400,3,tis,300,6.757014468479349e-06,2.254620259300066e-06,-7.487786064686993e-05,0.792557811547338
6,0.1,400,3,uniform,300,8.525579295329127e-06,2.4140711436016157e-06,-0.00012641186535383264,1.0
6,0.1,400,4,tis,300,0.00128328209355044,0.0005785184060172823,0.005900674230070147,0.05828883653116558
6,0.1,400,4,uniform,300,0.022015915395125464,0.0017935761821214293,0.016294668266777352,1.0
6,0.1,400,5,tis,300,0.0006753934988774483,9.896784209025743e-05,0.0024100638600974326,0.27397070639985716
6,0.1,400,5,uniform,300,0.0024652033341539775,0.00019925512736939041,0.0035795848629377952,1.0
6,0.1,400,6,tis,300,0.0016522744427474735,0.00033225069170117943,-0.0027619391177249957,0.05545617252390851
6,0.1,400,6,uniform,300,0.029794238721309832,0.0022342704917638627,-0.004663709529532517,1.0
6,0.1,400,7,tis,300,0.0014652212706442126,0.0001972089463921911,-0.00046911967979749243,0.1878257928108163
6,0.1,400,7,uniform,300,0.007800958796537741,0.0006155058601390989,-0.0010198303548102153,1.0
6,0.1,400,8,tis,300,0.000950609205271367,0.0002565177376248419,-0.000583509084945287,0.17276442714843637
6,0.1,400,8,uniform,300,0.005502343398821444,0.0005388474963769742,0.009502011202601733,1.0
6,0.1,400,9,tis,300,0.0021979632321569866,0.00024185520345300577,0.0002464671425768191,0.06373827513898632
6,0.1,400,9,uniform,300,0.03448419693448175,0.00266975200529474,0.014226555008726266,1.0
