horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.00016141847545655136
6,0.1,400,0,uniform,0.0008355058728838816
6,0.1,400,1,tis,0.00016297642594818648
6,0.1,400,1,uniform,0.001061920836718015
6,0.1,400,2,tis,0.00045878155804571696
6,0.1,400,2,uniform,0.0012966152438227635
6,0.1,400,3,tis,9.56711405702372e-05
6,0.1,400,3,uniform,0.0011820660491946564
6,0.1,400,4,tis,0.00012817000119340214
6,0.1,400,4,uniform,0.0019033530658100991
6,0.1,400,5,tis,6.851063752510654e-05
6,0.1,400,5,uniform,0.0011093340425004602
6,0.1,400,6,tis,9.26497009512933e-05
6,0.1,400,6,uniform,0.0007077879808702216
6,0.1,400,7,tis,0.0001005418543746635
6,0.1,400,7,uniform,0.0026801056854551877
6,0.1,400,8,tis,0.00018882405895562698
6,0.1,400,8,uniform,0.001359641473872166
6,0.1,400,9,tis,9.081943375838769e-05
6,0.1,400,9,uniform,0.0015995668533668286
6,0.1,400,10,tis,0.0006247001975559075
6,0.1,400,10,uniform,0.0017524657799324638
6,0.1,400,11,tis,0.00024053241180652744
6,0.1,400,11,uniform,0.00138197311581861
6,0.1,400,12,tis,5.550222974292833e-05
6,0.1,400,12,uniform,0.0018958013488188283
6,0.1,400,13,tis,0.0002471124737399409
6,0.1,400,13,uniform,0.0015174587329770525
6,0.1,400,14,tis,0.00038382636920673217
6,0.1,400,14,uniform,0.001404559179465278
6,0.1,400,15,tis,0.00019426427018069464
6,0.1,400,15,uniform,0.0023007046088778602
6,0.1,400,16,tis,0.0003823434572859372
6,0.1,400,16,uniform,0.001434763329551254
6,0.1,400,17,tis,0.00048066981301046036
6,0.1,400,17,uniform,0.0038798785863524542
6,0.1,400,18,tis,8.928648496072618e-05
6,0.1,400,18,uniform,0.002753744403202116
6,0.1,400,19,tis,0.0006611877518791021
6,0.1,400,19,uniform,0.002542504828951405
6,0.1,400,20,tis,0.00030731478568650424
6,0.1,400,20,uniform,0.001374200842540765
6,0.1,400,21,tis,0.0002083737325394186
6,0.1,400,21,uniform,0.0009356663993398881
6,0.1,400,22,tis,0.0002567498358963593
6,0.1,400,22,uniform,0.0012243235854288396
6,0.1,400,23,tis,0.00038365921285787435
6,0.1,400,23,uniform,0.0024783829148851727
6,0.1,400,24,tis,7.833972985857804e-05
6,0.1,400,24,uniform,0.0009679180404706179
6,0.1,400,25,tis,0.0001473121364919957
6,0.1,400,25,uniform,0.0009435750293067141
6,0.1,400,26,tis,0.0001641091691848378
6,0.1,400,26,uniform,0.0008966400097235114
6,0.1,400,27,tis,9.247080406607738e-05
6,0.1,400,27,uniform,0.001867489719907046
6,0.1,400,28,tis,0.0001826397894618117
6,0.1,400,28,uniform,0.001264816316143988
6,0.1,400,29,tis,8.38241770947908e-05
6,0.1,400,29,uniform,0.001088310152987335
6,0.1,400,30,tis,0.00014370237085186753
6,0.1,400,30,uniform,0.0012468364945570918
6,0.1,400,31,tis,0.0002987225406581944
6,0.1,400,31,uniform,0.0008848902608925033
6,0.1,400,32,tis,0.0001464955164316524
6,0.1,400,32,uniform,0.002118155152226174
6,0.1,400,33,tis,0.00010925104729786396
6,0.1,400,33,uniform,0.0009522760571994356
6,0.1,400,34,tis,0.0002581243710583784
6,0.1,400,34,uniform,0.0025200658435249376
6,0.1,400,35,tis,9.029087844355258e-05
6,0.1,400,35,uniform,0.0038192426211432914
6,0.1,400,36,tis,0.0001468694462546076
6,0.1,400,36,uniform,0.0008107225445866398
6,0.1,400,37,tis,0.0002699685927887036
6,0.1,400,37,uniform,0.0018357358245033272
6,0.1,400,38,tis,9.676475747273053e-05
6,0.1,400,38,uniform,0.0031510161168903507
6,0.1,400,39,tis,0.000492488573083125
6,0.1,400,39,uniform,0.0010506202227232465
6,0.1,400,40,tis,9.705229501158438e-05
6,0.1,400,40,uniform,0.0011261631901115885
6,0.1,400,41,tis,0.00016115468699456299
6,0.1,400,41,uniform,0.0014076363362421178
6,0.1,400,42,tis,0.00012467962721950118
6,0.1,400,42,uniform,0.0010968554572061094
6,0.1,400,43,tis,0.0001244490106374143
6,0.1,400,43,uniform,0.001938926121312943
6,0.1,400,44,tis,0.0002421762351078155
6,0.1,400,44,uniform,0.0005743669259982711
6,0.1,400,45,tis,0.00012572523739960795
6,0.1,400,45,uniform,0.0009712882638805554
6,0.1,400,46,tis,0.0004999935851407557
6,0.1,400,46,uniform,0.0011647337869673262
6,0.1,400,47,tis,9.456588882587172e-05
6,0.1,400,47,uniform,0.000892941225757739
6,0.1,400,48,tis,0.00016349374303839423
6,0.1,400,48,uniform,0.001276940761747585
6,0.1,400,49,tis,0.00011192715029171878
6,0.1,400,49,uniform,0.001549165688814205
6,0.1,400,50,tis,9.730670931509209e-05
6,0.1,400,50,uniform,0.002347767670067572
6,0.1,400,51,tis,0.0012897477103700242
6,0.1,400,51,uniform,0.0004711585281799164
6,0.1,400,52,tis,7.467061610753247e-05
6,0.1,400,52,uniform,0.0016923399790058078
6,0.1,400,53,tis,0.00017863226184852745
6,0.1,400,53,uniform,0.001252652262981937
6,0.1,400,54,tis,0.00014915029924338533
6,0.1,400,54,uniform,0.0019070207009409096
6,0.1,400,55,tis,0.000310588216942686
6,0.1,400,55,uniform,0.0014601695755139413
6,0.1,400,56,tis,0.00010903738495156502
6,0.1,400,56,uniform,0.001548860080508081
6,0.1,400,57,tis,7.463350441997972e-05
6,0.1,400,57,uniform,0.001442884244440757
6,0.1,400,58,tis,0.00010821810453402225
6,0.1,400,58,uniform,0.0009237843254625588
6,0.1,400,59,tis,9.653167566906031e-05
6,0.1,400,59,uniform,0.0013731968089637345
6,0.1,400,60,tis,0.0002978395816011178
6,0.1,400,60,uniform,0.0016576022837231205
6,0.1,400,61,tis,0.00012061466103028911
6,0.1,400,61,uniform,0.0017755617572872743
6,0.1,400,62,tis,0.00014662478393838842
6,0.1,400,62,uniform,0.001414004276427693
6,0.1,400,63,tis,8.368727881421186e-05
6,0.1,400,63,uniform,0.0013652791603647471
6,0.1,400,64,tis,9.16998248633247e-05
6,0.1,400,64,uniform,0.0012730007020796022
6,0.1,400,65,tis,0.00011255149230621133
6,0.1,400,65,uniform,0.0023309802882186224
6,0.1,400,66,tis,8.139539685054865e-05
6,0.1,400,66,uniform,0.0018065627288762042
6,0.1,400,67,tis,7.16422764204565e-05
6,0.1,400,67,uniform,0.0018428503540477298
6,0.1,400,68,tis,0.0001857430052254074
6,0.1,400,68,uniform,0.002037327536714886
6,0.1,400,69,tis,0.00030548208970105663
6,0.1,400,69,uniform,0.0013232317928449308
6,0.1,400,70,tis,0.00022592916257655577
6,0.1,400,70,uniform,0.0017386648691508088
6,0.1,400,71,tis,9.270630196572557e-05
6,0.1,400,71,uniform,0.001763199085733611
6,0.1,400,72,tis,0.0011917494225881383
6,0.1,400,72,uniform,0.0010249161920027703
6,0.1,400,73,tis,8.148125443827038e-05
6,0.1,400,73,uniform,0.0014098325472221016
6,0.1,400,74,tis,0.0001256623760107097
6,0.1,400,74,uniform,0.0011172432758616662
6,0.1,400,75,tis,0.00013217849053583701
6,0.1,400,75,uniform,0.0011212011972097276
6,0.1,400,76,tis,8.320997239576221e-05
6,0.1,400,76,uniform,0.001132724784076818
6,0.1,400,77,tis,0.0001167014857612937
6,0.1,400,77,uniform,0.002132650373621325
6,0.1,400,78,tis,0.00014349144584682388
6,0.1,400,78,uniform,0.001048204568814593
6,0.1,400,79,tis,8.30027762572995e-05
6,0.1,400,79,uniform,0.004144207544180487
6,0.1,400,80,tis,7.676587678208646e-05
6,0.1,400,80,uniform,0.001731557780602895
6,0.1,400,81,tis,0.00026550156536720066
6,0.1,400,81,uniform,0.0018100485254406028
6,0.1,400,82,tis,7.925775758860191e-05
6,0.1,400,82,uniform,0.002241937294751651
6,0.1,400,83,tis,5.4321498399178086e-05
6,0.1,400,83,uniform,0.0016555248971128265
6,0.1,400,84,tis,0.0001417228703460492
6,0.1,400,84,uniform,0.001224843610922475
6,0.1,400,85,tis,0.00011358267587650126
6,0.1,400,85,uniform,0.0014529703380753538
6,0.1,400,86,tis,0.00012822199346183914
6,0.1,400,86,uniform,0.0017482263493206044
6,0.1,400,87,tis,0.0005176953877884541
6,0.1,400,87,uniform,0.0011720605796057548
6,0.1,400,88,tis,7.57312071560783e-05
6,0.1,400,88,uniform,0.0009046035843145159
6,0.1,400,89,tis,0.0008740536125972768
6,0.1,400,89,uniform,0.002638041260229127
6,0.1,400,90,tis,7.996347813518212e-05
6,0.1,400,90,uniform,0.0016652188596417055
6,0.1,400,91,tis,0.00014530222797301204
6,0.1,400,91,uniform,0.0014500328599863744
6,0.1,400,92,tis,0.00013580269945586332
6,0.1,400,92,uniform,0.0014207515070562505
6,0.1,400,93,tis,8.047550956186917e-05
6,0.1,400,93,uniform,0.0030101611258902777
6,0.1,400,94,tis,7.240640388398941e-05
6,0.1,400,94,uniform,0.0011513454251212442
6,0.1,400,95,tis,4.327758268555604e-05
6,0.1,400,95,uniform,0.0010742803745944329
6,0.1,400,96,tis,0.00012957361649575008
6,0.1,400,96,uniform,0.0010461801634781562
6,0.1,400,97,tis,0.00032577399087988234
6,0.1,400,97,uniform,0.0016967931002827364
6,0.1,400,98,tis,0.0002699656463841026
6,0.1,400,98,uniform,0.001222617886347093
6,0.1,400,99,tis,0.0003266840289910581
6,0.1,400,99,uniform,0.0009599754086597516
6,0.1,400,100,tis,9.480018301505237e-05
6,0.1,400,100,uniform,0.0028315594128477638
6,0.1,400,101,tis,0.0001658185882628142
6,0.1,400,101,uniform,0.0014924410581946565
6,0.1,400,102,tis,6.055412258062549e-05
6,0.1,400,102,uniform,0.0006195220588700185
6,0.1,400,103,tis,0.00015026959354589385
6,0.1,400,103,uniform,0.0008553624673309537
6,0.1,400,104,tis,0.0004904386422489898
6,0.1,400,104,uniform,0.001955374223643381
6,0.1,400,105,tis,6.520499278307458e-05
6,0.1,400,105,uniform,0.002148525568259751
6,0.1,400,106,tis,0.00037797065062068427
6,0.1,400,106,uniform,0.0018739624576792856
6,0.1,400,107,tis,9.328433557490225e-05
6,0.1,400,107,uniform,0.0019336027837067967
6,0.1,400,108,tis,0.00013503544445513942
6,0.1,400,108,uniform,0.0011047973145346499
6,0.1,400,109,tis,0.00011591623972182241
6,0.1,400,109,uniform,0.0010735944387203768
6,0.1,400,110,tis,8.755005293305856e-05
6,0.1,400,110,uniform,0.0020537178283726886
6,0.1,400,111,tis,0.00019761406741934502
6,0.1,400,111,uniform,0.0015331450214130914
6,0.1,400,112,tis,0.000109562882283833
6,0.1,400,112,uniform,0.0018240608553913283
6,0.1,400,113,tis,0.0001964624120138712
6,0.1,400,113,uniform,0.001794582960658755
6,0.1,400,114,tis,0.00011663677639140603
6,0.1,400,114,uniform,0.0009081695196070136
6,0.1,400,115,tis,9.651361061304865e-05
6,0.1,400,115,uniform,0.0014855566617828042
6,0.1,400,116,tis,0.00010985758192310614
6,0.1,400,116,uniform,0.0011665410919267012
6,0.1,400,117,tis,0.00010665514410234784
6,0.1,400,117,uniform,0.0018401803380301833
6,0.1,400,118,tis,0.00015248607091329918
6,0.1,400,118,uniform,0.0010858956598235007
6,0.1,400,119,tis,8.194262845792266e-05
6,0.1,400,119,uniform,0.0018776786231450569
6,0.1,400,120,tis,0.0001287926989971327
6,0.1,400,120,uniform,0.0019112462774259645
6,0.1,400,121,tis,0.00018761340870929034
6,0.1,400,121,uniform,0.001348728795331739
6,0.1,400,122,tis,0.00020425200492224006
6,0.1,400,122,uniform,0.001004013438664724
6,0.1,400,123,tis,0.000185206991727356
6,0.1,400,123,uniform,0.001252356191310958
6,0.1,400,124,tis,8.79943708616831e-05
6,0.1,400,124,uniform,0.003650620632789514
6,0.1,400,125,tis,8.390532045129353e-05
6,0.1,400,125,uniform,0.0015051063256946173
6,0.1,400,126,tis,0.0001510907393488837
6,0.1,400,126,uniform,0.0024167503757691815
6,0.1,400,127,tis,0.00024055127291572375
6,0.1,400,127,uniform,0.0015273288733178084
6,0.1,400,128,tis,0.0003621074970171809
6,0.1,400,128,uniform,0.0010728739902761482
6,0.1,400,129,tis,0.00029122600491060665
6,0.1,400,129,uniform,0.0023155899899380016
6,0.1,400,130,tis,0.00010583340022983609
6,0.1,400,130,uniform,0.001126604208889358
6,0.1,400,131,tis,0.0005583153044959062
6,0.1,400,131,uniform,0.001110558837159832
6,0.1,400,132,tis,0.00034014326607236434
6,0.1,400,132,uniform,0.0008598874023332874
6,0.1,400,133,tis,0.0001625719519893204
6,0.1,400,133,uniform,0.0011977325541642726
6,0.1,400,134,tis,0.00027609025687874857
6,0.1,400,134,uniform,0.003007743839846342
6,0.1,400,135,tis,0.00017779014980714484
6,0.1,400,135,uniform,0.002067825549725814
6,0.1,400,136,tis,0.0005146679906895419
6,0.1,400,136,uniform,0.0009236025269554584
6,0.1,400,137,tis,9.639389268713248e-05
6,0.1,400,137,uniform,0.0011005762983538328
6,0.1,400,138,tis,6.860176977488564e-05
6,0.1,400,138,uniform,0.001932374176617909
6,0.1,400,139,tis,0.00012788737608763532
6,0.1,400,139,uniform,0.0016657844455676607
6,0.1,400,140,tis,0.00010123684736237878
6,0.1,400,140,uniform,0.0016578950518202889
6,0.1,400,141,tis,9.194921776594442e-05
6,0.1,400,141,uniform,0.0015540404305576473
6,0.1,400,142,tis,0.00019912765302164032
6,0.1,400,142,uniform,0.0011939625549478477
6,0.1,400,143,tis,9.138919588882286e-05
6,0.1,400,143,uniform,0.0020642352670977816
6,0.1,400,144,tis,0.00012697325925663656
6,0.1,400,144,uniform,0.0014629795649637504
6,0.1,400,145,tis,0.00021927738000548369
6,0.1,400,145,uniform,0.0007161712146856461
6,0.1,400,146,tis,0.000313141152296032
6,0.1,400,146,uniform,0.0012220406119504259
6,0.1,400,147,tis,0.0002710233585303119
6,0.1,400,147,uniform,0.0013941529250895098
6,0.1,400,148,tis,0.0002183620510861763
6,0.1,400,148,uniform,0.0004861310614038377
6,0.1,400,149,tis,0.00010357126717223651
6,0.1,400,149,uniform,0.0010564717483392415
6,0.1,400,150,tis,0.00010797412052365954
6,0.1,400,150,uniform,0.0011781205876334891
