horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.0007289523400407219
6,0.1,400,0,uniform,0.003644072254652829
6,0.1,400,1,tis,0.0008504420788671793
6,0.1,400,1,uniform,0.009002842294415305
6,0.1,400,2,tis,0.0005858674640268009
6,0.1,400,2,uniform,0.0029374140451219324
6,0.1,400,3,tis,0.0007187694505493651
6,0.1,400,3,uniform,0.005456550837286522
6,0.1,400,4,tis,0.0008244229203274472
6,0.1,400,4,uniform,0.004918776766908884
6,0.1,400,5,tis,0.0008858621794732841
6,0.1,400,5,uniform,0.007555876292978496
6,0.1,400,6,tis,0.0007188107852437063
6,0.1,400,6,uniform,0.004387828066545009
6,0.1,400,7,tis,0.00044563510147876484
6,0.1,400,7,uniform,0.001902005486796774
6,0.1,400,8,tis,0.0005321671018613907
6,0.1,400,8,uniform,0.003698905176899256
6,0.1,400,9,tis,0.0007333769869725997
6,0.1,400,9,uniform,0.0044947478873571785
6,0.1,400,10,tis,0.0004632554350051541
6,0.1,400,10,uniform,0.004350785291329594
6,0.1,400,11,tis,0.0009588913376892264
6,0.1,400,11,uniform,0.004000118604600981
6,0.1,400,12,tis,0.0004126212223585888
6,0.1,400,12,uniform,0.0028045339396691204
6,0.1,400,13,tis,0.00039240300105198667
6,0.1,400,13,uniform,0.005234575708898967
6,0.1,400,14,tis,0.0013032510514079426
6,0.1,400,14,uniform,0.0019386281843635875
6,0.1,400,15,tis,0.00045151217979274595
6,0.1,400,15,uniform,0.006631806461734514
6,0.1,400,16,tis,0.0011802762898049449
6,0.1,400,16,uniform,0.0017183093009125578
6,0.1,400,17,tis,0.0006004450719003416
6,0.1,400,17,uniform,0.0032268943837648824
6,0.1,400,18,tis,0.0008462449805880505
6,0.1,400,18,uniform,0.00410456782812904
6,0.1,400,19,tis,0.0005764652202298536
6,0.1,400,19,uniform,0.004021663799955342
6,0.1,400,20,tis,0.000658632831257876
6,0.1,400,20,uniform,0.005246083570823611
6,0.1,400,21,tis,0.0005746213895968205
6,0.1,400,21,uniform,0.003872281445740054
6,0.1,400,22,tis,0.0006988327107361948
6,0.1,400,22,uniform,0.004029741818500889
6,0.1,400,23,tis,0.0006771506723860518
6,0.1,400,23,uniform,0.006359205403727052
6,0.1,400,24,tis,0.00041272650578511993
6,0.1,400,24,uniform,0.004785543210584508
6,0.1,400,25,tis,0.00037057065775553507
6,0.1,400,25,uniform,0.004300350771309691
6,0.1,400,26,tis,0.000786247051610166
6,0.1,400,26,uniform,0.002937671523157449
6,0.1,400,27,tis,0.0009415323865612366
6,0.1,400,27,uniform,0.006727782854478844
6,0.1,400,28,tis,0.0005778521988289353
6,0.1,400,28,uniform,0.004937150617871235
6,0.1,400,29,tis,0.0006893305959752493
6,0.1,400,29,uniform,0.0028413160312733016
6,0.1,400,30,tis,0.0009577585834473337
6,0.1,400,30,uniform,0.003665728389877599
6,0.1,400,31,tis,0.00044906781371635215
6,0.1,400,31,uniform,0.0038231380213409466
6,0.1,400,32,tis,0.0004509524047900278
6,0.1,400,32,uniform,0.0041521011785103125
6,0.1,400,33,tis,0.0006474472127891973
6,0.1,400,33,uniform,0.002664653372510904
6,0.1,400,34,tis,0.0006317791397416491
6,0.1,400,34,uniform,0.005221520563588578
6,0.1,400,35,tis,0.0011745168962541427
6,0.1,400,35,uniform,0.004936692581666841
6,0.1,400,36,tis,0.0007418351603452465
6,0.1,400,36,uniform,0.0051174936327458
6,0.1,400,37,tis,0.000557623612095869
6,0.1,400,37,uniform,0.0035318209866184846
6,0.1,400,38,tis,0.001014112198907569
6,0.1,400,38,uniform,0.006684809477915197
6,0.1,400,39,tis,0.0007067973591779672
6,0.1,400,39,uniform,0.005462759002582866
6,0.1,400,40,tis,0.00038743982067425474
6,0.1,400,40,uniform,0.003192298184032684
6,0.1,400,41,tis,0.0004439759950534396
6,0.1,400,41,uniform,0.002255828920105796
6,0.1,400,42,tis,0.0004621376661856722
6,0.1,400,42,uniform,0.0033561238473358936
6,0.1,400,43,tis,0.00043277787063481394
6,0.1,400,43,uniform,0.004041903510523138
6,0.1,400,44,tis,0.000717810204989144
6,0.1,400,44,uniform,0.004237011026286821
6,0.1,400,45,tis,0.0008656374362534359
6,0.1,400,45,uniform,0.0025089633444623006
6,0.1,400,46,tis,0.00048593890845037146
6,0.1,400,46,uniform,0.005097022613120683
6,0.1,400,47,tis,0.0006746148122274773
6,0.1,400,47,uniform,0.004470239177308469
6,0.1,400,48,tis,0.00045716809038326043
6,0.1,400,48,uniform,0.003657635897908277
6,0.1,400,49,tis,0.0005677848434845018
6,0.1,400,49,uniform,0.0056748253567376495
6,0.1,400,50,tis,0.0033810981598026966
6,0.1,400,50,uniform,0.0051710022077355484
6,0.1,400,51,tis,0.0008496925666237226
6,0.1,400,51,uniform,0.004691491600455746
6,0.1,400,52,tis,0.0005502861785696927
6,0.1,400,52,uniform,0.004014198501091212
6,0.1,400,53,tis,0.0004782285238434153
6,0.1,400,53,uniform,0.0030008608953257325
6,0.1,400,54,tis,0.0008905810342682548
6,0.1,400,54,uniform,0.002679043742765228
6,0.1,400,55,tis,0.0008743044857511707
6,0.1,400,55,uniform,0.007933656268423078
6,0.1,400,56,tis,0.0005227531925748216
6,0.1,400,56,uniform,0.004919906068524482
6,0.1,400,57,tis,0.004451091091709323
6,0.1,400,57,uniform,0.004608828477232531
6,0.1,400,58,tis,0.0008632032706082963
6,0.1,400,58,uniform,0.004218667174674138
6,0.1,400,59,tis,0.0007222025868187916
6,0.1,400,59,uniform,0.005374014263867275
6,0.1,400,60,tis,0.0006351185151401438
6,0.1,400,60,uniform,0.007026514758986607
6,0.1,400,61,tis,0.000596793377718231
6,0.1,400,61,uniform,0.004571782730520214
6,0.1,400,62,tis,0.0008459371980985776
6,0.1,400,62,uniform,0.002554934596149959
6,0.1,400,63,tis,0.0008100951385261806
6,0.1,400,63,uniform,0.005283171925543105
6,0.1,400,64,tis,0.000666702535160123
6,0.1,400,64,uniform,0.0033577087964682282
6,0.1,400,65,tis,0.0011041692032279088
6,0.1,400,65,uniform,0.002348931119632258
6,0.1,400,66,tis,0.00034236830399373075
6,0.1,400,66,uniform,0.0034560944892931644
6,0.1,400,67,tis,0.000774186600470618
6,0.1,400,67,uniform,0.006336189732338841
6,0.1,400,68,tis,0.0007990197470157893
6,0.1,400,68,uniform,0.0033305310354645183
6,0.1,400,69,tis,0.0005599207590114426
6,0.1,400,69,uniform,0.0025058401171314322
6,0.1,400,70,tis,0.0007304980009159687
6,0.1,400,70,uniform,0.005833754092749907
6,0.1,400,71,tis,0.0003071780713033379
6,0.1,400,71,uniform,0.006388545154880783
6,0.1,400,72,tis,0.0003803941595055581
6,0.1,400,72,uniform,0.004588871398167995
6,0.1,400,73,tis,0.000518329492443755
6,0.1,400,73,uniform,0.0034895514933526222
6,0.1,400,74,tis,0.0011840781718710086
6,0.1,400,74,uniform,0.008208138367841863
6,0.1,400,75,tis,0.00043675754991690896
6,0.1,400,75,uniform,0.0027673770325954724
6,0.1,400,76,tis,0.0005291656542456877
6,0.1,400,76,uniform,0.0025381059378328883
6,0.1,400,77,tis,0.0006779343840517916
6,0.1,400,77,uniform,0.0043953369471304415
6,0.1,400,78,tis,0.000452905823323631
6,0.1,400,78,uniform,0.003993412708262753
6,0.1,400,79,tis,0.0005115397523561059
6,0.1,400,79,uniform,0.0030839443019829316
6,0.1,400,80,tis,0.0003976660211326747
6,0.1,400,80,uniform,0.003372004031430745
6,0.1,400,81,tis,0.00041087040115497304
6,0.1,400,81,uniform,0.0033605858726302863
6,0.1,400,82,tis,0.0008726802212511653
6,0.1,400,82,uniform,0.0035919208171940743
6,0.1,400,83,tis,0.0008614006248284763
6,0.1,400,83,uniform,0.00588967148585582
6,0.1,400,84,tis,0.0007911637064404591
6,0.1,400,84,uniform,0.003902640670885106
6,0.1,400,85,tis,0.008843677461737122
6,0.1,400,85,uniform,0.003993693070588602
6,0.1,400,86,tis,0.0007666525195439679
6,0.1,400,86,uniform,0.005974750667576438
