horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.000282994392843358
6,0.1,400,0,uniform,0.0011317468989410738
6,0.1,400,1,tis,0.0014721629844769843
6,0.1,400,1,uniform,0.0015118258418708279
6,0.1,400,2,tis,0.0017601911898437969
6,0.1,400,2,uniform,0.0011590884409317602
6,0.1,400,3,tis,0.0006040202036936494
6,0.1,400,3,uniform,0.0016654316883691303
6,0.1,400,4,tis,0.00034067955760715206
6,0.1,400,4,uniform,0.0013209054122806986
6,0.1,400,5,tis,0.00014557357438637695
6,0.1,400,5,uniform,0.003030739563564918
6,0.1,400,6,tis,0.00043203954591818365
6,0.1,400,6,uniform,0.002312748734556276
6,0.1,400,7,tis,0.0012893182027074645
6,0.1,400,7,uniform,0.0014383813300242855
6,0.1,400,8,tis,0.0012824187159183674
6,0.1,400,8,uniform,0.0015994295819358258
6,0.1,400,9,tis,0.0009160734952041994
6,0.1,400,9,uniform,0.0015325230818065163
6,0.1,400,10,tis,0.00028691733713605825
6,0.1,400,10,uniform,0.0012972696555418235
6,0.1,400,11,tis,0.0007934103597266913
6,0.1,400,11,uniform,0.0015577911612312783
6,0.1,400,12,tis,0.0006160338716162464
6,0.1,400,12,uniform,0.0067100336824307116
6,0.1,400,13,tis,0.0013185386347681154
6,0.1,400,13,uniform,0.0017909949578421398
6,0.1,400,14,tis,0.0008520113977297647
6,0.1,400,14,uniform,0.0014964562833061227
6,0.1,400,15,tis,0.0005279490524446632
6,0.1,400,15,uniform,0.001905512909815686
6,0.1,400,16,tis,0.0003811195646937475
6,0.1,400,16,uniform,0.0018193752355649864
6,0.1,400,17,tis,0.0003695931993225621
6,0.1,400,17,uniform,0.0029427253301044383
6,0.1,400,18,tis,0.0005848084986936201
6,0.1,400,18,uniform,0.0024201143598743015
6,0.1,400,19,tis,0.002193207215634173
6,0.1,400,19,uniform,0.0018865251233524732
6,0.1,400,20,tis,0.0004436001505007817
6,0.1,400,20,uniform,0.001402867282131583
6,0.1,400,21,tis,0.0007318029071976278
6,0.1,400,21,uniform,0.0021244586665275012
6,0.1,400,22,tis,0.00045663544168311965
6,0.1,400,22,uniform,0.0020233672312717607
6,0.1,400,23,tis,0.0013530025094306744
6,0.1,400,23,uniform,0.0017017192979720548
6,0.1,400,24,tis,0.0006284349616078837
6,0.1,400,24,uniform,0.0015079077959247234
6,0.1,400,25,tis,0.00039238114377139867
6,0.1,400,25,uniform,0.0010697913151634987
6,0.1,400,26,tis,0.0014654558999026165
6,0.1,400,26,uniform,0.00206313909346417
6,0.1,400,27,tis,0.0005326606629453473
6,0.1,400,27,uniform,0.0019014516423894172
6,0.1,400,28,tis,0.0021986637349025225
6,0.1,400,28,uniform,0.0010042368854608584
6,0.1,400,29,tis,0.0009557783626109301
6,0.1,400,29,uniform,0.0018431927482521614
6,0.1,400,30,tis,0.0004274500893108043
6,0.1,400,30,uniform,0.0011158604691726033
6,0.1,400,31,tis,0.0006175386791879851
6,0.1,400,31,uniform,0.0009634097144862085
6,0.1,400,32,tis,0.0013202965122735377
6,0.1,400,32,uniform,0.002217140059309664
6,0.1,400,33,tis,0.0010069836652965355
6,0.1,400,33,uniform,0.001487488409207332
6,0.1,400,34,tis,0.0037224219905054694
6,0.1,400,34,uniform,0.001720226697937955
6,0.1,400,35,tis,0.0011854297706887522
6,0.1,400,35,uniform,0.0012188501441561055
6,0.1,400,36,tis,0.0002159153270343102
6,0.1,400,36,uniform,0.0016522729362699064
6,0.1,400,37,tis,0.0007634302404385449
6,0.1,400,37,uniform,0.0014009826543128114
6,0.1,400,38,tis,0.0004086245205555016
6,0.1,400,38,uniform,0.001863139022729264
6,0.1,400,39,tis,0.0007329200501286112
6,0.1,400,39,uniform,0.0009940925162975499
6,0.1,400,40,tis,0.0021266477225446293
6,0.1,400,40,uniform,0.0013470034449157575
6,0.1,400,41,tis,0.0019159553826571304
6,0.1,400,41,uniform,0.0011447878315907515
6,0.1,400,42,tis,0.0006260653758998686
6,0.1,400,42,uniform,0.005953785181162598
6,0.1,400,43,tis,0.005425704091204946
6,0.1,400,43,uniform,0.0036210403249629292
6,0.1,400,44,tis,0.0009162064239376849
6,0.1,400,44,uniform,0.0011893211699735805
6,0.1,400,45,tis,0.002998517280611903
6,0.1,400,45,uniform,0.0021646410153419162
6,0.1,400,46,tis,0.00026149119098917205
6,0.1,400,46,uniform,0.0019500527251829277
6,0.1,400,47,tis,0.0003227533563710514
6,0.1,400,47,uniform,0.0025068732850369387
6,0.1,400,48,tis,0.001957860026416415
6,0.1,400,48,uniform,0.0014799237903080297
6,0.1,400,49,tis,0.0001824377835577885
6,0.1,400,49,uniform,0.0013101811654791242
6,0.1,400,50,tis,0.0006400410836041771
6,0.1,400,50,uniform,0.002789582420717002
6,0.1,400,51,tis,0.0006531821222274623
6,0.1,400,51,uniform,0.0019663704980528904
6,0.1,400,52,tis,0.0017274261893881172
6,0.1,400,52,uniform,0.0021018237479557096
6,0.1,400,53,tis,0.0007757052962358331
6,0.1,400,53,uniform,0.0030576045356145894
6,0.1,400,54,tis,0.00043883574444279354
6,0.1,400,54,uniform,0.001448822072313024
6,0.1,400,55,tis,0.0012794206644837877
6,0.1,400,55,uniform,0.002583076740472732
6,0.1,400,56,tis,0.002483761647060813
6,0.1,400,56,uniform,0.0028401636153030274
6,0.1,400,57,tis,0.0002190960939408564
6,0.1,400,57,uniform,0.0015295330919455014
6,0.1,400,58,tis,0.00023763600843539046
6,0.1,400,58,uniform,0.0013440200678896306
6,0.1,400,59,tis,0.0005843070093971035
6,0.1,400,59,uniform,0.0018046312407849216
6,0.1,400,60,tis,0.00023306835376344292
6,0.1,400,60,uniform,0.0013577245286258595
6,0.1,400,61,tis,0.00042648881289127007
6,0.1,400,61,uniform,0.002996072794957168
6,0.1,400,62,tis,0.00019073924934580054
6,0.1,400,62,uniform,0.001271711856083148
6,0.1,400,63,tis,0.0005887046399320971
6,0.1,400,63,uniform,0.0023352233988838127
6,0.1,400,64,tis,0.001510121528307008
6,0.1,400,64,uniform,0.0011280887512186571
6,0.1,400,65,tis,0.0002338724781353133
6,0.1,400,65,uniform,0.0026825714416993268
6,0.1,400,66,tis,0.000525346498963559
6,0.1,400,66,uniform,0.0013580778087936608
6,0.1,400,67,tis,0.0004470729697960046
6,0.1,400,67,uniform,0.00078041138719565
6,0.1,400,68,tis,0.001938732541541598
6,0.1,400,68,uniform,0.0019063875082239797
6,0.1,400,69,tis,0.0007066679322536723
6,0.1,400,69,uniform,0.003961193630616472
6,0.1,400,70,tis,0.0003639527843426781
6,0.1,400,70,uniform,0.003103186384108613
6,0.1,400,71,tis,0.0003296662891161054
6,0.1,400,71,uniform,0.0008497509247962397
6,0.1,400,72,tis,0.000250156264541336
6,0.1,400,72,uniform,0.0015838126818709505
6,0.1,400,73,tis,0.0009538793886269856
6,0.1,400,73,uniform,0.0019718132563623938
6,0.1,400,74,tis,0.0006221511733518115
6,0.1,400,74,uniform,0.0016853495447733606
6,0.1,400,75,tis,0.0002760400870985203
6,0.1,400,75,uniform,0.0012497084678459115
6,0.1,400,76,tis,0.0013202508097059544
6,0.1,400,76,uniform,0.0013077635003704543
6,0.1,400,77,tis,0.0004316112573374488
6,0.1,400,77,uniform,0.0011753231430608952
6,0.1,400,78,tis,0.0002819428988729967
6,0.1,400,78,uniform,0.0015995381842370388
6,0.1,400,79,tis,0.0006149939128632473
6,0.1,400,79,uniform,0.002194994365191871
6,0.1,400,80,tis,0.0007593730664680854
6,0.1,400,80,uniform,0.000984712758154884
6,0.1,400,81,tis,0.0007565392375870875
6,0.1,400,81,uniform,0.0021092728756771724
6,0.1,400,82,tis,0.0003293313840573067
