horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.002855909414040383
6,0.1,400,0,uniform,0.005520090816744108
6,0.1,400,1,tis,0.003473382926815918
6,0.1,400,1,uniform,0.006525178995970791
6,0.1,400,2,tis,0.004580292548521727
6,0.1,400,2,uniform,0.008723766695594267
6,0.1,400,3,tis,0.006414624443898708
6,0.1,400,3,uniform,0.006510217618366383
6,0.1,400,4,tis,0.009349272577367555
6,0.1,400,4,uniform,0.007772768032278713
6,0.1,400,5,tis,0.0014559683290759232
6,0.1,400,5,uniform,0.0030073144375751116
6,0.1,400,6,tis,0.00267226524138875
6,0.1,400,6,uniform,0.011948926160940551
6,0.1,400,7,tis,0.005199364615430678
6,0.1,400,7,uniform,0.008681478693710096
6,0.1,400,8,tis,0.010078218961241702
6,0.1,400,8,uniform,0.006474790464454818
6,0.1,400,9,tis,0.001693441058414335
6,0.1,400,9,uniform,0.008595103024255195
6,0.1,400,10,tis,0.003634785263557884
6,0.1,400,10,uniform,0.010198926182578501
6,0.1,400,11,tis,0.001069911493455981
6,0.1,400,11,uniform,0.006808428905187326
6,0.1,400,12,tis,0.010245166179430195
6,0.1,400,12,uniform,0.01698601442416662
6,0.1,400,13,tis,0.003947611895740162
6,0.1,400,13,uniform,0.006091169740612532
6,0.1,400,14,tis,0.0025058527132390323
6,0.1,400,14,uniform,0.013954630987948337
6,0.1,400,15,tis,0.0037079146298506166
6,0.1,400,15,uniform,0.006087639523208145
6,0.1,400,16,tis,0.002378186381172882
6,0.1,400,16,uniform,0.00723823222924632
6,0.1,400,17,tis,0.004015188838349128
6,0.1,400,17,uniform,0.004500439154009674
6,0.1,400,18,tis,0.004669364921336586
6,0.1,400,18,uniform,0.011170862322818154
6,0.1,400,19,tis,0.004025197227928751
6,0.1,400,19,uniform,0.0069672798222169844
6,0.1,400,20,tis,0.0032005158880057064
6,0.1,400,20,uniform,0.00580002126176816
6,0.1,400,21,tis,0.0045320056298548015
6,0.1,400,21,uniform,0.005891954736255674
6,0.1,400,22,tis,0.0017913031420590726
6,0.1,400,22,uniform,0.012095988080011428
6,0.1,400,23,tis,0.00302765563460878
6,0.1,400,23,uniform,0.009742019350132903
6,0.1,400,24,tis,0.005685509823893611
6,0.1,400,24,uniform,0.0315871228699144
6,0.1,400,25,tis,0.0050881669839683875
6,0.1,400,25,uniform,0.007731027653043433
6,0.1,400,26,tis,0.00601696464307119
6,0.1,400,26,uniform,0.00810255984764326
6,0.1,400,27,tis,0.006657751438878472
6,0.1,400,27,uniform,0.010897371199393097
6,0.1,400,28,tis,0.006569758231558633
6,0.1,400,28,uniform,0.009172278617302064
6,0.1,400,29,tis,0.007331860432688385
6,0.1,400,29,uniform,0.013730249431890827
6,0.1,400,30,tis,0.0008672501949446019
6,0.1,400,30,uniform,0.008913706890718718
6,0.1,400,31,tis,0.021575338589409476
6,0.1,400,31,uniform,0.018084810387859553
6,0.1,400,32,tis,0.006438907117063434
6,0.1,400,32,uniform,0.009007629017242799
6,0.1,400,33,tis,0.007533635771781523
6,0.1,400,33,uniform,0.008081321485067417
6,0.1,400,34,tis,0.0014447203719284297
6,0.1,400,34,uniform,0.005834538856862542
6,0.1,400,35,tis,0.001905017465495891
6,0.1,400,35,uniform,0.005315926027092743
6,0.1,400,36,tis,0.002094610634428323
6,0.1,400,36,uniform,0.008606897071273097
6,0.1,400,37,tis,0.005137351569681274
6,0.1,400,37,uniform,0.0071446432220520825
6,0.1,400,38,tis,0.0028301245583676107
6,0.1,400,38,uniform,0.004657591984960094
6,0.1,400,39,tis,0.007508277292441498
6,0.1,400,39,uniform,0.006021957648483155
6,0.1,400,40,tis,0.002611177809660064
6,0.1,400,40,uniform,0.004833310023953165
6,0.1,400,41,tis,0.005651122387735929
6,0.1,400,41,uniform,0.012098521152961927
6,0.1,400,42,tis,0.002474021792534376
6,0.1,400,42,uniform,0.008697383549849932
6,0.1,400,43,tis,0.005860881771197695
6,0.1,400,43,uniform,0.010955006296368877
6,0.1,400,44,tis,0.0022991176751900435
6,0.1,400,44,uniform,0.02374062569200805
6,0.1,400,45,tis,0.0018449863533531003
6,0.1,400,45,uniform,0.01325496597005921
6,0.1,400,46,tis,0.006013828382897037
6,0.1,400,46,uniform,0.00875121257508749
6,0.1,400,47,tis,0.025653014647188027
6,0.1,400,47,uniform,0.029885092463588177
6,0.1,400,48,tis,0.003254906033537858
6,0.1,400,48,uniform,0.016679014657056544
6,0.1,400,49,tis,0.00463676954938241
6,0.1,400,49,uniform,0.009029764460727683
6,0.1,400,50,tis,0.010294612879464477
6,0.1,400,50,uniform,0.006696550511709672
6,0.1,400,51,tis,0.003080260049770571
6,0.1,400,51,uniform,0.010568269899295985
6,0.1,400,52,tis,0.0054809108887901616
6,0.1,400,52,uniform,0.0026931987193847813
6,0.1,400,53,tis,0.0026992589471262983
6,0.1,400,53,uniform,0.0035404297909359264
6,0.1,400,54,tis,0.0007583296410453965
