horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.0002825551974585851,2.5722228762229678e-05,-0.0015079750740339618,0.11668409115492388
6,0.1,400,0,uniform,300,0.0024215400288239014,0.00019037558881371836,-0.0010408186405706844,1.0
6,0.1,400,1,tis,300,5.655134387833259e-06,1.8647560677111273e-06,-9.752976737693894e-05,0.08040543267809139
6,0.1,400,1,uniform,300,7.033273995892758e-05,8.137704666602804e-06,0.0007977926135311852,1.0
6,0.1,400,2,tis,300,2.5545052875408165e-07,3.4466006911376456e-08,-3.964345902296884e-05,0.140060298260036
6,0.1,400,2,uniform,300,1.8238610935970744e-06,2.1388193913028473e-07,-5.063588526585357e-05,1.0
6,0.1,400,3,tis,300,1.5456618780477177e-05,1.2334331754093861e-06,0.0001305139902853991,0.07933292406285135
6,0.1,400,3,uniform,300,0.000194832334280679,1.9367962540868986e-05,-0.00031410096569089774,1.0
6,0.1,400,4,tis,300,0.0001698516063059324,1.6039916113050325e-05,-0.0002444527804336601,0.22047419668489973
6,0.1,400,4,uniform,300,0.0007703922221278493,5.2145470900610094e-05,-0.0007696503253973323,1.0
6,0.1,400,5,tis,300,0.00021101837440701076,1.6995333724413815e-05,-0.0015559117404918674,0.15795689685235517
6,0.1,400,5,uniform,300,0.0013359237780180817,0.0001178842743529371,-0.00459170422349093,1.0
6,0.1,400,6,tis,300,1.3238920995940207e-05,1.0839417721326706e-06,-0.00023101338171389743,0.10042151640689326
6,0.1,400,6,uniform,300,0.00013183351008461215,9.996145915770061e-06,-0.0002457151579035684,1.0
6,0.1,400,7,tis,300,0.00021386728999316887,1.9211825840556336e-05,0.0003141730330948963,0.21070907418475993
6,0.1,400,7,uniform,300,0.001014988513525714,8.713757253742493e-05,0.0012880480148802734,1.0
6,0.1,400,8,tis,300,5.411468105828453e-05,4.016067388336918e-06,0.0009107522098390216,0.16172468307653043
6,0.1,400,8,uniform,300,0.00033460990634729944,2.9202672836029248e-05,0.0032984321449022504,1.0
6,0.1,400,9,tis,300,9.702358452738293e-06,1.1222881090200486e-06,-6.894691647455635e-05,0.33388555947892096
6,0.1,400,9,uniform,300,2.905893404878095e-05,2.7447291935866877e-06,-0.00044886943548456905,1.0
6,0.1,400,10,tis,300,3.9447017682385514e-05,3.3869739692066284e-06,-0.0005834322352196208,0.14980531490359567
6,0.1,400,10,uniform,300,0.0002633218835244323,2.3505773491731578e-05,0.000391232587194034,1.0
6,0.1,400,11,tis,300,0.0003378337246861505,3.350053611906225e-05,0.0018684351541714743,0.15863870016751583
6,0.1,400,11,uniform,300,0.002129579505690681,0.00017838990335577475,0.0016076375034314487,1.0
6,0.1,400,12,tis,300,3.982254503688092e-06,3.3340318882161844e-07,-0.0002603300580031635,0.04823595671550251
6,0.1,400,12,uniform,300,8.255780075381482e-05,8.228419017374146e-06,-0.0013958074086314347,1.0
6,0.1,400,13,tis,300,7.960485229668176e-05,6.33640426548658e-06,0.001075042961502007,0.06203962132772439
6,0.1,400,13,uniform,300,0.0012831292421365535,0.00012624302114484315,0.009031945589498205,1.0
6,0.1,400,14,tis,300,3.402076848148435e-06,2.655798847664957e-07,-2.5612106273766125e-05,0.09181453056698105
6,0.1,400,14,uniform,300,3.705379559356929e-05,3.063188985151049e-06,-0.00044214732024112484,1.0
6,0.1,400,15,tis,300,0.0003677047123170475,3.974636024241473e-05,0.0011661009726480077,0.08386365590554001
6,0.1,400,15,uniform,300,0.004384553813528144,0.00038860204444077153,0.00516399592700952,1.0
6,0.1,400,16,tis,300,6.176222547884043e-05,5.167379321865103e-06,0.0003353931270216792,0.05453899558595619
6,0.1,400,16,uniform,300,0.0011324415643390437,8.918344636206355e-05,0.002188270063764111,1.0
6,0.1,400,17,tis,300,2.6425525495508746e-05,2.0376374327704676e-06,9.294181344631965e-05,0.11544131334844226
6,0.1,400,17,uniform,300,0.0002289087392461247,1.6581224264521554e-05,0.0008392452991360163,1.0
6,0.1,400,18,tis,300,6.168050719472991e-07,5.143883001363932e-08,-2.7273922732186467e-05,0.054418102002830836
6,0.1,400,18,uniform,300,1.1334556870712119e-05,9.155806607299338e-07,-6.277982250378085e-05,1.0
6,0.1,400,19,tis,300,0.0001439651484502539,1.529035671183277e-05,-0.0014722514393927725,0.19896132014123735
6,0.1,400,19,uniform,300,0.0007235836008127452,6.945012044077838e-05,-0.0016622268270964247,1.0
6,0.1,400,20,tis,300,0.0003520083298775082,3.0907528788369436e-05,0.0026864935302830842,0.31350720710058017
6,0.1,400,20,uniform,300,0.001122807775722285,9.683334051637042e-05,0.00371953475069782,1.0
6,0.1,400,21,tis,300,3.206295759073211e-05,2.695136390476756e-06,-0.00038434016627811947,0.10663665849779483
6,0.1,400,21,uniform,300,0.00030067481523152895,2.3455890955402694e-05,-0.0008983546672885219,1.0
