horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.00024830943748989923,2.219940725890321e-05,-0.0008466997449759214,0.1159237625627369
6,0.1,400,0,uniform,300,0.0021420063669475567,0.00017014812366552778,0.005038633403488994,1.0
6,0.1,400,1,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,1,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,2,tis,300,0.010761337529537184,0.0008813741310003668,0.003471740807650893,0.4565171912053242
6,0.1,400,2,uniform,300,0.02357268847011972,0.0018196933574561392,0.02089178823075778,1.0
6,0.1,400,3,tis,300,0.023862361706503448,0.002286489032669138,0.004734187398679538,0.9389336721406436
6,0.1,400,3,uniform,300,0.02541432096273685,0.0022696080377131653,0.015949432688197176,1.0
6,0.1,400,4,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,4,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,5,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,5,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,6,tis,300,0.05282912527062664,0.0056084642516966215,0.03958454105772069,0.31574508468543155
6,0.1,400,6,uniform,300,0.16731574878911856,0.015016663060036043,0.10035358363888779,1.0
6,0.1,400,7,tis,300,0.0020534013006393843,0.00032929122180002507,0.005314751042588943,0.37091436587488913
6,0.1,400,7,uniform,300,0.005536052225413142,0.0005462386500116953,0.01923636375072275,1.0
6,0.1,400,8,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,8,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,9,tis,300,0.0013312535687599913,0.00022980813431888267,0.011522894334537358,0.6117695567133729
6,0.1,400,9,uniform,300,0.0021760703097289166,0.00026214194378347257,0.019581198795201496,1.0
6,0.1,400,10,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,10,uniform,300,6.44787575503293e-07,6.437120325101408e-07,4.636045640785162e-05,1.0
6,0.1,400,11,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,11,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,12,tis,300,0.0004428080482640606,3.688590705734801e-05,-0.000561326545263207,0.30461606416653575
6,0.1,400,12,uniform,300,0.0014536595418092406,0.00011325865393669457,-0.0021202107567940233,1.0
6,0.1,400,13,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,13,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,14,tis,300,0.00036360594849169786,3.461762347005432e-05,0.0021167065237747305,0.3470162032228176
6,0.1,400,14,uniform,300,0.0010478068318274696,9.823267207418685e-05,0.004860878426452297,1.0
6,0.1,400,15,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,15,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,16,tis,300,0.0056791798200448145,0.00045289846335836375,0.006462033638422376,0.29098439468717197
6,0.1,400,16,uniform,300,0.019517128491204207,0.0017702638319719748,0.019450923519966527,1.0
6,0.1,400,17,tis,300,0.004452529362940402,0.0005211660508689526,0.0032394282735381777,0.6768955864952202
6,0.1,400,17,uniform,300,0.006577867328097644,0.0007110341201979872,0.006279733222521255,1.0
6,0.1,400,18,tis,300,0.013392543876744852,0.0011921295259832243,0.003627885969292827,0.40177849574132424
6,0.1,400,18,uniform,300,0.0333331525173695,0.002515843217476311,-0.00451945475181024,1.0
6,0.1,400,19,tis,300,0.0017750105773409117,0.00023194542316959935,-0.0015376337107512745,0.16999139832214313
6,0.1,400,19,uniform,300,0.010441767023865338,0.0007619233354926568,0.003923660797525232,1.0
6,0.1,400,20,tis,300,0.0009538819671962947,8.369590442175159e-05,0.0032204608187399943,0.15694543638905556
6,0.1,400,20,uniform,300,0.006077793589561249,0.0005310754869433731,0.011851529706042767,1.0
6,0.1,400,21,tis,300,0.0005972828117374225,0.00010568188427360571,-0.0004856302616178232,0.19399804479911134
6,0.1,400,21,uniform,300,0.0030788084094142297,0.00026446249113528476,0.0019606671916640385,1.0
6,0.1,400,22,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,22,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,23,tis,300,0.0011647317512027933,0.00014022238942109643,0.0002513237518959569,0.295191422543322
6,0.1,400,23,uniform,300,0.00394568291032189,0.00028898988026891426,-0.008924768789385498,1.0
6,0.1,400,24,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,24,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,25,tis,300,0.0032004652289856763,0.0005576883096181477,0.0010216958203061743,0.9016999013796566
6,0.1,400,25,uniform,300,0.0035493685028564013,0.0003799422442999818,-0.0027786677539682063,1.0
6,0.1,400,26,tis,300,0.0006411435548017478,0.00011606651751586158,0.001510673464079136,0.7094529999374287
6,0.1,400,26,uniform,300,0.0009037153340084466,0.0001498468640114241,-0.0002085076118014347,1.0
6,0.1,400,27,tis,300,0.00027786065595245164,8.606871154536506e-05,0.005561397099705936,0.4636721169773903
6,0.1,400,27,uniform,300,0.0005992610851042414,0.00012921331640217596,0.0109757027267614,1.0
6,0.1,400,28,tis,300,0.001025660609580882,0.00012587757045904734,0.002518007253949322,0.3438013412939936
6,0.1,400,28,uniform,300,0.0029832943807622104,0.00023125495102625747,0.00623254210943343,1.0
6,0.1,400,29,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,29,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,30,tis,300,2.9446914957561015e-05,4.699644551762901e-06,0.00027555001257068815,0.6351669703595885
6,0.1,400,30,uniform,300,4.6360904032667455e-05,5.259337586110665e-06,9.92009278799603e-05,1.0
6,0.1,400,31,tis,300,0.0006909821992631954,6.544645541021815e-05,-0.0007996930228337463,0.18440500493176154
6,0.1,400,31,uniform,300,0.0037470902675276687,0.0002853109744938798,-0.0001436869980819237,1.0
6,0.1,400,32,tis,300,1.096265354969554e-05,6.191401107600221e-06,0.00046288670491576993,0.9661965652703086
6,0.1,400,32,uniform,300,1.1346193873736827e-05,5.999640276046088e-06,0.0005615454964494867,1.0
6,0.1,400,33,tis,300,0.000123820473426198,1.0050421082346045e-05,0.0008702588046628682,0.10116750982971942
6,0.1,400,33,uniform,300,0.0012239154016403786,0.00011509349222939473,0.0026908566577994227,1.0
6,0.1,400,34,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,34,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,35,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,35,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,36,tis,300,0.0002725368716769588,2.824916593265613e-05,-0.0008417385471924425,0.06492372153101816
6,0.1,400,36,uniform,300,0.004197801131081968,0.0004165490288262372,0.00047742032433664743,1.0
6,0.1,400,37,tis,300,0.013175444477268788,0.0011947665443073933,0.007676234853082769,0.5796108660310857
6,0.1,400,37,uniform,300,0.022731534637175286,0.0017211937242123663,0.01656806915174046,1.0
6,0.1,400,38,tis,300,0.0031145771939443453,0.00029440660827379905,-0.0001813378682540708,0.1615056630798303
6,0.1,400,38,uniform,300,0.019284631477008006,0.0015679054504176234,0.0034755179170733452,1.0
6,0.1,400,39,tis,300,0.0006360561145145471,7.182854586232784e-05,0.001297586080740895,0.20741028923436752
6,0.1,400,39,uniform,300,0.0030666565138232965,0.00026261744973683304,0.007195154509488783,1.0
6,0.1,400,40,tis,300,0.0006184112502062045,5.473375709730429e-05,0.001789159084398187,0.33255395460464465
6,0.1,400,40,uniform,300,0.0018595817058961158,0.00014752184281486064,0.0030321804888827617,1.0
6,0.1,400,41,tis,300,0.0029333856811712094,0.00029185777207106617,0.0037847366963435648,0.44143723856358136
6,0.1,400,41,uniform,300,0.006645079809570045,0.0007132980012962177,0.01194282005967801,1.0
6,0.1,400,42,tis,300,0.0017686797206459496,0.00018998464340018396,0.004334857567660881,0.37708510450457466
6,0.1,400,42,uniform,300,0.0046903993276788064,0.00042829926262129145,0.008343578339041832,1.0
6,0.1,400,43,tis,300,0.00028379511226085116,2.3781111660173435e-05,0.0010037944501427576,0.16190762173854137
6,0.1,400,43,uniform,300,0.0017528212026926156,0.00013363742477612395,0.00012954347124575995,1.0
6,0.1,400,44,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,44,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,45,tis,300,0.0015013011855709356,0.00023695947937722001,0.009148803506339039,0.39438642627020587
6,0.1,400,45,uniform,300,0.0038066755992822877,0.0002771853971444924,0.011067415096825113,1.0
6,0.1,400,46,tis,300,0.05980897669819263,0.005435494172586421,0.016196173623410363,0.7242679313742015
6,0.1,400,46,uniform,300,0.08257852392375442,0.006144416075593615,0.019825696039353826,1.0
6,0.1,400,47,tis,300,0.010324589408812389,0.0012946834564629692,-0.004201992317023933,0.22905120070301296
6,0.1,400,47,uniform,300,0.045075465123621934,0.0035958385777464887,0.006111990275897639,1.0
6,0.1,400,48,tis,300,0.003165070294097341,0.0003405758557407689,0.0021874260552263284,0.3158916663550429
6,0.1,400,48,uniform,300,0.010019480192744292,0.0008682190907226014,-0.0011710570806351096,1.0
6,0.1,400,49,tis,300,0.0016805785136953604,0.00017635678784473717,0.005140653411059285,0.3597262293005935
6,0.1,400,49,uniform,300,0.004671826452474334,0.0003934139077014903,0.002532047773574041,1.0
