horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.002691639274221056
6,0.1,400,0,uniform,0.012458639450665191
6,0.1,400,1,tis,0.0011444070711908044
6,0.1,400,1,uniform,0.005662004285658553
6,0.1,400,2,tis,0.00134517219020139
6,0.1,400,2,uniform,0.007485602273890977
6,0.1,400,3,tis,0.0031237266195933474
6,0.1,400,3,uniform,0.009373274033891479
6,0.1,400,4,tis,0.0014993243817348208
6,0.1,400,4,uniform,0.015239838742801402
6,0.1,400,5,tis,0.0010761411449413962
6,0.1,400,5,uniform,0.007560246177095601
6,0.1,400,6,tis,0.0017482089502460635
6,0.1,400,6,uniform,0.00846592953640044
6,0.1,400,7,tis,0.0019671721726040444
6,0.1,400,7,uniform,0.013014048406520835
6,0.1,400,8,tis,0.00284591655773176
6,0.1,400,8,uniform,0.008830516663691978
6,0.1,400,9,tis,0.003814490125035623
6,0.1,400,9,uniform,0.007234940658013657
6,0.1,400,10,tis,0.002539001688361092
6,0.1,400,10,uniform,0.009502241297174967
6,0.1,400,11,tis,0.0007689393956594268
6,0.1,400,11,uniform,0.013840802062773785
6,0.1,400,12,tis,0.0014535166470933379
6,0.1,400,12,uniform,0.005341086070047797
6,0.1,400,13,tis,0.000794020123195499
6,0.1,400,13,uniform,0.012698823106100383
6,0.1,400,14,tis,0.0007086953295335287
6,0.1,400,14,uniform,0.0217623385196816
6,0.1,400,15,tis,0.002811918438573059
6,0.1,400,15,uniform,0.006754924275905268
6,0.1,400,16,tis,0.006161771073732921
6,0.1,400,16,uniform,0.010117565871658426
6,0.1,400,17,tis,0.0032811188413910623
6,0.1,400,17,uniform,0.022756718772908652
6,0.1,400,18,tis,0.0015406676649398585
6,0.1,400,18,uniform,0.011639632774961061
6,0.1,400,19,tis,0.0012566022753636118
6,0.1,400,19,uniform,0.007492139849509885
6,0.1,400,20,tis,0.0009620520126418151
6,0.1,400,20,uniform,0.009624814971257105
6,0.1,400,21,tis,0.0012825167033038319
6,0.1,400,21,uniform,0.017953040015986674
6,0.1,400,22,tis,0.0017693825113852812
6,0.1,400,22,uniform,0.011735143614408748
6,0.1,400,23,tis,0.0018018527594419588
6,0.1,400,23,uniform,0.011038131316957077
6,0.1,400,24,tis,0.002258303909042062
6,0.1,400,24,uniform,0.01015817098899406
6,0.1,400,25,tis,0.0025521712154294883
6,0.1,400,25,uniform,0.006386208893058633
6,0.1,400,26,tis,0.0013471923874964335
6,0.1,400,26,uniform,0.012594140168153408
6,0.1,400,27,tis,0.0013213759761957484
6,0.1,400,27,uniform,0.009469903037198135
6,0.1,400,28,tis,0.00283872834033062
6,0.1,400,28,uniform,0.013789985335589863
6,0.1,400,29,tis,0.004904969439623182
6,0.1,400,29,uniform,0.009810464445851796
6,0.1,400,30,tis,0.002614715062708251
6,0.1,400,30,uniform,0.014654548941409148
6,0.1,400,31,tis,0.0011935078810101677
6,0.1,400,31,uniform,0.0077958080392054015
6,0.1,400,32,tis,0.0023773417474815504
6,0.1,400,32,uniform,0.013020981577987461
6,0.1,400,33,tis,0.0006951309431946749
6,0.1,400,33,uniform,0.006601111279791747
6,0.1,400,34,tis,0.0016563640493588176
6,0.1,400,34,uniform,0.006688578932119088
6,0.1,400,35,tis,0.0018008714638115652
6,0.1,400,35,uniform,0.008400383243108859
6,0.1,400,36,tis,0.0011338439368474098
6,0.1,400,36,uniform,0.010113532200675068
6,0.1,400,37,tis,0.001382045988040959
6,0.1,400,37,uniform,0.011181800968169089
6,0.1,400,38,tis,0.0019874240355163414
6,0.1,400,38,uniform,0.007151990685857115
6,0.1,400,39,tis,0.001435362611774097
6,0.1,400,39,uniform,0.014620141390791007
6,0.1,400,40,tis,0.0006642088842148282
6,0.1,400,40,uniform,0.01032735773894141
6,0.1,400,41,tis,0.0007688114644024018
6,0.1,400,41,uniform,0.021230297489151798
6,0.1,400,42,tis,0.0019826764613414248
6,0.1,400,42,uniform,0.010920905104417535
6,0.1,400,43,tis,0.0012666267543451635
6,0.1,400,43,uniform,0.003068766855053219
6,0.1,400,44,tis,0.0020334707023439355
6,0.1,400,44,uniform,0.014394006953620501
6,0.1,400,45,tis,0.0017782456062144828
6,0.1,400,45,uniform,0.00660227775460111
6,0.1,400,46,tis,0.0022024105259297873
6,0.1,400,46,uniform,0.013153724047170343
6,0.1,400,47,tis,0.001077925060821198
6,0.1,400,47,uniform,0.00937535868990157
6,0.1,400,48,tis,0.0024197933567929996
6,0.1,400,48,uniform,0.00661906777825335
6,0.1,400,49,tis,0.0012486309351200167
6,0.1,400,49,uniform,0.018553317668988115
6,0.1,400,50,tis,0.0012454785446906556
6,0.1,400,50,uniform,0.008335374494665291
6,0.1,400,51,tis,0.001731829558201764
6,0.1,400,51,uniform,0.020193395182804816
6,0.1,400,52,tis,0.0022470720554138186
6,0.1,400,52,uniform,0.010313484877881677
6,0.1,400,53,tis,0.001714021637700489
6,0.1,400,53,uniform,0.011845889862798798
6,0.1,400,54,tis,0.0009852275192934999
6,0.1,400,54,uniform,0.009610704638966835
6,0.1,400,55,tis,0.0008948131934323003
6,0.1,400,55,uniform,0.015308150373818595
6,0.1,400,56,tis,0.002035160750048424
6,0.1,400,56,uniform,0.008502318262898332
6,0.1,400,57,tis,0.0009296838119719702
6,0.1,400,57,uniform,0.004175157780507343
6,0.1,400,58,tis,0.0009358331418664048
6,0.1,400,58,uniform,0.009744208055835547
6,0.1,400,59,tis,0.0010607547639029339
6,0.1,400,59,uniform,0.007917293627201012
6,0.1,400,60,tis,0.0017409777550669333
6,0.1,400,60,uniform,0.016264664816988163
6,0.1,400,61,tis,0.005465499582724998
6,0.1,400,61,uniform,0.004840129911951804
6,0.1,400,62,tis,0.0025238634186224183
6,0.1,400,62,uniform,0.006537197167927494
6,0.1,400,63,tis,0.0009316242471753449
6,0.1,400,63,uniform,0.00669483355200286
6,0.1,400,64,tis,0.002697056558283584
6,0.1,400,64,uniform,0.007819199420265897
6,0.1,400,65,tis,0.0024837300356047383
6,0.1,400,65,uniform,0.011884446331184812
6,0.1,400,66,tis,0.002513472998263494
6,0.1,400,66,uniform,0.010577506610902575
6,0.1,400,67,tis,0.0015193320685799607
6,0.1,400,67,uniform,0.014186795191586351
6,0.1,400,68,tis,0.0009420692289516722
6,0.1,400,68,uniform,0.018250251631421587
6,0.1,400,69,tis,0.002671224825768145
6,0.1,400,69,uniform,0.012665697187901961
6,0.1,400,70,tis,0.0026272290377165448
6,0.1,400,70,uniform,0.01287809757171936
6,0.1,400,71,tis,0.0010362349596777874
6,0.1,400,71,uniform,0.006438857221284172
6,0.1,400,72,tis,0.002418682560840229
6,0.1,400,72,uniform,0.006242914878902133
