horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.0013775284829532545
6,0.1,400,0,uniform,0.005464615518019402
6,0.1,400,1,tis,0.006780410078892212
6,0.1,400,1,uniform,0.006841995302908251
6,0.1,400,2,tis,0.008103661065669003
6,0.1,400,2,uniform,0.008509859440715736
6,0.1,400,3,tis,0.007580375704801779
6,0.1,400,3,uniform,0.007144180879287416
6,0.1,400,4,tis,0.012876582272905333
6,0.1,400,4,uniform,0.00821286849872916
6,0.1,400,5,tis,0.002366117833942412
6,0.1,400,5,uniform,0.0034536726771639565
6,0.1,400,6,tis,0.004124430095366255
6,0.1,400,6,uniform,0.01162513157449216
6,0.1,400,7,tis,0.0016593409406711849
6,0.1,400,7,uniform,0.009123520669402363
6,0.1,400,8,tis,0.010674602616338583
6,0.1,400,8,uniform,0.006500136771831892
6,0.1,400,9,tis,0.0062551871253074915
6,0.1,400,9,uniform,0.008421438465466086
6,0.1,400,10,tis,0.0034699985677060026
6,0.1,400,10,uniform,0.009337633795418111
6,0.1,400,11,tis,0.002684517277818791
6,0.1,400,11,uniform,0.006618765464445043
6,0.1,400,12,tis,0.006412763161431173
6,0.1,400,12,uniform,0.017278189459865218
6,0.1,400,13,tis,0.0015946537320347535
6,0.1,400,13,uniform,0.006382344422949908
6,0.1,400,14,tis,0.0028452584377375223
6,0.1,400,14,uniform,0.014556249642024276
6,0.1,400,15,tis,0.008128107306226729
6,0.1,400,15,uniform,0.005996365229417563
6,0.1,400,16,tis,0.0026134469293134545
6,0.1,400,16,uniform,0.006839497337538987
6,0.1,400,17,tis,0.0027220028578623765
6,0.1,400,17,uniform,0.0048523916081211396
6,0.1,400,18,tis,0.0034981358232417125
6,0.1,400,18,uniform,0.011304110231103765
6,0.1,400,19,tis,0.011341890888863863
6,0.1,400,19,uniform,0.007412681479509542
6,0.1,400,20,tis,0.0017394097350683219
6,0.1,400,20,uniform,0.006243546944916345
6,0.1,400,21,tis,0.0035473418739017685
6,0.1,400,21,uniform,0.005861040843546684
6,0.1,400,22,tis,0.0023120346214008445
6,0.1,400,22,uniform,0.010947172081232118
6,0.1,400,23,tis,0.0025012259390383785
6,0.1,400,23,uniform,0.009159824888579717
6,0.1,400,24,tis,0.011322735018617015
6,0.1,400,24,uniform,0.031248554837544226
6,0.1,400,25,tis,0.003823764286397972
6,0.1,400,25,uniform,0.007285686311926367
6,0.1,400,26,tis,0.01527552154684299
6,0.1,400,26,uniform,0.007804678080388249
6,0.1,400,27,tis,0.005204088055145738
6,0.1,400,27,uniform,0.010086312255522818
6,0.1,400,28,tis,0.00599185720426435
6,0.1,400,28,uniform,0.009043125842540961
