horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,7.547805675592715e-05
6,0.1,400,0,uniform,0.0009332443854844384
6,0.1,400,1,tis,6.674420918796107e-05
6,0.1,400,1,uniform,0.0008108918661360591
6,0.1,400,2,tis,0.00012095079424719716
6,0.1,400,2,uniform,0.0013692179072239338
6,0.1,400,3,tis,0.0001041173251483785
6,0.1,400,3,uniform,0.0009023413644917184
6,0.1,400,4,tis,7.799453351068752e-05
6,0.1,400,4,uniform,0.000977766787751226
6,0.1,400,5,tis,5.765842999037937e-05
6,0.1,400,5,uniform,0.0007235176012061684
6,0.1,400,6,tis,7.427450694221678e-05
6,0.1,400,6,uniform,0.0005565552973246733
6,0.1,400,7,tis,6.165724088884965e-05
6,0.1,400,7,uniform,0.0011990363585633332
6,0.1,400,8,tis,0.00010977251449259563
6,0.1,400,8,uniform,0.0008768020148196972
6,0.1,400,9,tis,0.00010491891709649571
6,0.1,400,9,uniform,0.000881622315626201
6,0.1,400,10,tis,0.0001681504657485455
6,0.1,400,10,uniform,0.0008701087211413389
6,0.1,400,11,tis,0.0001269651937409329
6,0.1,400,11,uniform,0.0009845707023733031
6,0.1,400,12,tis,7.658310236827119e-05
6,0.1,400,12,uniform,0.0011251831633664255
6,0.1,400,13,tis,8.461017420046368e-05
6,0.1,400,13,uniform,0.0008764466918618105
6,0.1,400,14,tis,6.461367676508103e-05
6,0.1,400,14,uniform,0.0007836327184544873
6,0.1,400,15,tis,0.0001663479374301434
6,0.1,400,15,uniform,0.0012062492961876197
6,0.1,400,16,tis,0.00010490953329034822
6,0.1,400,16,uniform,0.0009198107968592846
6,0.1,400,17,tis,8.151941521295776e-05
6,0.1,400,17,uniform,0.0024062738440081026
6,0.1,400,18,tis,6.175027310555383e-05
6,0.1,400,18,uniform,0.0019611258468100047
6,0.1,400,19,tis,0.00012113661872335875
6,0.1,400,19,uniform,0.0023072675055237977
6,0.1,400,20,tis,0.00022602718700788662
6,0.1,400,20,uniform,0.0010971545631630341
6,0.1,400,21,tis,8.023638286323085e-05
6,0.1,400,21,uniform,0.0007459429923647197
6,0.1,400,22,tis,5.7867845855265096e-05
6,0.1,400,22,uniform,0.0006183545603368576
6,0.1,400,23,tis,6.339529197780826e-05
6,0.1,400,23,uniform,0.0013410414528297024
6,0.1,400,24,tis,5.208553251695523e-05
6,0.1,400,24,uniform,0.0005193086422118167
6,0.1,400,25,tis,0.0001488112248257269
6,0.1,400,25,uniform,0.0007444204919090594
6,0.1,400,26,tis,6.921639983567697e-05
6,0.1,400,26,uniform,0.0009530803167725524
6,0.1,400,27,tis,5.170467874837735e-05
6,0.1,400,27,uniform,0.0011828832190333757
6,0.1,400,28,tis,4.43925241510373e-05
6,0.1,400,28,uniform,0.0007517441553420334
6,0.1,400,29,tis,8.182776333311074e-05
6,0.1,400,29,uniform,0.0008661682178000203
6,0.1,400,30,tis,7.411862094335116e-05
6,0.1,400,30,uniform,0.0007250273453205145
6,0.1,400,31,tis,9.545317076131321e-05
6,0.1,400,31,uniform,0.0008850334057338166
6,0.1,400,32,tis,6.560106114232738e-05
6,0.1,400,32,uniform,0.0011424599851808665
6,0.1,400,33,tis,6.487758178495961e-05
6,0.1,400,33,uniform,0.0007808872453797187
6,0.1,400,34,tis,0.0001526763836078865
6,0.1,400,34,uniform,0.0014114170296167915
6,0.1,400,35,tis,8.358745224600132e-05
6,0.1,400,35,uniform,0.0018421509034427953
6,0.1,400,36,tis,0.0001254957408268932
6,0.1,400,36,uniform,0.000542136683978075
6,0.1,400,37,tis,4.585199445145352e-05
6,0.1,400,37,uniform,0.0009419754094306476
6,0.1,400,38,tis,6.258437012632097e-05
6,0.1,400,38,uniform,0.0015212749678818333
6,0.1,400,39,tis,0.00013460948536302576
6,0.1,400,39,uniform,0.0012130532475394865
6,0.1,400,40,tis,3.2031037990257714e-05
6,0.1,400,40,uniform,0.0009063371012666709
6,0.1,400,41,tis,8.270190920279822e-05
6,0.1,400,41,uniform,0.0007996632928891589
6,0.1,400,42,tis,7.403131504939693e-05
6,0.1,400,42,uniform,0.000644664017323904
6,0.1,400,43,tis,0.00010505872221512993
