horizon,alpha,budget_per_shared_group,replication,method,panel_mean_squared_error
6,0.1,400,0,tis,0.003946555257130475
6,0.1,400,0,uniform,0.01653737913030813
6,0.1,400,1,tis,0.0012162782277126357
6,0.1,400,1,uniform,0.008318515487574746
6,0.1,400,2,tis,0.0015627395553318947
6,0.1,400,2,uniform,0.011638420270039206
6,0.1,400,3,tis,0.001606710368180614
6,0.1,400,3,uniform,0.014727265600562683
6,0.1,400,4,tis,0.0021911154443773197
6,0.1,400,4,uniform,0.010328717837088768
6,0.1,400,5,tis,0.0009025411891472669
6,0.1,400,5,uniform,0.015151435280760005
6,0.1,400,6,tis,0.0006737773516890032
6,0.1,400,6,uniform,0.012794117296037931
6,0.1,400,7,tis,0.002465851250306184
6,0.1,400,7,uniform,0.015438098315213674
6,0.1,400,8,tis,0.007833299793487843
6,0.1,400,8,uniform,0.03651803871176602
6,0.1,400,9,tis,0.0040216471893559855
6,0.1,400,9,uniform,0.017822497413331608
6,0.1,400,10,tis,0.002000468038847275
6,0.1,400,10,uniform,0.01740896343459058
6,0.1,400,11,tis,0.002416174644729684
6,0.1,400,11,uniform,0.025789352133998168
6,0.1,400,12,tis,0.0015298623640637445
6,0.1,400,12,uniform,0.01144712677765611
6,0.1,400,13,tis,0.013212753265051766
6,0.1,400,13,uniform,0.02056024504713902
6,0.1,400,14,tis,0.0009196640295527084
6,0.1,400,14,uniform,0.01458736098187499
6,0.1,400,15,tis,0.01907563218432951
6,0.1,400,15,uniform,0.019072758037396012
6,0.1,400,16,tis,0.0015004477710094347
6,0.1,400,16,uniform,0.020105269380793375
6,0.1,400,17,tis,0.00205911694651151
6,0.1,400,17,uniform,0.02392860576528922
6,0.1,400,18,tis,0.0023554760446002983
6,0.1,400,18,uniform,0.007396581625836946
6,0.1,400,19,tis,0.0020241461650939057
6,0.1,400,19,uniform,0.027895808349188773
6,0.1,400,20,tis,0.0011039533761904375
6,0.1,400,20,uniform,0.016591443864696444
6,0.1,400,21,tis,0.0008799816440480656
6,0.1,400,21,uniform,0.01674658695919093
6,0.1,400,22,tis,0.0058723718758730385
6,0.1,400,22,uniform,0.015292268085808422
6,0.1,400,23,tis,0.0008629204298386144
6,0.1,400,23,uniform,0.018362501306732205
6,0.1,400,24,tis,0.001724779292517185
6,0.1,400,24,uniform,0.014483927915222204
6,0.1,400,25,tis,0.002575044428391022
6,0.1,400,25,uniform,0.012267305371357643
6,0.1,400,26,tis,0.0007093203123518274
6,0.1,400,26,uniform,0.012917028994914311
6,0.1,400,27,tis,0.005860390932309677
6,0.1,400,27,uniform,0.017130223036300418
6,0.1,400,28,tis,0.0016908625257022669
6,0.1,400,28,uniform,0.009440721895817296
6,0.1,400,29,tis,0.000911356517683407
6,0.1,400,29,uniform,0.01590691569803385
6,0.1,400,30,tis,0.001049303689932075
6,0.1,400,30,uniform,0.017497703371209015
6,0.1,400,31,tis,0.002961759052429562
6,0.1,400,31,uniform,0.010785962593259249
6,0.1,400,32,tis,0.002563359570232196
6,0.1,400,32,uniform,0.016380796593498805
6,0.1,400,33,tis,0.0012387332721933994
6,0.1,400,33,uniform,0.017497472338940064
6,0.1,400,34,tis,0.0016241791076567382
6,0.1,400,34,uniform,0.010103286598910232
6,0.1,400,35,tis,0.004373287432357807
6,0.1,400,35,uniform,0.019744988369996025
6,0.1,400,36,tis,0.0014109662240378248
6,0.1,400,36,uniform,0.015347633387745759
6,0.1,400,37,tis,0.0005111657445182033
6,0.1,400,37,uniform,0.015147789793598142
6,0.1,400,38,tis,0.0012717161393590978
6,0.1,400,38,uniform,0.01108574601268206
6,0.1,400,39,tis,0.000954856101066736
