horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
6,0.1,400,0,tis,300,0.02815895849484366,0.006863868307956021,0.017577379688627815,0.4257457565407286
6,0.1,400,0,uniform,300,0.06614031511116156,0.00554900442450615,0.05714137958282985,1.0
6,0.1,400,1,tis,300,0.0037147060692930382,0.00030109974583577745,0.00291091012160451,0.103847515094685
6,0.1,400,1,uniform,300,0.03577077473549639,0.002923464938077682,0.006822508404724177,1.0
6,0.1,400,2,tis,300,0.013673356050670545,0.0028281241224729823,0.0021512952266306774,0.28527675767414534
6,0.1,400,2,uniform,300,0.04793014391410325,0.0038409287114106712,0.012026678412391613,1.0
6,0.1,400,3,tis,300,1.138759013868518e-06,1.741423484424608e-07,2.2844176867479935e-05,0.19780644298613553
6,0.1,400,3,uniform,300,5.756935905006567e-06,8.016877055020966e-07,-7.976232807483386e-05,1.0
6,0.1,400,4,tis,300,0.0005233401356320968,0.0001129507376818541,2.0493011551558914e-06,0.044974172477591536
6,0.1,400,4,uniform,300,0.011636459478889844,0.000912188777724327,0.008391873632295932,1.0
6,0.1,400,5,tis,300,0.00020070670775469837,1.8888068192321184e-05,0.0009946673697649477,0.058172165436370576
6,0.1,400,5,uniform,300,0.003450218953499914,0.0002862925420147487,0.0034662456270935916,1.0
6,0.1,400,6,tis,300,0.0014121732509770329,0.0002239612273895014,-0.0008834699888685564,0.049464524432684585
6,0.1,400,6,uniform,300,0.02854921314160889,0.0021431950404866636,-0.0032298491598678754,1.0
6,0.1,400,7,tis,300,0.00029525099236143174,2.6018648352041113e-05,0.0014928993260616386,0.053993903807860635
6,0.1,400,7,uniform,300,0.005468228291328844,0.0004203280092382827,-0.0008210130357363406,1.0
6,0.1,400,8,tis,300,0.0007669809813908088,0.00015358626364506806,-0.0008382071418185063,0.11832972057775687
6,0.1,400,8,uniform,300,0.006481727309470066,0.0007290900032700636,0.021590267714690987,1.0
6,0.1,400,9,tis,300,0.0022824747574492726,0.00021084089586737047,-0.0009072828882381797,0.06455680759807209
6,0.1,400,9,uniform,300,0.03535606611249835,0.002751478698474322,0.010473481310196766,1.0
6,0.1,400,10,tis,300,0.00030366777021443046,2.657877834932574e-05,0.0008553080899339752,0.036124338001358655
6,0.1,400,10,uniform,300,0.008406182286385688,0.0006669686584611596,0.006200368991313822,1.0
6,0.1,400,11,tis,300,0.00019911519876489087,1.4590948359886053e-05,-0.0013220709741387597,0.03332917108026727
6,0.1,400,11,uniform,300,0.005974201947157882,0.0005906726735495296,0.008673869709166828,1.0
6,0.1,400,12,tis,300,0.00716066037340951,0.0006429874385572645,0.004107014621928036,0.08705482554482262
6,0.1,400,12,uniform,300,0.08225460597497428,0.006169718412658213,0.01842186529608915,1.0
6,0.1,400,13,tis,300,8.900813421613113e-05,7.45485943687482e-06,0.0002543685520080367,0.06708697342318709
6,0.1,400,13,uniform,300,0.0013267573371459843,0.00011560092640721196,-0.0014128780683259712,1.0
6,0.1,400,14,tis,300,0.013750792785077548,0.002391918780160487,-0.007285925467238086,1.1455607168116957
6,0.1,400,14,uniform,300,0.012003547767724186,0.0009433372428651732,0.010814207878327839,1.0
6,0.1,400,15,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,15,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,16,tis,300,0.00034254843928065924,3.3193701074549006e-05,-0.00034639661913800525,0.09121649550774281
6,0.1,400,16,uniform,300,0.003755334354536591,0.00028305629679980387,0.0075414250475557615,1.0
6,0.1,400,17,tis,300,0.0016872750680974572,0.00039096259363384034,-0.0020520258887118097,0.24066760961777656
6,0.1,400,17,uniform,300,0.007010810764178667,0.0006192843786069107,-0.004681377454773964,1.0
6,0.1,400,18,tis,300,0.001814324560199303,0.00023138029811610369,0.0007784539400796124,0.036981439956447065
6,0.1,400,18,uniform,300,0.04906040874384631,0.005817813892723107,0.03980063216743551,1.0
6,0.1,400,19,tis,300,0.00024362572742088085,2.0772970156904153e-05,-6.395020956205514e-05,0.04647487424199351
6,0.1,400,19,uniform,300,0.005242095463288998,0.000472554985942905,-0.004683854579561199,1.0
6,0.1,400,20,tis,300,0.0006458987511964363,6.673455524567393e-05,0.0014689864430377985,0.06133051451305492
6,0.1,400,20,uniform,300,0.010531441914757607,0.0009454386240822,0.00603341829068716,1.0
6,0.1,400,21,tis,300,0.0005862011121518906,4.771676175639125e-05,-9.832795467585716e-05,0.06145081979649109
6,0.1,400,21,uniform,300,0.009539353813232013,0.0008219310107543785,0.008608829154359345,1.0
6,0.1,400,22,tis,300,0.000788652033684305,0.0001537315467436745,0.011520665426440719,0.7401779952127283
6,0.1,400,22,uniform,300,0.0010654897048886804,0.00013817411435559793,0.0178322003411035,1.0
6,0.1,400,23,tis,300,0.00033770544411520343,7.80250710752161e-05,0.0061033363895677045,0.8503005511194943
6,0.1,400,23,uniform,300,0.0003971600908297483,7.234412295375252e-05,0.00839261993565543,1.0
6,0.1,400,24,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,24,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,25,tis,300,0.014274761918162971,0.0039142473259999025,0.014409610479814004,0.31999876684764184
6,0.1,400,25,uniform,300,0.044608802898792065,0.0037220904997019868,0.02148387761643214,1.0
6,0.1,400,26,tis,300,0.030701334784786986,0.0034599798087924763,0.015004364489623348,1.4475226412697688
6,0.1,400,26,uniform,300,0.021209571380421195,0.0016874775736506178,0.005522325838420633,1.0
6,0.1,400,27,tis,300,0.002590665682172694,0.0005196473731123445,0.001389744638162244,0.13950229509395004
6,0.1,400,27,uniform,300,0.018570774627241573,0.001656333706693266,0.01638511864648241,1.0
6,0.1,400,28,tis,300,0.0,0.0,0.0,0.0
6,0.1,400,28,uniform,300,0.0,0.0,0.0,0.0
6,0.1,400,29,tis,300,0.0006493945322717943,0.0001258526730279122,0.004696732512888319,0.37439591530152566
6,0.1,400,29,uniform,300,0.0017345128665434135,0.00015074465226999989,0.0012965116301006667,1.0
6,0.1,400,30,tis,300,0.0038810453259616406,0.0006202957502998451,0.000796246163791506,0.04988894823296553
6,0.1,400,30,uniform,300,0.07779368905189968,0.006585172112347959,0.009265467056588556,1.0
6,0.1,400,31,tis,300,1.227447247756642e-06,1.2253997947086238e-06,6.396476237629179e-05,5.433781385101566
6,0.1,400,31,uniform,300,2.2589190855599704e-07,2.2551510777898532e-07,2.744035401593773e-05,1.0
6,0.1,400,32,tis,300,0.0003794261239260421,3.265615312059164e-05,0.0006806189579092362,0.07162809187410131
6,0.1,400,32,uniform,300,0.005297169225070923,0.00035881898146612295,0.0022923664241992895,1.0
6,0.1,400,33,tis,300,0.0001982442663822645,1.958061139424805e-05,6.49691199022051e-05,0.14117809843675852
6,0.1,400,33,uniform,300,0.0014042140287862644,0.00012571799340610506,0.002549916623181402,1.0
6,0.1,400,34,tis,300,0.00019598316303499118,4.837818342223644e-05,0.004303344520685255,0.6033056471401672
6,0.1,400,34,uniform,300,0.00032484887877977717,6.0611683396298345e-05,0.007053276173561285,1.0
6,0.1,400,35,tis,300,0.0010700674687703139,0.0002497740713759238,0.0020363588738127486,0.1421179126031708
6,0.1,400,35,uniform,300,0.007529434180181166,0.0006206320060116394,0.010736673430729713,1.0
6,0.1,400,36,tis,300,0.0008003690855491607,0.00016538977705144708,-0.00010628107892468819,2.4568597637084975
6,0.1,400,36,uniform,300,0.00032576913724251266,3.515255314604048e-05,0.0018125523396767562,1.0
6,0.1,400,37,tis,300,0.000562898821889787,5.3945421442760985e-05,0.0003628940709053182,0.06795365026081927
6,0.1,400,37,uniform,300,0.008283570047072853,0.0006366514830250776,0.0025036534817311456,1.0
6,0.1,400,38,tis,300,0.0018950371225437402,0.0001449758548592173,0.00038092373470152377,0.1820896941191166
6,0.1,400,38,uniform,300,0.01040716297378189,0.0008492128710292058,0.0031800390794204064,1.0
6,0.1,400,39,tis,300,0.0006552257992732143,6.196337553836694e-05,0.0027499301252011817,0.0354924343029675
6,0.1,400,39,uniform,300,0.01846099914365218,0.0014139804588828263,0.023848541611198436,1.0
6,0.1,400,40,tis,300,0.0004882169620096009,4.4459106970349444e-05,-0.0017847549323184427,0.0567844770117211
6,0.1,400,40,uniform,300,0.008597718737619546,0.0006275289214854709,0.004815789147681795,1.0
6,0.1,400,41,tis,300,0.0037925083547519925,0.00037559452272320894,0.000258718667071555,0.07545065070839087
6,0.1,400,41,uniform,300,0.05026475344009495,0.003655725660584928,-0.008349712894059141,1.0
6,0.1,400,42,tis,300,0.0006842359846801274,0.00010872911028862935,0.0022151068182912517,0.09809186348065634
6,0.1,400,42,uniform,300,0.006975461168754924,0.0006116237469927994,0.009129973441470625,1.0
6,0.1,400,43,tis,300,5.4731191028082006e-05,8.283136699537903e-06,0.00047893940107467483,0.056659307549868636
6,0.1,400,43,uniform,300,0.0009659699949546754,7.229825305278172e-05,0.0029771665452944193,1.0
6,0.1,400,44,tis,300,0.000546824235113161,6.111808317186315e-05,0.0003509621879643972,0.05706928432282186
6,0.1,400,44,uniform,300,0.009581760864915691,0.0008462739857438333,0.005629998228546296,1.0
6,0.1,400,45,tis,300,0.0010978240960937756,9.247953231804828e-05,-0.00039863866651929905,0.07537090100413439
6,0.1,400,45,uniform,300,0.014565622560801756,0.0010477332368084436,0.013171624598143123,1.0
6,0.1,400,46,tis,300,0.0008162308283660891,6.400364352494894e-05,0.0005042031830834462,0.18188982334568815
6,0.1,400,46,uniform,300,0.004487501353029592,0.0003924226841474166,-0.0037368763094136905,1.0
6,0.1,400,47,tis,300,0.0027790082067169776,0.0008695296396275208,-0.006085821032774242,0.135804698629898
6,0.1,400,47,uniform,300,0.020463269936561435,0.0015120652834965229,0.0038484030963121464,1.0
6,0.1,400,48,tis,300,0.0004927010276956437,6.430868637679039e-05,0.0007240037285394219,0.05549960786832053
6,0.1,400,48,uniform,300,0.0088775587183361,0.0006748041375610882,0.005513651222367901,1.0
6,0.1,400,49,tis,300,0.0008345218800248642,6.749626340628973e-05,-0.0005380060306276416,0.07225649408791034
6,0.1,400,49,uniform,300,0.01154943774340268,0.0009427235041966612,0.0024786480105300304,1.0
