horizon,alpha,budget_per_shared_group,method,replications,panel_mse,mcse,normalized_to_uniform
10,0.1,100,complete_rollout,300,0.015155370901152298,0.0003374642062283009,0.09215985272925306
10,0.1,100,learned_mean,300,0.2469565753929288,0.012312502170778748,1.5017436239058024
10,0.1,100,learned_occupancy,300,0.026955176381733306,0.0009992347830795935,0.16391450277490097
10,0.1,100,occ_plus_mean,300,0.025455778468688562,0.0010793758975491034,0.15479665988276517
10,0.1,100,occ_plus_uniform,300,0.028820064230411464,0.0007546295702227507,0.17525489098524064
10,0.1,100,oracle_tail,300,0.007468530398941975,0.0005804411843649633,0.04541615419112633
10,0.1,100,tis,300,0.309082594502198,0.01349638728963797,1.8795321194238952
10,0.1,100,tis_anchored,300,0.02403110704313434,0.001064069494118411,0.14613322896952574
10,0.1,100,uniform,300,0.1644465616245688,0.005900086079382533,1.0
10,0.1,200,complete_rollout,300,0.007245199178256811,0.00015809134006654422,0.09452359089848815
10,0.1,200,learned_mean,300,0.15287584532680973,0.006171747761158211,1.9944757219785174
10,0.1,200,learned_occupancy,300,0.011140673206081537,0.0003366537664991998,0.14534540880886648
10,0.1,200,occ_plus_mean,300,0.009832377244157916,0.00037726392257259023,0.12827688809101837
10,0.1,200,occ_plus_uniform,300,0.01291598833072623,0.0003409320975239458,0.16850683700830324
10,0.1,200,oracle_tail,300,0.0032549528017182714,9.016331003762376e-05,0.04246533731561688
10,0.1,200,tis,300,0.20187654592267046,0.007696342187757742,2.6337572742045023
10,0.1,200,tis_anchored,300,0.008944727304173493,0.0003502916958121511,0.11669627343518467
10,0.1,200,uniform,300,0.07664963962316727,0.002301563126007347,1.0
10,0.1,400,complete_rollout,300,0.0036205873482559286,8.834024933636056e-05,0.08865366524401878
10,0.1,400,learned_mean,300,0.07853872610687415,0.003986970182109902,1.9230984542672396
10,0.1,400,learned_occupancy,300,0.004521684845732391,0.00011957720058841985,0.11071792946677894
10,0.1,400,occ_plus_mean,300,0.003641234783876895,0.0001235155839951711,0.08915923814410925
10,0.1,400,occ_plus_uniform,300,0.005896061264790486,0.00015927419513486784,0.144370896583604
10,0.1,400,oracle_tail,300,0.0015621239836655701,4.163293424357016e-05,0.03825015208768586
10,0.1,400,tis,300,0.10313773213612921,0.00490764401934543,2.5254294674669864
10,0.1,400,tis_anchored,300,0.003218734858901607,0.00011081090110462236,0.07881390924811528
10,0.1,400,uniform,300,0.04083968032557119,0.00131041038047352,1.0
