horizon,alpha,budget_per_shared_group,comparison,replications,mean_difference,se
8,0.1,100,complete_rollout-minus-tis,300,-0.15242045721267045,0.005791626280211896
8,0.1,100,learned_mean-minus-tis,300,-0.031162788643435798,0.002793070602231005
8,0.1,100,learned_occupancy-minus-tis,300,-0.14624176045226867,0.00574582509941223
8,0.1,100,occ_plus_mean-minus-tis,300,-0.14669186794308875,0.005719741926472426
8,0.1,100,occ_plus_uniform-minus-tis,300,-0.1437292734993116,0.005786481767463556
8,0.1,100,oracle_tail-minus-tis,300,-0.15605324050792188,0.005750642801918738
8,0.1,100,tis_anchored-minus-tis,300,-0.14729803659730167,0.005719231986598676
8,0.1,100,uniform-minus-tis,300,-0.06524385460486454,0.006718338758500393
8,0.1,200,complete_rollout-minus-tis,300,-0.1021192035310453,0.004754717864843415
8,0.1,200,learned_mean-minus-tis,300,-0.020931787175073106,0.0022556976628037274
8,0.1,200,learned_occupancy-minus-tis,300,-0.10019711412895338,0.004763956129738641
8,0.1,200,occ_plus_mean-minus-tis,300,-0.10079128499917242,0.00475972663828153
8,0.1,200,occ_plus_uniform-minus-tis,300,-0.09880984440530868,0.004750440960225957
8,0.1,200,oracle_tail-minus-tis,300,-0.10437277573326269,0.004753469522401209
8,0.1,200,tis_anchored-minus-tis,300,-0.10132035301504778,0.004762516116161051
8,0.1,200,uniform-minus-tis,300,-0.059407093350392334,0.005053055982051789
8,0.1,400,complete_rollout-minus-tis,300,-0.05599315068985552,0.00249997336769608
8,0.1,400,learned_mean-minus-tis,300,-0.012336752748247526,0.001423676911691934
8,0.1,400,learned_occupancy-minus-tis,300,-0.055439077284840606,0.0025022378426877287
8,0.1,400,occ_plus_mean-minus-tis,300,-0.05590084949155783,0.0024975524089713747
8,0.1,400,occ_plus_uniform-minus-tis,300,-0.054773567187902925,0.0025024371670289204
8,0.1,400,oracle_tail-minus-tis,300,-0.057069784678427916,0.0024988861515408507
8,0.1,400,tis_anchored-minus-tis,300,-0.05608568052129211,0.0024967592142028975
8,0.1,400,uniform-minus-tis,300,-0.03429760101200843,0.0026324709435166438
